Variable:,tas
,Slovenia,Gorenjska,Goriska,"Jugovzodna Slovenija",Koroska,Notranjsko-kraska,Obalno-kraska,Osrednjeslovenska,Podravska,Pomurska,Savinjska,Spodnjeposavska,Zasavska
1995,9.64,9.61,12.74,11.74,9.42,13.53,14.93,10.66,10.02,11.68,9.47,10.01,9.33
1996,9.80,9.79,12.90,11.95,9.61,13.71,15.10,10.85,10.22,11.86,9.67,10.24,9.53
1997,9.88,9.81,12.90,11.97,9.71,13.74,15.09,10.88,10.35,11.98,9.77,10.28,9.62
1998,9.93,9.89,13.02,12.10,9.73,13.86,15.24,10.97,10.35,12.00,9.79,10.38,9.65
1999,10.13,10.09,13.18,12.26,9.93,14.06,15.41,11.17,10.54,12.18,9.99,10.51,9.84
2000,10.07,10.10,13.29,12.19,9.84,14.02,15.44,11.12,10.44,12.12,9.89,10.42,9.76
2001,10.28,10.19,13.33,12.46,10.07,14.26,15.60,11.31,10.71,12.41,10.13,10.71,9.98
2002,9.87,9.85,12.94,12.02,9.70,13.85,15.20,10.95,10.30,11.91,9.76,10.26,9.61
2003,10.31,10.28,13.37,12.48,10.10,14.24,15.53,11.35,10.71,12.38,10.16,10.75,10.02
2004,10.00,9.98,13.09,12.13,9.81,13.89,15.27,11.03,10.42,12.05,9.87,10.42,9.72
2005,10.37,10.36,13.47,12.49,10.16,14.25,15.65,11.40,10.77,12.47,10.22,10.77,10.08
2006,10.45,10.49,13.50,12.58,10.24,14.40,15.67,11.56,10.80,12.43,10.29,10.81,10.17
2007,10.32,10.35,13.45,12.44,10.13,14.24,15.63,11.39,10.69,12.27,10.18,10.70,10.05
2008,10.57,10.52,13.57,12.67,10.39,14.46,15.77,11.60,11.00,12.64,10.44,10.95,10.30
2009,10.61,10.53,13.62,12.71,10.42,14.50,15.81,11.61,11.05,12.71,10.48,10.99,10.33
2010,10.61,10.60,13.70,12.77,10.42,14.53,15.90,11.66,11.03,12.77,10.47,11.05,10.33
2011,10.71,10.64,13.77,12.78,10.51,14.58,15.94,11.69,11.17,12.91,10.57,11.07,10.42
2012,10.41,10.41,13.58,12.68,10.21,14.45,15.83,11.51,10.82,12.50,10.27,10.92,10.13
2013,10.64,10.65,13.78,12.85,10.48,14.64,16.04,11.73,11.07,12.65,10.54,11.10,10.39
2014,10.54,10.52,13.57,12.64,10.31,14.43,15.76,11.58,10.89,12.55,10.36,10.89,10.23
