Variable:,tas
,Liechtenstein,Balzers,Eschen,Gamprin,Mauren,Planken,Ruggell,Schaan,Schellenberg,Triesen,Triesenberg,Vaduz
1995,3.07,5.70,5.70,5.70,5.70,5.70,5.70,5.70,5.70,5.70,5.70,5.70
1996,3.12,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84
1997,3.16,5.73,5.73,5.73,5.73,5.73,5.73,5.73,5.73,5.73,5.73,5.73
1998,3.05,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84
1999,3.42,6.13,6.13,6.13,6.13,6.13,6.13,6.13,6.13,6.13,6.13,6.13
2000,3.38,6.15,6.15,6.15,6.15,6.15,6.15,6.15,6.15,6.15,6.15,6.15
2001,3.62,6.21,6.21,6.21,6.21,6.21,6.21,6.21,6.21,6.21,6.21,6.21
2002,3.28,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88,5.88
2003,3.58,6.28,6.28,6.28,6.28,6.28,6.28,6.28,6.28,6.28,6.28,6.28
2004,3.42,6.15,6.15,6.15,6.15,6.15,6.15,6.15,6.15,6.15,6.15,6.15
2005,3.89,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52
2006,3.75,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52
2007,3.80,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48
2008,3.93,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52,6.52
2009,3.95,6.69,6.69,6.69,6.69,6.69,6.69,6.69,6.69,6.69,6.69,6.69
2010,3.89,6.58,6.58,6.58,6.58,6.58,6.58,6.58,6.58,6.58,6.58,6.58
2011,4.02,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67
2012,3.63,6.31,6.31,6.31,6.31,6.31,6.31,6.31,6.31,6.31,6.31,6.31
2013,3.91,6.54,6.54,6.54,6.54,6.54,6.54,6.54,6.54,6.54,6.54,6.54
2014,3.94,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67,6.67
