Variable:,tas
,Azerbaijan,Absheron,Aran,"Daghlig Shirvan",Ganja-Gazakh,Guba-Khachmaz,Kalbajar-Lachin,Lankaran,Nakhchivan,Shaki-Zaqatala,"Yukhari Garabakh","Administrative unit not available"
1995,14.26,15.88,14.10,15.83,8.32,9.11,9.17,11.71,11.09,13.21,10.28,15.70
1996,14.33,15.93,14.13,15.82,8.43,8.95,9.49,11.71,11.47,13.14,10.53,15.75
1997,14.41,16.13,14.13,15.91,8.15,9.17,9.17,11.70,11.17,13.04,10.29,15.92
1998,14.25,15.84,13.97,15.69,8.20,8.87,9.14,11.57,11.26,12.98,10.23,15.70
1999,14.34,15.95,14.08,15.82,8.35,9.08,9.33,11.69,11.35,13.15,10.39,15.77
2000,14.45,16.01,14.23,15.95,8.55,9.22,9.47,11.87,11.44,13.31,10.55,15.84
2001,14.69,16.27,14.43,16.04,8.71,9.27,9.76,12.07,11.74,13.42,10.83,16.15
2002,14.62,16.23,14.35,16.10,8.42,9.31,9.39,11.91,11.37,13.35,10.52,16.08
2003,14.67,16.25,14.39,16.09,8.49,9.29,9.55,12.06,11.59,13.35,10.65,16.16
2004,14.72,16.41,14.54,16.27,8.72,9.51,9.72,12.00,11.66,13.59,10.82,16.13
2005,14.53,16.10,14.30,15.92,8.55,9.12,9.52,11.91,11.51,13.30,10.62,15.98
2006,14.58,16.27,14.27,16.01,8.40,9.19,9.36,11.92,11.31,13.21,10.45,16.09
2007,14.67,16.31,14.37,16.09,8.57,9.29,9.57,11.96,11.52,13.39,10.68,16.14
2008,14.96,16.56,14.69,16.42,8.99,9.73,9.84,12.19,11.76,13.86,10.91,16.38
2009,14.81,16.45,14.55,16.35,8.63,9.48,9.57,12.27,11.60,13.42,10.70,16.31
2010,14.90,16.47,14.70,16.42,8.83,9.82,9.84,12.39,11.80,13.72,10.96,16.34
2011,14.60,16.14,14.34,16.01,8.48,9.27,9.60,12.08,11.62,13.27,10.69,16.09
2012,15.01,16.63,14.76,16.42,8.83,9.54,10.00,12.40,12.07,13.61,11.08,16.51
2013,14.97,16.61,14.70,16.34,8.86,9.57,9.79,12.36,11.79,13.68,10.90,16.46
2014,15.28,16.87,15.12,16.76,9.53,9.93,10.54,12.62,12.44,14.24,11.58,16.67
