Variable:,tas
1995,26.26
1996,26.23
1997,26.34
1998,26.31
1999,26.33
2000,26.44
2001,26.52
2002,26.39
2003,26.54
2004,26.59
2005,26.57
2006,26.52
2007,26.56
2008,26.61
2009,26.59
2010,26.65
2011,26.62
2012,26.72
2013,26.62
2014,26.78
