Variable:,tas
,Ukraine,Cherkas'ka,Chernihivs'ka,Chernivets'ka,Dnipropetrovs'ka,Donets'ka,Ivano-frankivs'ka,Kharkivs'ka,Khersons'ka,Khmel'nyts'ka,Kirovohrads'ka,Krym,Kyyivs'ka,L'vivs'ka,Luhans'ka,Mykolayivs'ka,Odes'ka,Poltavs'ka,Rivnens'ka,Sums'ka,Ternopil's'ka,Vinnyts'ka,Volyns'ka,Zakarpats'ka,Zaporiz'ka,Zhytomyrs'ka
1995,9.78,9.55,9.34,7.92,10.42,10.75,7.47,9.82,11.09,10.41,9.78,12.37,9.29,8.52,10.05,10.55,11.41,9.67,9.12,9.07,8.87,10.44,9.18,10.20,11.47,9.39
1996,9.97,9.77,9.32,7.93,10.92,11.41,7.36,10.21,11.63,10.25,10.21,12.83,9.30,8.14,10.57,11.09,11.88,10.00,8.87,9.22,8.65,10.53,8.67,10.08,11.96,9.37
1997,9.81,9.52,9.17,7.87,10.61,10.99,7.34,9.97,11.44,10.32,9.93,12.75,9.20,8.23,10.28,10.83,11.63,9.68,8.98,9.00,8.72,10.41,8.78,10.04,11.67,9.35
1998,9.89,9.68,9.45,7.87,10.71,10.92,7.42,9.91,11.58,10.25,10.07,12.76,9.33,8.29,10.02,11.03,11.86,9.86,9.06,9.22,8.66,10.44,8.93,10.15,11.72,9.41
1999,9.75,9.51,9.13,7.85,10.61,11.10,7.37,9.96,11.27,10.19,9.88,12.61,9.08,8.28,10.32,10.67,11.51,9.68,8.85,8.88,8.60,10.27,8.76,10.16,11.66,9.22
2000,10.07,9.94,9.78,8.09,10.69,10.89,7.54,10.11,11.38,10.57,10.13,12.61,9.69,8.48,10.10,10.83,11.74,10.17,9.40,9.67,8.87,10.77,9.20,10.30,11.61,9.84
2001,10.32,10.31,9.88,8.25,11.26,11.34,7.62,10.59,11.80,10.69,10.61,12.87,9.92,8.58,10.56,11.32,12.11,10.48,9.29,9.65,8.99,11.03,9.14,10.45,12.09,9.84
2002,9.88,9.52,9.45,7.65,10.70,11.11,7.18,10.21,11.33,10.12,9.87,12.57,9.23,8.23,10.44,10.75,11.58,9.92,8.81,9.40,8.49,10.38,8.80,10.04,11.71,9.29
2003,10.40,10.41,10.16,8.33,11.04,11.18,7.96,10.36,11.69,10.85,10.68,12.88,10.05,9.01,10.46,11.31,12.06,10.53,9.62,9.94,9.28,11.09,9.52,10.87,11.89,10.00
2004,10.08,10.08,9.74,7.86,10.95,11.06,7.42,10.12,11.81,10.27,10.39,13.05,9.70,8.29,10.26,11.16,12.03,10.22,9.01,9.47,8.77,10.60,8.79,10.16,11.92,9.53
2005,10.33,10.18,9.87,8.40,11.08,11.29,7.96,10.37,11.76,10.78,10.49,12.98,9.83,8.84,10.42,11.27,12.10,10.35,9.56,9.74,9.22,10.91,9.39,10.79,12.08,9.94
2006,10.50,10.32,9.98,8.57,11.15,11.37,8.15,10.43,11.94,11.12,10.61,13.22,10.05,9.15,10.51,11.41,12.19,10.42,9.93,9.75,9.50,11.18,9.79,10.87,12.13,10.28
2007,10.04,9.88,9.51,8.03,10.69,11.07,7.60,10.13,11.40,10.56,10.17,12.74,9.54,8.73,10.36,10.94,11.88,9.92,9.37,9.23,8.94,10.72,9.23,10.54,11.71,9.70
2008,10.58,10.37,10.22,8.70,11.16,11.61,8.17,10.52,11.87,11.12,10.55,13.19,10.22,9.06,10.77,11.46,12.36,10.48,9.89,9.94,9.49,11.27,9.71,10.92,12.21,10.37
2009,10.51,10.33,10.02,8.58,11.16,11.52,8.13,10.55,11.91,11.00,10.58,13.24,10.08,9.10,10.73,11.37,12.16,10.48,9.77,9.88,9.44,11.13,9.64,10.84,12.18,10.19
2010,10.52,10.29,10.17,8.54,11.10,11.37,8.18,10.48,11.71,11.02,10.50,12.96,10.18,9.20,10.83,11.24,12.18,10.37,9.95,9.83,9.43,11.16,9.89,11.05,12.00,10.34
2011,10.55,10.38,10.07,8.82,11.19,11.46,8.34,10.60,11.81,11.22,10.61,13.08,10.09,9.04,10.69,11.35,12.33,10.52,9.94,9.94,9.59,11.33,9.60,11.06,12.11,10.36
2012,10.64,10.47,10.16,8.62,11.42,11.75,8.09,10.84,12.23,10.98,10.84,13.51,10.10,8.99,10.94,11.74,12.59,10.59,9.67,9.90,9.41,11.18,9.49,10.77,12.50,10.12
2013,10.59,10.40,10.14,8.61,11.34,11.66,8.14,10.65,12.03,11.05,10.73,13.26,10.12,9.09,10.92,11.52,12.40,10.53,9.80,9.89,9.47,11.25,9.69,10.89,12.27,10.21
2014,10.39,10.17,9.99,8.39,11.15,11.52,7.85,10.52,11.94,10.72,10.47,13.29,9.84,8.73,10.76,11.32,12.19,10.33,9.45,9.75,9.15,10.91,9.30,10.75,12.24,9.87
