Variable:,tas
,Kazakhstan,Akmolinskaya,Aktyubinskaya,Almatinskaya,Atyrauskaya,Jambylslkaya,Karagandinskaya,Kustanayskaya,Kyzylordinskaya,"Administrative unit not available",Mangistauskaya,Pavlodarskaya,Severo-kazachstanskaya,Vostochno-kazachstanskaya,Yujno-kazachstanskaya,Zapadno-kazachstanskaya,"Almaty City area"
1995,7.68,4.30,8.67,7.00,10.96,9.99,6.68,5.90,11.89,13.59,12.83,3.70,3.52,4.39,13.31,9.35,5.83
1996,7.86,4.66,8.27,7.33,11.07,10.22,7.00,5.63,11.71,13.79,12.93,4.29,3.80,5.07,13.43,9.45,5.90
1997,7.94,4.82,8.41,7.31,11.19,10.20,7.05,5.90,11.93,13.96,13.10,4.48,3.86,5.01,13.53,9.45,5.99
1998,7.89,4.72,8.16,7.45,11.03,10.34,7.02,5.61,12.00,13.84,12.93,4.37,3.91,5.08,13.66,9.36,5.99
1999,7.83,4.65,8.10,7.44,10.94,10.42,7.15,5.50,12.04,13.79,12.93,4.29,3.54,4.96,13.71,9.04,6.25
2000,8.02,4.61,8.61,7.62,11.08,10.53,7.02,5.74,12.01,13.94,13.10,4.62,3.91,5.27,13.73,9.33,6.28
2001,8.20,5.21,8.73,7.57,11.45,10.40,7.11,6.22,12.15,14.31,13.33,4.57,4.44,5.27,13.74,9.85,6.31
2002,8.53,5.41,8.98,7.89,11.69,10.85,7.64,6.38,12.49,14.34,13.47,5.17,4.49,5.68,14.05,10.19,6.59
2003,8.11,4.73,8.65,7.57,11.32,10.52,7.22,5.84,12.30,14.25,13.22,4.51,4.08,5.20,13.85,9.47,6.13
2004,8.14,4.81,8.73,7.76,11.37,10.49,7.07,6.16,12.13,14.12,13.31,4.36,3.99,5.33,13.58,9.72,6.50
2005,8.55,5.50,8.99,7.99,11.44,10.83,7.80,6.43,12.46,14.10,13.37,5.19,4.54,5.91,14.04,9.80,6.63
2006,8.70,5.35,9.08,8.25,11.63,11.09,8.15,6.32,12.72,14.14,13.50,5.24,4.20,6.31,14.32,9.73,6.72
2007,8.47,5.06,8.96,8.05,11.58,11.07,7.64,6.33,12.73,14.31,13.61,4.51,4.11,5.60,14.46,9.89,6.84
2008,8.33,4.78,8.93,7.79,11.92,10.74,7.43,6.04,12.55,14.51,13.78,4.45,3.92,5.26,14.01,9.96,6.40
2009,8.58,5.26,9.12,8.08,11.73,11.00,7.81,6.30,12.53,14.41,13.64,5.06,4.31,5.82,14.23,9.99,6.74
2010,8.41,5.00,8.79,8.13,11.65,11.05,7.53,5.94,12.38,14.38,13.65,4.92,3.96,5.80,14.16,9.81,6.63
2011,8.39,5.08,8.63,8.12,11.40,10.91,7.58,6.09,12.35,14.18,13.31,4.86,4.27,5.86,14.07,9.72,6.79
2012,8.63,5.19,9.14,8.30,11.84,11.14,7.82,6.27,12.67,14.66,13.75,4.87,4.23,5.88,14.40,10.04,6.92
2013,8.82,5.79,9.42,8.15,11.83,11.10,7.83,6.99,12.73,14.59,13.86,5.51,4.97,5.78,14.30,10.16,6.88
2014,8.68,5.47,9.24,8.18,11.78,11.14,7.88,6.55,12.77,14.57,13.73,4.95,4.38,5.73,14.33,10.14,6.76
