Variable:,tas
,"New Zealand",Auckland,"Bay Of Plenty",Canterbury,"East Cape","Hawke's Bay",Nelson-marlborough,Northland,Otago,Southland,Taranaki,Waikato,Wanganui-manawatu,Wellington,Westland
1995,10.84,15.71,11.80,8.88,12.91,11.79,9.41,15.80,8.67,9.13,13.99,13.23,12.91,12.60,8.73
1996,10.90,15.78,11.83,8.95,12.92,11.77,9.53,15.92,8.74,9.25,14.02,13.26,12.88,12.59,8.85
1997,10.88,15.69,11.86,8.98,12.97,11.84,9.49,15.80,8.70,9.14,13.80,13.21,12.84,12.57,8.85
1998,10.88,15.80,11.91,8.92,13.00,11.84,9.45,15.97,8.67,9.11,13.91,13.27,12.83,12.51,8.73
1999,11.09,16.07,12.02,9.19,13.11,11.90,9.66,16.27,8.86,9.31,14.17,13.45,13.01,12.75,9.04
2000,11.05,16.05,12.06,9.07,13.12,11.94,9.65,16.21,8.78,9.24,14.17,13.52,13.09,12.71,8.97
2001,11.06,16.01,12.08,9.10,13.13,12.04,9.66,16.13,8.77,9.23,14.16,13.52,13.15,12.77,9.00
2002,11.02,16.03,12.02,9.07,13.09,11.90,9.67,16.15,8.75,9.24,14.14,13.45,12.97,12.66,8.94
2003,11.04,15.98,12.09,9.03,13.16,12.05,9.68,16.13,8.74,9.22,14.20,13.48,13.11,12.78,8.90
2004,11.17,16.03,12.14,9.28,13.25,12.09,9.81,16.22,8.90,9.34,14.22,13.52,13.15,12.80,9.14
2005,11.07,16.04,12.04,9.13,13.12,12.02,9.66,16.25,8.79,9.25,14.23,13.51,13.15,12.76,8.93
2006,11.07,15.98,12.04,9.16,13.05,11.98,9.69,16.13,8.85,9.34,14.13,13.44,13.00,12.75,9.06
2007,11.09,16.01,12.15,9.12,13.21,12.08,9.68,16.16,8.77,9.19,14.19,13.56,13.17,12.79,9.01
2008,11.02,15.99,12.04,9.07,13.18,11.98,9.60,16.18,8.74,9.22,14.09,13.41,12.99,12.68,8.89
2009,11.00,15.86,11.97,9.08,13.08,11.92,9.55,16.04,8.83,9.26,14.05,13.34,12.99,12.71,8.87
2010,11.05,16.00,12.03,9.10,13.14,11.98,9.65,16.16,8.85,9.30,14.12,13.42,13.00,12.67,8.98
2011,11.11,16.07,12.25,9.10,13.31,12.08,9.67,16.22,8.79,9.25,14.16,13.57,13.10,12.76,9.01
2012,11.18,16.05,12.18,9.26,13.28,12.10,9.74,16.19,9.02,9.44,14.19,13.54,13.12,12.79,9.09
2013,11.25,16.21,12.37,9.26,13.41,12.31,9.85,16.34,8.98,9.41,14.38,13.71,13.26,12.87,9.13
2014,11.43,16.53,12.54,9.40,13.57,12.41,9.92,16.67,9.19,9.61,14.54,13.97,13.44,12.96,9.29
