Variable:,tas
,Georgia,"Abkhazia Aut. Rep.","Adjara Aut. Rep.",Guria,Imereti,Kakheti,"Kvemo Kartli",Mtskheta-Mtianeti,"Racha-Lechkhumi and Kvemo (lower) Svaneti","Samergelo and Zemo (upper) Svaneti",Samtskhe-Javakheti,"Shida Kartli",Tbilisi
1995,7.89,13.64,7.37,9.48,9.92,10.47,5.96,7.23,10.16,11.69,4.38,6.76,5.56
1996,7.94,13.87,7.57,9.64,10.00,10.43,6.03,7.24,10.23,11.83,4.46,6.81,5.65
1997,7.76,13.65,7.28,9.40,9.78,10.18,5.70,7.02,9.98,11.65,4.33,6.56,5.29
1998,7.85,13.67,7.38,9.48,9.91,10.34,5.80,7.23,10.16,11.72,4.28,6.71,5.39
1999,8.10,14.02,7.67,9.78,10.21,10.43,5.76,7.38,10.47,12.07,4.43,6.87,5.31
2000,8.05,13.75,7.56,9.65,10.07,10.60,5.97,7.41,10.33,11.86,4.41,6.88,5.56
2001,8.22,13.90,7.79,9.89,10.33,10.69,6.24,7.63,10.57,12.10,4.74,7.14,5.84
2002,8.06,13.82,7.55,9.67,10.10,10.56,5.93,7.36,10.36,11.95,4.42,6.86,5.50
2003,8.27,14.04,7.80,9.91,10.31,10.60,6.17,7.62,10.56,12.16,4.59,7.10,5.80
2004,8.51,14.48,8.04,10.15,10.56,10.82,6.30,7.77,10.82,12.49,4.76,7.27,5.91
2005,8.24,14.13,7.70,9.81,10.26,10.59,6.07,7.45,10.55,12.12,4.53,6.99,5.68
2006,8.11,13.97,7.67,9.75,10.17,10.49,5.96,7.42,10.42,11.99,4.44,6.92,5.56
2007,8.22,14.10,7.79,9.90,10.25,10.66,6.11,7.55,10.46,12.13,4.57,7.00,5.72
2008,8.59,14.37,8.22,10.29,10.68,11.12,6.46,7.88,10.92,12.49,4.95,7.38,6.04
2009,8.36,14.30,8.06,10.17,10.56,10.69,6.27,7.61,10.79,12.35,4.90,7.21,5.85
2010,8.49,14.27,8.06,10.16,10.57,10.91,6.40,7.77,10.79,12.39,4.95,7.30,5.99
2011,8.26,14.14,7.98,10.05,10.38,10.56,6.06,7.51,10.62,12.23,4.70,7.05,5.65
2012,8.62,14.73,8.24,10.38,10.75,10.90,6.58,7.92,10.97,12.67,5.16,7.48,6.19
2013,8.57,14.30,8.01,10.13,10.63,10.99,6.57,7.91,10.87,12.45,4.95,7.41,6.21
2014,8.93,14.48,8.38,10.49,11.02,11.48,6.86,8.22,11.27,12.74,5.56,7.81,6.38
