Variable:,tas
,Pakistan,Balochistan,"Federally Administered Tribal Areas",Islamabad,"North-West Frontier",Punjab,Sindh,"Administrative unit not available","Administrative unit not available"
1995,21.04,22.82,18.45,23.17,16.38,25.43,26.92,19.93,4.08
1996,21.02,22.78,18.44,23.34,16.39,25.35,26.99,20.05,4.06
1997,21.12,22.95,18.55,23.16,16.44,25.49,27.09,19.94,4.03
1998,21.03,22.89,18.38,22.97,16.25,25.35,27.05,19.79,3.94
1999,21.42,23.13,19.05,23.70,16.92,25.87,27.17,20.37,4.43
2000,21.34,23.14,18.89,23.65,16.81,25.61,27.16,20.35,4.45
2001,21.41,23.21,18.96,23.54,16.84,25.63,27.35,20.36,4.60
2002,21.47,23.22,19.01,23.66,16.89,25.73,27.34,20.43,4.74
2003,21.35,23.17,18.75,23.75,16.60,25.64,27.20,20.42,4.35
2004,21.45,23.24,18.83,23.56,16.69,25.78,27.35,20.25,4.57
2005,21.63,23.46,18.90,23.53,16.81,26.02,27.59,20.38,4.45
2006,21.58,23.42,18.99,23.61,16.90,25.83,27.39,20.38,4.80
2007,21.64,23.54,19.18,23.62,16.87,25.89,27.48,20.36,4.54
2008,21.44,23.22,18.90,23.63,16.80,25.80,27.29,20.26,4.44
2009,21.63,23.39,19.33,23.88,17.18,25.91,27.36,20.68,4.85
2010,21.83,23.60,19.43,24.19,17.26,26.27,27.58,20.88,4.78
2011,21.72,23.57,19.12,23.82,17.03,26.02,27.55,20.50,4.76
2012,21.76,23.57,19.28,23.79,17.17,25.95,27.56,20.45,5.01
2013,21.53,23.42,18.94,23.70,16.86,25.80,27.31,20.45,4.61
2014,21.79,23.56,19.46,24.01,17.19,26.09,27.43,20.72,5.09
