Variable:,tas
,Austria,Burgenland,Karnten,Niederosterreich,Oberosterreich,Salzburg,Steiermark,Tirol,Vorarlberg,Wien
1995,7.34,10.50,9.54,8.73,7.29,3.75,7.22,3.80,5.10,9.81
1996,7.23,10.40,9.69,8.57,7.20,3.70,7.20,3.86,5.23,9.49
1997,7.30,10.44,9.71,8.68,7.26,3.76,7.32,3.88,5.16,9.64
1998,7.42,10.67,9.78,8.87,7.39,3.69,7.33,3.80,5.20,9.89
1999,7.62,10.84,9.97,9.03,7.55,3.94,7.52,4.11,5.51,10.01
2000,7.64,10.95,10.03,9.08,7.51,3.94,7.52,4.14,5.51,10.17
2001,7.78,11.08,10.08,9.22,7.62,4.11,7.71,4.30,5.62,10.29
2002,7.33,10.46,9.73,8.68,7.29,3.74,7.21,3.96,5.30,9.74
2003,7.83,11.06,10.18,9.27,7.73,4.12,7.75,4.26,5.66,10.26
2004,7.48,10.67,9.88,8.88,7.35,3.88,7.41,4.08,5.53,9.93
2005,7.93,11.06,10.28,9.28,7.88,4.40,7.85,4.59,5.93,10.32
2006,7.92,11.15,10.34,9.30,7.85,4.23,7.82,4.37,5.87,10.35
2007,7.83,10.99,10.25,9.20,7.73,4.29,7.75,4.46,5.87,10.22
2008,8.03,11.22,10.40,9.42,8.02,4.36,7.96,4.57,5.94,10.38
2009,8.07,11.33,10.43,9.47,8.00,4.48,8.00,4.62,6.06,10.44
2010,8.01,11.24,10.49,9.36,7.91,4.35,7.95,4.56,5.97,10.35
2011,8.10,11.45,10.54,9.47,8.01,4.50,8.06,4.69,6.07,10.49
2012,7.83,11.11,10.32,9.23,7.75,4.24,7.81,4.35,5.71,10.31
2013,8.00,11.18,10.54,9.35,7.94,4.44,8.01,4.61,5.95,10.32
2014,8.08,11.41,10.40,9.48,8.01,4.39,7.96,4.58,6.04,10.51
