Variable:,tas
,"Macao SAR, China","Administrative unit not available"
1995,23.66,23.15
1996,23.57,23.10
1997,23.88,23.38
1998,23.69,23.15
1999,23.83,23.26
2000,23.77,23.25
2001,24.00,23.50
2002,23.85,23.32
2003,23.99,23.39
2004,23.93,23.46
2005,23.90,23.32
2006,24.07,23.45
2007,23.90,23.44
2008,24.04,23.53
2009,23.88,23.32
2010,23.91,23.36
2011,24.14,23.60
2012,24.05,23.51
2013,24.05,23.52
2014,24.03,23.35
