Variable:,tas
,Poland,Dolnoslaskie,Kujawsko-Pomorskie,Lodzkie,Lubeiskie,Lubuskie,Malopolske,Mazowieckie,Opolskie,Podkarpackie,Podlaskie,Pomorskie,Slaskie,Swietokrzyskie,Warminsko-Mazurskie,Wielkopolskie,Zachodnio-Pomorskie
1995,9.29,9.13,9.53,9.58,9.46,10.02,7.59,9.41,8.57,9.04,8.94,9.13,8.77,9.05,9.02,9.84,9.87
1996,9.06,9.06,9.41,9.32,8.94,9.97,7.17,9.17,8.34,8.62,8.70,8.97,8.41,8.57,8.91,9.73,9.79
1997,9.09,8.97,9.52,9.42,9.04,9.87,7.27,9.24,8.38,8.66,8.67,9.03,8.51,8.71,8.92,9.71,9.83
1998,9.46,9.43,9.93,9.88,9.19,10.34,7.42,9.57,8.78,8.77,9.12,9.38,8.78,8.93,9.31,10.21,10.19
1999,9.17,9.44,9.56,9.58,9.15,10.20,7.48,9.26,8.76,8.85,8.56,9.02,8.82,8.83,8.80,9.96,9.96
2000,9.48,9.37,9.86,9.63,9.36,10.22,7.61,9.45,8.71,8.97,9.21,9.58,8.85,8.92,9.34,10.03,10.21
2001,9.63,9.45,10.03,9.93,9.54,10.31,7.94,9.71,8.94,9.25,9.17,9.65,9.14,9.31,9.45,10.21,10.32
2002,9.32,9.24,9.72,9.69,9.31,9.98,7.55,9.43,8.68,8.93,8.97,9.25,8.74,8.94,9.12,9.94,9.88
2003,9.85,9.76,10.18,10.23,9.92,10.65,8.16,9.98,9.22,9.63,9.41,9.70,9.39,9.60,9.56,10.46,10.52
2004,9.29,9.45,9.69,9.66,9.12,10.38,7.56,9.21,8.91,8.89,8.68,9.28,8.87,8.92,8.91,10.19,10.28
2005,9.63,9.57,9.94,9.91,9.66,10.44,7.85,9.70,8.94,9.32,9.31,9.47,9.06,9.23,9.41,10.24,10.33
2006,10.19,9.96,10.62,10.47,10.12,10.89,8.18,10.31,9.33,9.69,9.83,10.21,9.42,9.69,10.02,10.81,10.98
2007,9.46,9.42,9.69,9.77,9.57,10.26,7.80,9.50,8.82,9.30,9.09,9.24,8.99,9.21,9.20,10.04,10.09
2008,9.93,9.69,10.27,10.17,9.93,10.59,8.11,10.04,9.14,9.56,9.71,9.82,9.30,9.53,9.83,10.47,10.54
2009,9.90,9.81,10.19,10.14,9.93,10.65,8.17,10.02,9.29,9.61,9.62,9.78,9.37,9.55,9.77,10.41,10.52
2010,10.07,10.05,10.22,10.41,10.31,10.88,8.42,10.30,9.47,9.88,9.74,9.71,9.61,9.90,9.85,10.55,10.54
2011,9.95,9.91,10.32,10.35,9.88,10.77,8.22,10.06,9.32,9.62,9.50,9.83,9.48,9.65,9.71,10.62,10.61
2012,9.70,9.58,10.00,9.95,9.77,10.39,7.93,9.79,8.99,9.42,9.42,9.57,9.19,9.31,9.50,10.22,10.33
2013,9.89,9.85,10.20,10.23,9.97,10.69,8.13,10.01,9.21,9.61,9.46,9.71,9.34,9.57,9.68,10.50,10.52
2014,9.88,9.89,10.29,10.26,9.64,10.69,7.94,9.92,9.31,9.31,9.57,9.84,9.29,9.33,9.81,10.56,10.53
