Variable:,tas
,Germany,Baden-Wuerttemberg,Bayern,Berlin,Brandenburg,Bremen,Hamburg,Hessen,Mecklenburg-Vorpommern,Niedersachsen,Nordrhein-Westfalen,Rheinland-Pfalz,Saarland,Sachsen,Sachsen-Anhalt,Schleswig-Holstein,Thueringen
1995,9.82,9.34,8.32,10.59,10.30,10.05,9.99,10.32,10.04,9.90,10.31,10.48,10.64,9.34,9.69,9.88,9.36
1996,9.82,9.33,8.25,10.55,10.22,10.24,10.09,10.36,9.94,10.05,10.61,10.62,10.76,9.28,9.59,9.95,9.26
1997,9.79,9.35,8.26,10.48,10.21,10.07,10.02,10.28,9.99,9.91,10.42,10.54,10.71,9.27,9.56,9.89,9.23
1998,10.07,9.57,8.41,10.89,10.58,10.43,10.40,10.49,10.38,10.20,10.66,10.82,11.05,9.60,9.87,10.24,9.50
1999,10.11,9.66,8.61,10.73,10.47,10.39,10.32,10.66,10.22,10.23,10.81,10.90,11.10,9.66,9.89,10.17,9.62
2000,10.21,9.85,8.62,10.80,10.53,10.56,10.39,10.69,10.43,10.31,10.89,10.98,11.17,9.66,9.90,10.40,9.66
2001,10.23,9.62,8.64,10.86,10.61,10.58,10.56,10.72,10.54,10.36,10.89,10.89,10.98,9.69,9.98,10.48,9.72
2002,9.92,9.36,8.33,10.66,10.35,10.23,10.24,10.36,10.25,10.08,10.49,10.61,10.75,9.38,9.85,10.11,9.36
2003,10.35,9.77,8.70,11.16,10.86,10.75,10.68,10.81,10.68,10.50,10.99,11.02,11.19,9.86,10.17,10.56,9.75
2004,10.08,9.67,8.45,10.96,10.62,10.29,10.30,10.59,10.39,10.17,10.81,10.86,11.03,9.57,9.84,10.20,9.47
2005,10.40,10.01,8.93,11.04,10.76,10.61,10.57,10.94,10.56,10.52,11.06,11.16,11.30,9.85,10.15,10.48,9.86
2006,10.65,10.14,8.97,11.49,11.19,10.88,11.04,11.02,11.10,10.75,11.17,11.30,11.54,10.04,10.45,10.91,9.99
2007,10.24,9.85,8.74,10.96,10.65,10.50,10.56,10.70,10.47,10.36,10.87,10.94,11.13,9.68,10.02,10.44,9.65
2008,10.38,9.95,8.95,11.10,10.80,10.58,10.56,10.76,10.64,10.42,10.91,11.07,11.28,9.85,10.08,10.51,9.77
2009,10.51,10.11,9.02,11.25,10.93,10.84,10.65,11.01,10.69,10.60,11.28,11.35,11.54,9.97,10.20,10.58,9.92
2010,10.58,10.14,9.00,11.35,11.08,10.88,10.82,10.98,10.80,10.72,11.14,11.25,11.43,10.23,10.45,10.63,10.05
2011,10.56,10.17,9.07,11.33,11.03,10.78,10.77,10.91,10.83,10.63,11.11,11.22,11.43,10.13,10.35,10.67,10.00
2012,10.29,9.80,8.67,10.91,10.64,10.68,10.59,10.87,10.51,10.46,11.03,11.17,11.34,9.70,9.99,10.51,9.65
2013,10.41,10.03,8.92,11.13,10.86,10.58,10.56,10.90,10.58,10.43,11.02,11.21,11.41,9.98,10.20,10.48,9.87
2014,10.57,10.17,9.06,11.26,10.97,10.81,10.81,11.06,10.77,10.66,11.15,11.29,11.47,10.06,10.36,10.69,10.05
