Variable:,tas
,"St. Helena",Ascension,"Saint Helena","Tristan Da Cunha"
1995,18.98,24.93,20.41,13.36
1996,19.09,25.00,20.51,13.59
1997,19.11,25.13,20.67,13.33
1998,19.07,25.04,20.57,13.30
1999,19.18,25.13,20.72,13.42
2000,19.19,25.20,20.73,13.39
2001,19.22,25.20,20.69,13.52
2002,19.21,25.13,20.70,13.50
2003,19.24,25.23,20.81,13.42
2004,19.28,25.29,20.84,13.49
2005,19.36,25.25,20.98,13.53
2006,19.39,25.31,20.90,13.66
2007,19.40,25.32,20.94,13.70
2008,19.36,25.35,20.83,13.64
2009,19.39,25.27,20.84,13.78
2010,19.41,25.30,20.89,13.72
2011,19.47,25.43,21.02,13.67
2012,19.41,25.54,20.96,13.54
2013,19.46,25.47,21.00,13.69
2014,19.48,25.42,21.04,13.67
