Variable:,tas
,Moldova,Balti,Cahul,Chisinau,Dubasari,Edinet,Gagauzia,Lapusna,Orhei,Soroca,Tighina,Ungheni
1995,10.95,10.45,11.87,11.10,11.06,10.84,11.42,11.36,10.82,10.83,11.40,10.71
1996,11.24,10.57,12.23,11.43,11.44,10.84,11.78,11.72,11.03,10.96,11.86,10.89
1997,11.00,10.51,12.05,11.21,11.16,10.78,11.60,11.54,10.83,10.82,11.61,10.75
1998,11.18,10.66,12.25,11.47,11.41,10.80,11.83,11.78,11.07,10.96,11.93,10.95
1999,10.93,10.37,11.97,11.19,11.11,10.65,11.60,11.56,10.81,10.73,11.58,10.68
2000,11.30,10.85,12.29,11.46,11.39,11.12,11.79,11.73,11.24,11.20,11.69,11.11
2001,11.66,11.17,12.65,11.89,11.79,11.38,12.28,12.24,11.56,11.51,12.22,11.45
2002,11.01,10.62,12.13,11.24,11.15,10.72,11.62,11.56,10.93,10.88,11.58,10.85
2003,11.58,11.12,12.50,11.72,11.66,11.33,12.04,11.98,11.45,11.45,12.05,11.35
2004,11.34,10.79,12.56,11.66,11.58,10.76,12.10,12.04,11.23,11.08,12.13,11.11
2005,11.53,10.99,12.52,11.73,11.71,11.26,12.10,12.05,11.32,11.30,12.16,11.24
2006,11.66,11.13,12.60,11.83,11.78,11.48,12.21,12.16,11.46,11.47,12.21,11.38
2007,11.37,10.90,12.50,11.62,11.52,11.11,12.05,12.00,11.28,11.23,11.95,11.18
2008,11.87,11.38,12.77,12.05,12.03,11.63,12.37,12.32,11.74,11.69,12.36,11.63
2009,11.70,11.20,12.70,11.88,11.85,11.48,12.23,12.17,11.55,11.54,12.22,11.45
2010,11.67,11.20,12.66,11.90,11.82,11.37,12.29,12.25,11.56,11.49,12.26,11.47
2011,11.84,11.38,12.84,12.03,11.96,11.65,12.42,12.37,11.69,11.69,12.38,11.61
2012,11.91,11.34,13.11,12.19,12.11,11.43,12.65,12.59,11.77,11.66,12.63,11.66
2013,11.86,11.32,12.82,12.08,12.00,11.54,12.45,12.40,11.75,11.69,12.45,11.62
2014,11.52,11.03,12.61,11.77,11.72,11.23,12.14,12.08,11.36,11.31,12.25,11.28
