Variable:,tas
,"Bahamas, The","Administrative unit not available"
1995,25.26,25.48
1996,25.39,25.60
1997,25.39,25.62
1998,25.45,25.66
1999,25.46,25.66
2000,25.50,25.73
2001,25.56,25.79
2002,25.61,25.82
2003,25.57,25.80
2004,25.53,25.75
2005,25.49,25.71
2006,25.65,25.87
2007,25.66,25.88
2008,25.62,25.83
2009,25.61,25.83
2010,25.79,26.01
2011,25.82,26.03
2012,25.77,26.01
2013,25.82,26.04
2014,25.80,26.00
