Variable:,tas
,Cyprus,"Girne (Kyrenia)",Famagusta,Larnaca,Limassol,Nicosia,Paphos,"Sovereign Base Areas of Akrotiri and Dhekelia (U.K.)"
1995,19.61,19.39,19.67,20.47,19.69,19.69,20.15,19.69
1996,19.86,19.65,19.92,20.68,19.93,19.93,20.34,19.93
1997,20.02,19.81,20.06,20.78,20.09,20.09,20.55,20.09
1998,19.91,19.68,19.97,20.82,20.00,20.00,20.51,20.00
1999,19.93,19.70,19.99,20.78,20.00,20.00,20.47,20.00
2000,19.94,19.71,19.99,20.75,20.01,20.01,20.49,20.01
2001,19.92,19.70,19.97,20.78,20.01,20.01,20.47,20.01
2002,19.91,19.68,19.97,20.82,20.00,20.00,20.52,20.00
2003,20.23,20.02,20.29,21.03,20.30,20.30,20.74,20.30
2004,20.32,20.09,20.38,21.08,20.36,20.36,20.78,20.36
2005,20.27,20.06,20.33,21.10,20.35,20.35,20.81,20.35
2006,20.06,19.84,20.11,20.86,20.13,20.13,20.58,20.13
2007,20.12,19.90,20.18,21.05,20.24,20.24,20.77,20.24
2008,20.24,19.99,20.29,21.07,20.30,20.30,20.77,20.30
2009,20.45,20.21,20.51,21.20,20.49,20.49,20.94,20.49
2010,20.38,20.17,20.43,21.25,20.48,20.48,20.96,20.48
2011,20.37,20.15,20.43,21.27,20.45,20.45,20.94,20.45
2012,20.65,20.42,20.70,21.39,20.69,20.69,21.09,20.69
2013,20.26,20.05,20.31,21.13,20.36,20.36,20.89,20.36
2014,20.73,20.50,20.78,21.43,20.76,20.76,21.16,20.76
