Variable:,tas
,Malawi,"Central Region","Northern Region","Southern Region","Area under National Administration"
1995,22.73,22.49,21.76,24.38,22.15
1996,22.66,22.55,21.50,24.45,22.01
1997,22.68,22.53,21.62,24.56,22.03
1998,22.76,22.64,21.71,24.49,22.12
1999,22.67,22.51,21.58,24.46,22.03
2000,22.64,22.43,21.59,24.35,22.02
2001,23.18,23.01,22.14,24.90,22.54
2002,23.01,22.80,21.87,24.77,22.35
2003,22.95,22.82,21.81,24.83,22.27
2004,23.22,23.15,22.18,24.98,22.58
2005,22.88,22.73,21.82,24.67,22.24
2006,22.88,22.65,21.92,24.53,22.28
2007,23.07,22.91,22.01,24.81,22.45
2008,23.25,22.98,22.22,25.03,22.60
2009,22.81,22.61,21.78,24.45,22.21
2010,23.15,22.99,22.13,24.90,22.51
2011,23.11,22.96,22.06,24.77,22.47
2012,23.28,23.22,22.19,25.04,22.64
2013,23.32,23.11,22.30,25.12,22.71
2014,23.27,23.17,22.14,25.10,22.58
