Variable:,tas
,Chile,Antofagasta,Araucania,Atacama,"Aisen del Gral. Carlos Ibañez del Campo",Biobio,Coquimbo,"Libertador Gral. Bernardo O'Higgins","Magallanes y Antartica chilena",Maule,Metropolitana,"Los Lagos",Tarapaca,"Arica y Painacota","Los Rios",Valparaiso
1995,8.95,11.90,10.80,10.81,6.83,11.71,12.41,12.83,6.18,12.11,12.55,9.77,14.52,15.68,10.26,13.60
1996,9.05,12.00,11.01,10.88,6.96,11.87,12.44,12.78,6.17,12.13,12.57,10.08,14.59,15.78,10.54,13.65
1997,9.23,12.29,11.23,11.08,7.14,12.04,12.56,12.83,6.29,12.19,12.61,10.21,14.94,16.19,10.73,13.70
1998,9.16,12.22,11.15,11.07,6.86,12.01,12.52,12.94,6.20,12.26,12.72,10.04,14.75,15.98,10.66,13.75
1999,9.14,12.11,11.12,10.93,7.03,12.04,12.43,12.94,6.18,12.29,12.66,10.12,14.65,15.90,10.59,13.67
2000,9.21,12.22,11.19,11.07,7.00,12.01,12.73,12.92,6.19,12.22,12.91,10.19,14.82,16.04,10.71,14.00
2001,9.39,12.41,11.39,11.22,7.28,12.22,12.67,13.01,6.44,12.37,12.82,10.41,15.11,16.42,10.93,13.90
2002,9.33,12.46,11.22,11.30,6.96,12.10,12.83,13.02,6.38,12.36,12.91,10.16,15.15,16.41,10.71,13.99
2003,9.38,12.48,11.38,11.20,7.25,12.28,12.71,13.07,6.33,12.45,12.84,10.32,15.15,16.37,10.83,13.95
2004,9.30,12.50,11.22,11.21,6.99,12.12,12.63,12.93,6.26,12.31,12.72,10.13,15.28,16.52,10.74,13.81
2005,9.43,12.61,11.33,11.39,7.17,12.29,12.80,13.04,6.36,12.51,12.80,10.32,15.40,16.61,10.81,13.94
2006,9.40,12.41,11.31,11.22,7.22,12.25,12.81,13.16,6.49,12.49,13.00,10.26,15.14,16.37,10.78,14.08
2007,9.44,12.59,11.25,11.38,7.23,12.19,12.78,13.10,6.53,12.42,12.89,10.25,15.22,16.46,10.73,14.00
2008,9.44,12.65,11.26,11.37,7.14,12.15,12.80,13.12,6.36,12.39,12.90,10.23,15.44,16.62,10.74,13.98
2009,9.44,12.67,11.33,11.41,7.20,12.21,12.81,13.07,6.31,12.40,12.85,10.34,15.27,16.51,10.87,13.99
2010,9.50,12.85,11.29,11.35,7.15,12.22,12.82,13.25,6.42,12.53,13.08,10.25,15.44,16.55,10.81,14.11
2011,9.45,12.74,11.37,11.57,7.00,12.28,12.89,13.14,6.32,12.55,12.89,10.25,15.27,16.52,10.86,14.02
2012,9.53,12.89,11.31,11.64,7.11,12.21,12.93,13.16,6.43,12.45,12.97,10.25,15.49,16.73,10.81,14.04
2013,9.57,12.73,11.40,11.54,7.40,12.29,12.97,13.25,6.50,12.53,13.08,10.39,15.37,16.64,10.86,14.17
2014,9.56,12.60,11.47,11.44,7.37,12.37,12.96,13.29,6.58,12.64,13.06,10.40,15.23,16.44,10.93,14.21
