Variable:,tas
,Turkmenistan,Chardzhou,"Administrative unit not available",Mary,Tashauz,Balkan,Ahal
2015,16.39,16.92,17.27,17.10,15.27,16.74,15.83
2016,16.25,17.00,17.01,17.25,14.91,16.54,15.64
2017,16.32,17.02,17.16,17.17,15.05,16.52,15.84
2018,16.41,17.01,17.38,17.13,15.12,16.73,15.84
2019,16.71,17.36,17.36,17.38,15.68,16.94,16.07
2020,16.82,17.52,17.59,17.67,15.64,17.04,16.13
2021,16.95,17.63,17.80,17.79,15.60,17.28,16.27
2022,16.60,17.27,17.35,17.45,15.41,16.82,16.05
2023,16.90,17.68,17.40,17.78,15.77,17.06,16.45
2024,16.95,17.62,17.60,17.90,15.79,17.16,16.51
2025,17.40,18.14,18.03,18.15,16.22,17.62,16.90
2026,17.34,18.03,17.94,18.23,16.19,17.47,16.87
2027,17.37,18.25,17.75,18.44,16.10,17.44,16.98
2028,16.75,17.44,17.53,17.58,15.55,16.97,16.13
2029,17.24,17.90,17.74,18.11,16.16,17.46,16.78
2030,17.51,18.24,18.13,18.45,16.26,17.71,16.98
2031,16.94,17.67,17.69,17.83,15.70,17.16,16.38
2032,17.46,18.04,17.95,18.14,16.44,17.80,16.83
2033,17.31,18.06,17.86,17.92,16.34,17.45,16.65
2034,17.79,18.63,18.10,18.70,16.63,17.87,17.28
2035,17.29,17.97,18.05,18.09,16.04,17.53,16.72
2036,17.46,18.16,18.01,18.26,16.29,17.71,16.86
2037,17.62,18.27,18.15,18.36,16.56,17.84,16.98
2038,17.47,18.27,17.83,18.44,16.38,17.53,17.03
2039,17.36,17.96,18.01,18.12,16.29,17.63,16.76
2040,17.39,18.01,18.11,18.08,16.28,17.72,16.81
2041,17.69,18.50,18.28,18.58,16.51,17.77,17.00
2042,17.39,18.08,18.02,18.23,16.15,17.71,16.85
2043,17.35,17.92,18.06,17.96,16.32,17.76,16.72
2044,17.28,17.97,17.76,18.13,16.29,17.40,16.78
2045,17.50,18.14,18.03,18.40,16.44,17.67,16.95
2046,17.38,18.04,18.08,18.06,16.24,17.70,16.74
2047,17.45,18.24,17.79,18.34,16.36,17.56,16.99
2048,17.38,18.08,17.91,18.23,16.21,17.65,17.01
2049,17.18,17.84,17.92,17.96,16.00,17.45,16.58
2050,17.20,17.95,17.81,18.06,16.08,17.32,16.54
2051,17.37,18.12,17.89,18.25,16.27,17.54,16.78
2052,17.00,17.81,17.66,17.84,15.97,17.05,16.19
2053,17.53,18.22,18.02,18.26,16.47,17.74,17.02
2054,17.07,17.75,17.86,17.80,15.83,17.40,16.31
2055,17.53,18.41,17.90,18.56,16.33,17.55,17.09
2056,17.46,18.21,17.93,18.47,16.24,17.66,17.02
2057,17.08,17.91,17.55,18.09,15.81,17.18,16.59
2058,17.13,17.80,17.67,18.02,16.16,17.19,16.65
2059,17.30,18.23,17.53,18.38,16.10,17.30,16.94
2060,16.79,17.51,17.48,17.65,15.52,17.04,16.24
2061,17.29,18.06,17.86,18.14,16.16,17.41,16.71
2062,17.64,18.46,17.88,18.53,16.67,17.64,17.13
2063,17.12,17.93,17.77,18.17,15.74,17.33,16.65
2064,17.36,18.22,17.77,18.44,16.15,17.45,16.97
2065,17.10,17.61,17.82,17.82,15.98,17.47,16.64
2066,16.81,17.36,17.39,17.44,15.82,17.09,16.24
2067,17.62,18.52,17.80,18.84,16.38,17.55,17.32
2068,16.53,17.19,17.39,17.24,15.47,16.74,15.92
2069,17.13,17.97,17.73,18.24,15.90,17.25,16.51
2070,16.87,17.53,17.49,17.64,15.81,17.08,16.28
2071,17.35,18.13,17.76,18.31,16.20,17.50,16.80
2072,17.22,17.84,18.01,17.82,16.14,17.52,16.60
2073,17.25,17.99,17.77,18.11,16.09,17.48,16.71
2074,16.98,17.59,17.55,17.77,15.89,17.28,16.52
2075,16.75,17.48,17.47,17.66,15.55,16.92,16.18
2076,17.34,18.05,17.74,17.98,16.39,17.55,16.72
2077,17.21,17.91,17.92,18.15,16.02,17.45,16.53
2078,16.86,17.52,17.61,17.64,15.66,17.09,16.28
2079,17.14,17.97,17.65,18.20,15.91,17.30,16.53
2080,17.29,17.91,17.89,17.99,16.30,17.47,16.68
2081,17.08,17.67,17.73,17.86,15.98,17.34,16.49
2082,17.65,18.50,18.03,18.59,16.50,17.74,17.15
2083,17.14,17.87,17.68,18.01,15.98,17.27,16.55
2084,17.58,18.36,17.98,18.51,16.55,17.67,17.05
2085,17.15,17.80,17.72,17.93,16.04,17.45,16.60
2086,17.15,17.85,17.73,18.12,15.94,17.40,16.60
2087,17.20,17.85,17.93,18.06,15.90,17.52,16.57
2088,17.10,17.76,17.75,17.92,15.93,17.35,16.63
2089,16.89,17.36,17.66,17.59,15.98,17.23,16.32
2090,16.99,17.69,17.63,17.82,15.90,17.14,16.40
2091,17.11,17.81,17.67,17.96,16.07,17.24,16.43
2092,17.18,17.88,17.76,18.14,16.08,17.30,16.70
2093,17.39,18.11,17.80,18.32,16.22,17.61,16.97
2094,16.98,17.84,17.64,18.04,15.76,17.06,16.26
2095,16.98,17.69,17.68,17.86,15.76,17.24,16.40
2096,17.13,17.92,17.57,18.09,15.98,17.30,16.62
2097,16.56,17.35,17.29,17.52,15.36,16.67,15.87
2098,16.93,17.70,17.35,17.77,15.91,17.06,16.37
2099,17.13,17.95,17.69,18.01,15.96,17.27,16.55
2100,17.27,17.93,18.11,18.15,16.04,17.52,16.64
