Variable:,tas
,"New Zealand",Auckland,"Bay Of Plenty",Canterbury,"East Cape","Hawke's Bay",Nelson-marlborough,Northland,Otago,Southland,Taranaki,Waikato,Wanganui-manawatu,Wellington,Westland
2015,10.77,15.70,11.76,8.81,12.86,11.71,9.43,15.81,8.54,9.02,13.89,13.18,12.78,12.46,8.68
2016,10.89,15.80,11.92,8.92,13.06,11.86,9.48,15.90,8.64,9.09,13.99,13.32,12.92,12.57,8.78
2017,10.90,15.86,11.92,8.91,13.02,11.84,9.46,16.02,8.68,9.15,13.99,13.30,12.88,12.61,8.78
2018,10.92,15.81,11.92,9.01,13.02,11.87,9.53,15.94,8.72,9.16,13.97,13.29,12.89,12.59,8.83
2019,10.95,15.86,11.96,8.96,13.06,11.91,9.52,16.07,8.72,9.20,14.02,13.32,12.92,12.61,8.82
2020,11.10,16.08,12.17,9.11,13.24,12.08,9.69,16.21,8.78,9.24,14.22,13.57,13.15,12.76,8.99
2021,10.99,15.97,11.98,9.05,13.03,11.87,9.59,16.07,8.77,9.25,14.09,13.42,12.99,12.68,8.91
2022,10.96,15.88,11.93,9.05,13.06,11.84,9.57,16.04,8.75,9.21,14.03,13.31,12.93,12.59,8.89
2023,11.13,16.01,12.18,9.16,13.29,12.11,9.74,16.15,8.87,9.33,14.18,13.51,13.12,12.82,9.04
2024,11.10,16.03,12.11,9.13,13.25,12.00,9.74,16.21,8.87,9.32,14.15,13.50,13.08,12.77,8.99
2025,11.06,15.97,12.11,9.08,13.25,12.03,9.70,16.11,8.77,9.28,14.13,13.46,13.06,12.78,8.93
2026,11.17,16.07,12.20,9.20,13.29,12.17,9.73,16.23,8.95,9.41,14.21,13.56,13.15,12.82,9.03
2027,11.09,15.97,12.08,9.16,13.16,12.00,9.66,16.11,8.89,9.36,14.16,13.46,13.05,12.72,9.03
2028,11.19,16.15,12.22,9.23,13.29,12.12,9.77,16.28,8.95,9.40,14.28,13.63,13.19,12.82,9.07
2029,11.25,16.09,12.27,9.34,13.41,12.24,9.88,16.23,9.02,9.46,14.31,13.57,13.24,12.92,9.16
2030,11.24,16.24,12.34,9.27,13.46,12.23,9.84,16.40,8.91,9.35,14.32,13.70,13.24,12.86,9.11
2031,11.12,16.06,12.13,9.15,13.21,12.06,9.74,16.15,8.88,9.41,14.24,13.52,13.10,12.74,9.04
2032,11.18,16.09,12.25,9.19,13.37,12.17,9.76,16.27,8.88,9.35,14.24,13.59,13.19,12.82,9.07
2033,11.37,16.37,12.36,9.40,13.47,12.28,9.96,16.51,9.11,9.58,14.49,13.78,13.37,13.06,9.27
2034,11.25,16.25,12.31,9.24,13.38,12.26,9.85,16.37,8.96,9.49,14.29,13.72,13.28,12.95,9.15
2035,11.25,16.16,12.26,9.32,13.30,12.18,9.89,16.28,9.04,9.49,14.31,13.62,13.20,12.87,9.17
2036,11.19,16.15,12.38,9.18,13.46,12.25,9.76,16.29,8.86,9.29,14.19,13.71,13.23,12.87,8.99
2037,11.33,16.33,12.40,9.35,13.49,12.34,9.93,16.49,9.01,9.43,14.45,13.81,13.38,12.99,9.22
2038,11.28,16.09,12.23,9.36,13.36,12.18,9.95,16.26,9.08,9.58,14.33,13.60,13.25,12.97,9.21
2039,11.18,16.11,12.20,9.23,13.33,12.15,9.77,16.24,8.94,9.41,14.21,13.57,13.15,12.83,9.10
2040,11.39,16.36,12.46,9.39,13.55,12.36,10.01,16.56,9.05,9.52,14.44,13.84,13.38,13.06,9.28
2041,11.37,16.27,12.34,9.42,13.45,12.29,10.00,16.39,9.15,9.62,14.50,13.75,13.37,13.03,9.29
2042,11.38,16.32,12.32,9.48,13.44,12.28,10.05,16.41,9.13,9.56,14.41,13.76,13.34,13.03,9.35
2043,11.32,16.25,12.33,9.40,13.45,12.29,9.92,16.37,9.05,9.49,14.37,13.70,13.32,12.98,9.26
2044,11.35,16.34,12.45,9.34,13.54,12.37,9.91,16.50,9.06,9.51,14.43,13.82,13.40,13.06,9.18
2045,11.44,16.34,12.52,9.49,13.62,12.46,10.01,16.50,9.13,9.56,14.47,13.85,13.46,13.04,9.35
2046,11.26,16.12,12.31,9.35,13.43,12.21,9.82,16.34,9.05,9.46,14.24,13.59,13.16,12.87,9.12
2047,11.38,16.36,12.42,9.43,13.45,12.34,9.99,16.51,9.07,9.54,14.48,13.83,13.41,13.07,9.29
2048,11.27,16.18,12.27,9.37,13.34,12.17,9.92,16.34,9.03,9.48,14.30,13.65,13.23,12.94,9.19
2049,11.29,16.25,12.35,9.32,13.44,12.22,9.87,16.46,9.01,9.46,14.35,13.71,13.27,12.94,9.18
2050,11.39,16.29,12.42,9.46,13.53,12.33,10.00,16.44,9.15,9.58,14.41,13.78,13.38,13.12,9.26
2051,11.48,16.53,12.63,9.45,13.73,12.55,10.10,16.70,9.05,9.49,14.64,13.96,13.57,13.16,9.31
2052,11.51,16.53,12.58,9.50,13.66,12.50,10.06,16.66,9.21,9.69,14.63,13.94,13.52,13.16,9.40
2053,11.40,16.34,12.44,9.42,13.55,12.36,9.97,16.49,9.16,9.61,14.52,13.81,13.42,13.07,9.27
2054,11.40,16.30,12.46,9.49,13.58,12.42,10.00,16.44,9.18,9.56,14.40,13.76,13.37,13.05,9.28
2055,11.52,16.40,12.57,9.58,13.67,12.51,10.10,16.54,9.27,9.72,14.55,13.91,13.53,13.16,9.43
2056,11.26,16.20,12.35,9.28,13.51,12.28,9.82,16.35,8.99,9.48,14.32,13.66,13.25,12.96,9.10
2057,11.54,16.48,12.50,9.61,13.53,12.43,10.17,16.60,9.33,9.77,14.63,13.97,13.52,13.12,9.49
2058,11.45,16.43,12.49,9.46,13.63,12.42,10.02,16.60,9.19,9.61,14.50,13.87,13.43,13.13,9.30
2059,11.48,16.48,12.59,9.49,13.65,12.48,10.06,16.59,9.16,9.64,14.59,13.96,13.50,13.14,9.36
2060,11.49,16.42,12.59,9.50,13.68,12.46,10.09,16.59,9.16,9.64,14.53,13.92,13.47,13.12,9.37
2061,11.60,16.60,12.71,9.61,13.74,12.59,10.20,16.75,9.28,9.71,14.73,14.09,13.65,13.26,9.48
2062,11.53,16.59,12.64,9.49,13.72,12.53,10.10,16.76,9.19,9.66,14.68,14.04,13.57,13.17,9.37
2063,11.53,16.45,12.59,9.57,13.69,12.52,10.10,16.58,9.27,9.77,14.63,13.94,13.53,13.19,9.43
2064,11.50,16.46,12.54,9.51,13.66,12.44,10.07,16.63,9.23,9.71,14.59,13.94,13.54,13.14,9.38
2065,11.45,16.36,12.48,9.49,13.58,12.41,10.04,16.54,9.20,9.65,14.47,13.84,13.45,13.14,9.31
2066,11.41,16.30,12.53,9.43,13.64,12.41,10.03,16.49,9.13,9.62,14.43,13.81,13.38,13.03,9.27
2067,11.43,16.33,12.66,9.39,13.75,12.59,10.01,16.52,9.07,9.47,14.42,13.90,13.50,13.09,9.24
2068,11.53,16.51,12.58,9.56,13.71,12.49,10.11,16.68,9.21,9.62,14.65,14.00,13.57,13.20,9.41
2069,11.46,16.36,12.50,9.50,13.57,12.45,10.08,16.52,9.19,9.62,14.52,13.89,13.50,13.14,9.37
2070,11.54,16.37,12.62,9.62,13.71,12.54,10.19,16.54,9.25,9.69,14.51,13.91,13.49,13.20,9.47
2071,11.60,16.52,12.72,9.61,13.85,12.71,10.16,16.69,9.28,9.74,14.58,14.00,13.64,13.29,9.44
2072,11.54,16.45,12.58,9.57,13.70,12.48,10.09,16.58,9.31,9.80,14.61,13.96,13.51,13.14,9.43
2073,11.56,16.58,12.61,9.58,13.72,12.55,10.17,16.69,9.26,9.70,14.68,14.01,13.61,13.22,9.42
2074,11.50,16.51,12.58,9.51,13.68,12.53,10.17,16.66,9.10,9.52,14.54,14.00,13.61,13.20,9.37
2075,11.54,16.55,12.56,9.57,13.69,12.50,10.10,16.75,9.30,9.79,14.60,13.96,13.52,13.15,9.40
2076,11.53,16.44,12.64,9.56,13.74,12.50,10.06,16.60,9.29,9.75,14.49,13.95,13.51,13.15,9.39
2077,11.55,16.48,12.58,9.59,13.72,12.55,10.17,16.63,9.25,9.70,14.66,13.98,13.58,13.24,9.43
2078,11.47,16.41,12.62,9.46,13.75,12.52,10.09,16.58,9.11,9.59,14.52,13.91,13.47,13.09,9.29
2079,11.44,16.32,12.59,9.45,13.65,12.43,10.02,16.56,9.16,9.61,14.45,13.88,13.38,13.04,9.30
2080,11.42,16.23,12.42,9.49,13.58,12.37,10.00,16.46,9.18,9.64,14.43,13.73,13.38,13.07,9.34
2081,11.36,16.22,12.35,9.46,13.47,12.31,10.02,16.43,9.09,9.51,14.39,13.70,13.34,13.06,9.30
2082,11.35,16.21,12.32,9.42,13.43,12.31,10.00,16.41,9.14,9.54,14.41,13.70,13.29,13.03,9.25
2083,11.25,16.13,12.37,9.23,13.56,12.26,9.81,16.36,8.98,9.48,14.30,13.65,13.20,12.91,9.11
2084,11.38,16.24,12.36,9.49,13.48,12.39,9.93,16.39,9.18,9.60,14.37,13.73,13.36,13.00,9.32
2085,11.33,16.23,12.31,9.40,13.43,12.26,9.97,16.40,9.09,9.57,14.39,13.67,13.35,13.02,9.24
2086,11.30,16.13,12.38,9.31,13.54,12.29,9.92,16.33,9.02,9.47,14.34,13.68,13.30,13.01,9.16
2087,11.43,16.41,12.50,9.46,13.63,12.40,10.00,16.58,9.14,9.58,14.54,13.88,13.42,13.08,9.32
2088,11.46,16.38,12.53,9.47,13.63,12.43,10.02,16.51,9.19,9.69,14.57,13.93,13.48,13.14,9.33
2089,11.46,16.41,12.51,9.42,13.64,12.47,10.02,16.56,9.21,9.68,14.56,13.92,13.51,13.16,9.26
2090,11.35,16.29,12.33,9.42,13.45,12.30,9.95,16.44,9.15,9.63,14.34,13.71,13.29,13.00,9.24
2091,11.45,16.37,12.50,9.42,13.63,12.43,10.03,16.60,9.17,9.71,14.53,13.85,13.45,13.11,9.35
