Variable:,tasmax
,Guinea,Boke,Conakry,Faranah,Kankan,Kindia,Labe,Mamou,Nzerekore
2015,32.60,31.91,28.18,32.11,32.83,30.65,31.85,31.52,31.85
2016,32.57,31.86,28.15,32.04,32.80,30.60,31.80,31.43,31.72
2017,32.63,31.89,28.24,32.15,32.86,30.68,31.89,31.56,31.78
2018,32.56,31.90,28.22,32.09,32.80,30.68,31.73,31.49,31.81
2019,32.69,31.93,28.39,32.23,32.95,30.74,31.88,31.54,31.82
2020,32.63,31.88,28.22,32.18,32.90,30.68,31.82,31.57,31.89
2021,32.67,31.98,28.42,32.19,32.92,30.79,31.84,31.57,31.90
2022,32.82,32.02,28.39,32.35,33.12,30.79,31.94,31.68,32.00
2023,32.77,32.13,28.48,32.27,32.96,30.86,32.01,31.71,31.98
2024,32.91,32.23,28.52,32.45,33.13,31.00,32.10,31.84,32.15
2025,32.83,32.15,28.39,32.32,33.05,30.87,32.07,31.69,32.01
2026,32.99,32.20,28.46,32.51,33.22,30.92,32.29,31.87,32.11
2027,32.97,32.15,28.44,32.50,33.24,30.92,32.15,31.85,32.11
2028,32.91,32.21,28.59,32.42,33.14,31.00,32.11,31.80,32.13
2029,33.07,32.35,28.73,32.60,33.29,31.13,32.28,31.97,32.21
2030,32.86,32.13,28.46,32.42,33.11,30.92,32.04,31.81,32.06
2031,32.92,32.29,28.57,32.40,33.12,30.95,32.24,31.77,32.06
2032,33.04,32.26,28.61,32.57,33.30,31.06,32.26,31.96,32.33
2033,33.16,32.40,28.70,32.67,33.40,31.20,32.39,32.14,32.22
2034,32.99,32.32,28.59,32.48,33.22,31.04,32.16,31.83,32.28
2035,33.15,32.35,28.66,32.71,33.41,31.13,32.36,32.08,32.29
2036,33.11,32.35,28.65,32.61,33.34,31.11,32.31,31.97,32.29
2037,33.36,32.58,28.76,32.90,33.63,31.28,32.60,32.23,32.55
2038,33.37,32.66,28.98,32.87,33.57,31.40,32.64,32.29,32.45
2039,33.35,32.58,28.75,32.87,33.60,31.29,32.57,32.23,32.48
2040,33.27,32.59,28.93,32.78,33.46,31.33,32.49,32.23,32.50
2041,33.36,32.58,28.86,32.86,33.60,31.33,32.54,32.23,32.57
2042,33.41,32.62,28.92,32.93,33.68,31.37,32.65,32.30,32.42
2043,33.40,32.58,28.89,32.95,33.67,31.31,32.60,32.30,32.54
2044,33.47,32.64,28.87,32.98,33.76,31.32,32.68,32.27,32.58
2045,33.54,32.64,28.85,33.04,33.83,31.36,32.75,32.37,32.71
2046,33.58,32.77,29.06,33.14,33.82,31.51,32.85,32.46,32.76
2047,33.71,32.89,29.02,33.23,33.96,31.54,32.91,32.50,32.81
2048,33.69,32.84,29.18,33.18,33.92,31.64,32.93,32.59,32.82
2049,33.55,32.80,29.11,33.06,33.80,31.53,32.77,32.42,32.66
2050,33.40,32.65,29.05,32.94,33.67,31.42,32.56,32.29,32.67
2051,33.55,32.75,29.09,33.05,33.80,31.50,32.73,32.41,32.66
2052,33.83,33.06,29.18,33.34,34.07,31.75,33.04,32.65,33.01
2053,33.80,32.96,29.12,33.36,34.10,31.71,32.99,32.71,32.93
2054,33.73,32.93,29.19,33.33,33.97,31.70,32.99,32.67,32.87
2055,33.90,33.08,29.21,33.43,34.14,31.76,33.17,32.78,32.91
2056,33.84,32.96,29.22,33.38,34.13,31.67,33.03,32.63,32.97
