Variable:,tas
,Eritrea,Anseba,Archipelagos,Debub,"Debubawi Keih Bahri","Gash Barka",Maekel,"Semenawi Keih Bahri"
2015,27.25,28.04,27.84,23.38,28.46,28.29,25.69,24.95
2016,27.29,28.12,27.91,23.57,28.61,28.35,25.73,25.02
2017,27.42,28.21,28.02,23.61,28.70,28.44,25.65,25.10
2018,27.36,28.15,28.01,23.67,28.60,28.48,25.89,25.02
2019,27.32,28.11,27.83,23.53,28.57,28.49,25.83,25.00
2020,27.68,28.51,28.24,23.88,28.88,28.83,26.14,25.38
2021,27.59,28.40,28.24,23.80,28.82,28.69,26.10,25.27
2022,27.42,28.20,28.00,23.51,28.59,28.34,25.73,25.14
2023,27.52,28.30,28.15,23.71,28.72,28.64,25.94,25.20
2024,27.63,28.43,28.31,23.77,28.81,28.70,26.07,25.34
2025,27.79,28.59,28.39,23.99,28.90,28.90,26.32,25.49
2026,27.97,28.75,28.58,24.12,29.09,29.10,26.37,25.64
2027,27.58,28.42,28.17,23.78,28.80,28.76,26.14,25.22
2028,27.64,28.45,28.20,23.84,28.91,28.76,26.16,25.32
2029,27.83,28.75,28.32,24.02,28.97,28.96,26.34,25.54
2030,27.89,28.69,28.48,23.97,29.12,28.96,26.23,25.55
2031,27.83,28.62,28.42,23.97,29.07,28.89,26.27,25.53
2032,27.58,28.48,28.10,23.50,28.62,28.70,25.93,25.21
2033,27.53,28.38,28.01,23.66,28.87,28.59,25.96,25.20
2034,27.72,28.50,28.40,23.91,29.06,28.68,26.07,25.43
2035,28.12,28.93,28.76,24.37,29.24,29.26,26.67,25.85
2036,27.74,28.54,28.29,23.97,28.93,28.86,26.23,25.44
2037,27.83,28.65,28.44,23.85,29.14,28.94,26.29,25.45
2038,27.90,28.61,28.58,24.15,29.32,28.93,26.31,25.54
2039,27.82,28.63,28.48,24.05,29.12,28.96,26.30,25.47
2040,28.00,28.80,28.57,24.13,29.32,29.06,26.41,25.68
2041,28.31,29.24,28.74,24.63,29.44,29.58,26.93,26.00
2042,27.76,28.54,28.36,23.94,28.93,28.94,26.27,25.40
2043,27.73,28.45,28.38,23.89,29.02,28.65,26.14,25.49
2044,27.97,28.77,28.50,23.98,29.14,28.93,26.37,25.68
2045,28.16,29.12,28.64,24.33,29.21,29.33,26.66,25.85
2046,27.83,28.67,28.27,24.11,28.95,28.98,26.39,25.53
2047,28.14,29.01,28.70,24.36,29.34,29.31,26.67,25.77
2048,28.03,28.97,28.56,24.12,29.06,29.38,26.49,25.72
2049,27.82,28.66,28.50,24.03,29.08,28.93,26.19,25.49
2050,27.69,28.52,28.44,23.78,28.81,28.82,26.21,25.33
2051,27.77,28.60,28.35,24.01,28.94,28.92,26.27,25.43
2052,27.71,28.48,28.30,23.97,29.06,28.90,26.18,25.34
2053,27.98,28.87,28.50,24.18,29.27,29.01,26.47,25.71
2054,27.94,28.75,28.56,24.23,29.06,28.99,26.37,25.66
2055,27.98,28.78,28.64,24.22,29.10,29.09,26.35,25.67
2056,27.82,28.58,28.52,23.98,29.11,28.85,26.00,25.50
2057,27.82,28.62,28.40,24.16,29.12,28.91,26.43,25.52
2058,27.88,28.68,28.42,24.14,29.10,28.95,26.41,25.57
2059,27.99,28.82,28.57,24.13,29.11,29.04,26.41,25.68
2060,27.89,28.64,28.46,24.16,29.08,28.96,26.31,25.68
2061,27.80,28.56,28.37,24.04,29.06,28.89,26.33,25.49
2062,27.95,28.68,28.57,24.07,29.27,28.92,26.27,25.63
2063,27.84,28.59,28.39,24.01,29.11,28.94,26.22,25.51
2064,27.57,28.34,28.25,23.70,28.73,28.64,25.84,25.23
2065,27.67,28.45,28.31,23.79,28.93,28.73,26.17,25.36
2066,27.74,28.40,28.40,24.00,29.07,28.89,26.16,25.41
2067,27.73,28.40,28.51,23.97,29.01,28.75,26.17,25.40
2068,27.80,28.59,28.36,24.09,29.08,28.95,26.23,25.46
2069,27.89,28.70,28.55,23.96,29.14,28.97,26.27,25.55
2070,27.89,28.70,28.54,24.13,29.09,28.83,26.33,25.58
2071,28.05,28.86,28.60,24.21,29.17,29.09,26.56,25.77
2072,27.52,28.24,28.26,23.63,28.83,28.47,25.87,25.21
2073,27.68,28.44,28.30,24.06,29.00,28.87,26.12,25.33
2074,27.76,28.54,28.37,23.78,29.01,28.80,26.13,25.38
2075,27.55,28.33,28.13,23.55,28.75,28.60,25.81,25.19
2076,27.71,28.48,28.19,24.06,28.90,28.88,26.22,25.40
2077,27.80,28.57,28.35,24.07,29.02,28.87,26.25,25.53
2078,27.36,28.14,27.98,23.80,28.67,28.51,25.91,25.07
2079,27.94,28.79,28.35,24.29,29.18,29.25,26.56,25.61
2080,27.82,28.69,28.43,24.01,28.86,29.03,26.29,25.53
2081,27.81,28.68,28.38,24.04,28.94,28.97,26.28,25.53
2082,27.86,28.70,28.46,23.92,29.07,28.90,26.24,25.57
2083,27.84,28.61,28.47,23.80,29.17,28.77,26.11,25.54
2084,27.75,28.57,28.40,24.06,28.97,28.97,26.34,25.43
2085,27.60,28.42,28.15,23.82,28.80,28.69,26.06,25.30
2086,27.52,28.19,28.26,23.64,28.82,28.55,25.80,25.14
2087,27.78,28.58,28.40,23.84,29.08,28.71,26.05,25.46
2088,27.89,28.76,28.43,24.10,29.10,29.06,26.39,25.62
2089,27.28,27.94,28.01,23.44,28.60,28.29,25.65,24.94
2090,27.77,28.59,28.30,23.91,29.05,28.86,26.20,25.46
2091,27.66,28.53,28.20,23.91,28.91,28.74,26.20,25.39
2092,27.33,28.16,27.80,23.72,28.60,28.55,25.91,25.03
2093,27.71,28.61,28.23,24.02,28.92,28.92,26.29,25.41
2094,27.72,28.53,28.27,23.91,29.03,28.80,26.29,25.38
2095,27.52,28.29,28.12,23.74,28.79,28.55,25.98,25.20
2096,27.47,28.29,28.07,23.76,28.62,28.54,25.87,25.19
2097,27.52,28.32,28.17,23.67,28.70,28.54,25.99,25.24
2098,27.61,28.44,28.19,23.80,28.77,28.78,26.08,25.30
2099,27.65,28.50,28.30,23.81,28.80,28.71,26.12,25.41
2100,27.77,28.56,28.35,23.92,28.87,28.78,26.18,25.52
