Variable:,tasmin
,Romania,Alba,Arad,Arges,Bacau,Bihor,Bistrita-nasaud,Botosani,Braila,Brasov,Bucuresti,Buzau,Calarasi,Caras-severin,Cluj,Constanta,Covasna,Dimbovita,Dolj,Galati,Giurgiu,Gorj,Harghita,Hunedoara,Ialomita,Iasi,Maramures,Mehedinti,Mures,Neamt,Olt,Prahova,Salaj,"Satu Mare",Sibiu,Suceava,Teleorman,Timis,Tulcea,Vaslui,Vilcea,Vrancea
2015,5.35,4.55,7.52,6.10,2.95,6.88,4.20,3.05,7.02,4.40,7.33,5.81,7.30,7.40,4.36,8.45,4.00,6.47,7.52,6.57,7.13,6.73,2.70,5.93,7.33,4.38,4.31,7.06,3.59,2.01,7.58,5.66,4.88,5.61,4.61,1.18,6.85,8.27,8.34,5.18,6.02,5.48
2016,5.30,4.45,7.33,6.04,3.05,6.73,4.08,3.13,7.02,4.34,7.35,5.80,7.28,7.18,4.25,8.51,4.00,6.44,7.43,6.56,7.12,6.59,2.69,5.77,7.31,4.46,4.16,6.90,3.57,2.10,7.56,5.63,4.75,5.49,4.53,1.18,6.83,8.04,8.32,5.20,5.93,5.50
2017,5.46,4.56,7.29,6.13,3.28,6.69,4.32,3.26,7.15,4.56,7.38,5.95,7.40,7.27,4.36,8.63,4.25,6.50,7.49,6.72,7.14,6.67,3.09,5.84,7.45,4.54,4.31,6.92,3.87,2.31,7.62,5.77,4.79,5.50,4.71,1.39,6.87,8.15,8.55,5.41,6.02,5.65
2018,5.22,4.39,7.28,5.87,2.90,6.65,4.08,2.98,6.91,4.22,7.09,5.67,7.10,7.21,4.20,8.32,3.86,6.23,7.33,6.49,6.89,6.52,2.58,5.72,7.14,4.29,4.12,6.87,3.52,1.93,7.38,5.47,4.67,5.40,4.44,1.13,6.63,8.09,8.19,5.18,5.80,5.39
2019,4.84,3.95,6.84,5.51,2.62,6.14,3.60,2.70,6.55,3.85,6.85,5.35,6.84,6.85,3.73,8.05,3.56,5.91,6.99,6.11,6.60,6.14,2.33,5.31,6.87,4.05,3.59,6.51,3.16,1.67,7.03,5.14,4.12,4.84,4.06,0.75,6.29,7.70,7.92,4.81,5.42,5.03
2020,5.45,4.52,7.51,6.14,3.17,6.83,4.18,3.30,7.22,4.50,7.44,6.03,7.44,7.39,4.29,8.63,4.19,6.53,7.56,6.78,7.19,6.75,2.89,5.92,7.48,4.58,4.18,7.05,3.70,2.24,7.60,5.79,4.73,5.48,4.67,1.36,6.88,8.30,8.46,5.41,6.05,5.71
2021,5.70,4.78,7.49,6.44,3.44,6.89,4.44,3.48,7.59,4.77,7.84,6.35,7.84,7.57,4.57,9.02,4.45,6.88,7.86,7.13,7.55,6.95,3.05,6.06,7.87,4.84,4.42,7.31,3.98,2.46,7.95,6.13,4.95,5.68,4.91,1.55,7.20,8.35,8.88,5.71,6.30,6.03
2022,5.41,4.48,7.26,6.07,3.17,6.61,4.26,3.25,7.20,4.46,7.47,5.90,7.50,7.29,4.29,8.70,4.13,6.53,7.53,6.70,7.23,6.64,2.93,5.76,7.55,4.58,4.24,7.02,3.72,2.26,7.60,5.74,4.72,5.43,4.56,1.45,6.92,8.12,8.51,5.30,5.93,5.59
2023,5.68,4.91,7.83,6.35,3.37,7.15,4.41,3.41,7.43,4.71,7.58,6.14,7.59,7.67,4.68,8.78,4.35,6.71,7.79,7.01,7.37,7.02,3.08,6.23,7.63,4.75,4.42,7.32,4.03,2.40,7.80,5.94,5.02,5.76,4.96,1.52,7.09,8.57,8.70,5.63,6.29,5.87
2024,5.73,4.88,7.73,6.40,3.49,7.10,4.55,3.55,7.44,4.80,7.71,6.30,7.66,7.66,4.67,8.76,4.51,6.83,7.77,7.03,7.46,7.00,3.27,6.20,7.69,4.87,4.54,7.32,4.10,2.56,7.84,6.08,5.09,5.83,4.96,1.68,7.12,8.51,8.65,5.68,6.29,5.99
