Variable:,tas
,"New Zealand",Auckland,"Bay Of Plenty",Canterbury,"East Cape","Hawke's Bay",Nelson-marlborough,Northland,Otago,Southland,Taranaki,Waikato,Wanganui-manawatu,Wellington,Westland
2015,10.80,15.69,11.83,8.83,12.95,11.74,9.37,15.87,8.61,9.08,13.93,13.19,12.75,12.37,8.70
2016,10.84,15.93,11.91,8.79,12.95,11.83,9.39,16.15,8.49,9.07,13.99,13.32,12.88,12.55,8.71
2017,10.73,15.60,11.79,8.80,12.87,11.68,9.38,15.76,8.49,8.91,13.76,13.13,12.69,12.35,8.63
2018,11.00,15.89,12.11,9.06,13.26,11.99,9.61,16.11,8.68,9.05,14.01,13.37,12.97,12.57,8.86
2019,10.88,15.74,11.87,8.98,12.98,11.84,9.54,15.91,8.54,9.04,13.94,13.25,12.86,12.51,8.86
2020,11.04,15.94,12.06,9.09,13.20,12.00,9.66,16.05,8.77,9.20,14.18,13.44,13.08,12.77,8.93
2021,11.08,16.00,12.08,9.16,13.18,11.98,9.61,16.20,8.88,9.25,14.10,13.49,13.04,12.69,8.99
2022,10.97,16.10,11.99,8.97,13.08,11.92,9.51,16.26,8.68,9.15,14.07,13.47,13.00,12.60,8.81
2023,10.79,15.69,11.77,8.88,12.96,11.71,9.35,15.85,8.63,9.12,13.79,13.14,12.72,12.44,8.67
2024,11.09,16.08,12.12,9.13,13.26,12.07,9.67,16.25,8.82,9.27,14.10,13.47,13.08,12.80,8.97
2025,11.04,16.01,11.99,9.07,13.11,11.90,9.63,16.18,8.83,9.34,14.12,13.42,12.99,12.70,8.96
2026,11.12,16.05,12.11,9.16,13.21,12.06,9.78,16.20,8.78,9.28,14.29,13.54,13.16,12.82,9.05
2027,11.19,16.12,12.12,9.28,13.26,12.06,9.80,16.28,8.98,9.44,14.29,13.56,13.15,12.78,9.15
2028,11.14,16.14,12.14,9.18,13.23,12.09,9.73,16.27,8.91,9.33,14.22,13.59,13.15,12.82,9.01
2029,11.02,15.97,11.97,9.08,13.09,11.96,9.63,16.13,8.79,9.23,14.09,13.38,13.02,12.66,8.94
