Variable:,tas
,Aruba,"Administrative unit not available"
2015,27.74,28.14
2016,27.52,27.89
2017,27.79,28.21
2018,27.75,28.14
2019,27.76,28.16
2020,27.94,28.28
2021,27.83,28.21
2022,27.90,28.28
2023,27.95,28.38
2024,27.97,28.42
2025,27.97,28.40
2026,28.05,28.50
2027,28.05,28.49
2028,27.97,28.34
2029,27.98,28.40
2030,27.92,28.35
2031,27.88,28.29
2032,28.00,28.39
2033,27.85,28.29
2034,27.97,28.39
2035,28.19,28.60
2036,27.90,28.23
2037,28.01,28.40
2038,28.06,28.46
2039,28.04,28.45
2040,28.12,28.48
2041,28.21,28.62
2042,28.00,28.41
2043,27.93,28.37
2044,28.04,28.48
2045,28.24,28.66
2046,28.09,28.52
2047,28.20,28.61
2048,28.18,28.70
2049,28.09,28.48
2050,28.00,28.40
2051,27.99,28.50
2052,27.98,28.38
2053,28.08,28.42
2054,28.13,28.57
2055,27.96,28.35
2056,28.00,28.40
2057,28.17,28.56
2058,27.99,28.41
2059,28.03,28.35
2060,27.97,28.35
2061,27.92,28.34
2062,28.08,28.50
2063,28.15,28.65
2064,28.09,28.49
2065,27.79,28.25
2066,27.85,28.35
2067,28.23,28.70
2068,28.11,28.52
2069,27.95,28.33
2070,28.10,28.53
2071,28.15,28.54
2072,27.98,28.37
2073,27.82,28.28
2074,28.18,28.58
2075,28.00,28.47
2076,28.07,28.44
2077,27.99,28.39
2078,27.81,28.26
2079,27.82,28.23
2080,28.11,28.53
2081,27.94,28.40
2082,27.91,28.30
2083,27.99,28.45
2084,28.07,28.43
2085,27.72,28.09
2086,28.06,28.49
2087,28.19,28.60
2088,27.90,28.30
2089,27.72,28.11
2090,28.10,28.51
2091,28.18,28.59
2092,27.75,28.14
2093,27.86,28.36
2094,27.91,28.34
2095,28.05,28.49
2096,27.89,28.31
2097,27.74,28.17
2098,27.79,28.19
2099,27.89,28.32
2100,28.23,28.63
