Variable:,tas
,"Pitcairn Islands","Administrative unit not available"
2015,23.49,23.06
2016,23.44,23.15
2017,23.39,23.03
2018,23.46,23.10
2019,23.60,23.22
2020,23.67,23.28
2021,23.48,23.10
2022,23.64,23.27
2023,23.49,23.00
2024,23.44,23.08
2025,23.44,23.01
2026,23.58,23.16
2027,23.66,23.21
2028,23.71,23.38
2029,23.56,23.16
2030,23.63,23.16
2031,23.74,23.34
2032,23.58,23.11
2033,23.66,23.13
2034,23.62,23.18
2035,23.64,23.21
2036,23.61,23.19
2037,23.66,23.27
2038,23.55,23.07
2039,23.53,23.16
2040,23.39,23.06
2041,23.50,23.26
2042,23.73,23.34
2043,23.73,23.34
2044,23.63,23.20
2045,23.53,23.09
2046,23.56,23.09
2047,23.51,23.01
2048,23.79,23.32
2049,23.53,23.20
2050,23.45,23.03
2051,23.61,23.16
2052,23.67,23.19
2053,23.76,23.34
2054,23.70,23.33
2055,23.75,23.34
2056,23.72,23.36
2057,23.64,23.21
2058,23.58,23.13
2059,23.66,23.22
2060,23.83,23.33
2061,23.62,23.12
2062,23.68,23.15
2063,23.43,23.01
2064,23.46,23.09
2065,23.76,23.40
2066,23.72,23.29
2067,23.81,23.36
2068,23.56,23.19
2069,23.68,23.21
2070,23.62,23.22
2071,23.79,23.36
2072,23.79,23.44
2073,23.41,23.11
2074,23.53,23.04
2075,23.53,23.20
2076,23.49,23.06
2077,23.58,23.25
2078,23.65,23.33
2079,23.38,22.92
2080,23.36,23.04
2081,23.52,23.26
2082,23.72,23.33
2083,23.60,23.15
2084,23.57,23.05
2085,23.44,23.08
2086,23.49,22.98
2087,23.54,23.22
2088,23.56,23.14
2089,23.62,23.21
2090,23.62,23.14
2091,23.65,23.14
2092,23.45,23.18
2093,23.57,23.08
2094,23.58,23.11
2095,23.34,22.93
2096,23.56,23.14
2097,23.59,23.20
2098,23.19,22.72
2099,23.36,22.96
2100,23.25,22.90
