Variable:,tas
,Belarus,Brest,Gomel,Grodno,Minsk,"Minsk City",Mogilev,Vitebsk
2015,7.58,8.56,8.48,8.05,7.80,8.03,7.56,6.95
2016,7.50,8.30,8.36,7.89,7.71,7.91,7.49,6.94
2017,7.52,8.30,8.45,7.78,7.70,7.84,7.58,6.95
2018,7.75,8.66,8.63,8.09,7.99,8.19,7.78,7.15
2019,7.51,8.37,8.46,7.83,7.64,7.81,7.56,6.96
2020,8.01,8.91,8.84,8.48,8.21,8.31,8.04,7.43
2021,8.07,8.94,8.85,8.57,8.34,8.56,8.07,7.45
2022,8.60,9.52,9.46,9.01,8.85,9.14,8.58,7.99
2023,7.74,8.64,8.62,8.11,8.01,8.25,7.74,7.13
2024,7.89,8.81,8.80,8.21,8.06,8.25,7.90,7.30
2025,8.39,9.23,9.24,8.76,8.59,8.77,8.47,7.77
2026,8.44,9.31,9.26,8.94,8.62,8.79,8.46,7.82
2027,8.17,9.03,9.03,8.57,8.39,8.57,8.20,7.53
2028,8.20,9.07,9.11,8.53,8.38,8.56,8.25,7.61
2029,8.51,9.33,9.32,8.90,8.74,8.96,8.54,7.91
2030,8.35,9.18,9.29,8.74,8.54,8.76,8.35,7.74
2031,8.20,9.11,9.09,8.59,8.39,8.57,8.22,7.59
2032,8.73,9.59,9.44,9.17,8.91,9.11,8.66,8.18
2033,8.50,9.34,9.26,8.98,8.75,8.96,8.45,7.93
2034,8.26,9.26,9.06,8.75,8.44,8.61,8.21,7.68
2035,8.43,9.15,9.14,8.84,8.62,8.81,8.43,7.94
2036,8.66,9.45,9.52,9.02,8.80,8.93,8.68,8.09
2037,8.50,9.36,9.22,8.95,8.65,8.82,8.44,8.00
2038,8.72,9.52,9.60,9.09,8.89,9.06,8.76,8.09
2039,8.65,9.39,9.49,8.98,8.83,9.03,8.67,8.10
2040,8.85,9.67,9.70,9.17,9.01,9.16,8.91,8.29
2041,8.92,9.63,9.76,9.18,9.06,9.19,9.04,8.38
2042,8.40,9.33,9.17,8.90,8.62,8.81,8.33,7.84
2043,9.07,9.92,9.89,9.52,9.33,9.53,9.00,8.54
2044,8.52,9.34,9.47,8.80,8.68,8.85,8.59,7.93
2045,8.68,9.46,9.47,9.02,8.91,9.12,8.66,8.13
2046,8.78,9.67,9.64,9.22,8.98,9.17,8.79,8.15
2047,9.06,9.78,9.83,9.36,9.24,9.38,9.05,8.59
2048,9.61,10.43,10.34,9.95,9.79,9.98,9.59,9.10
2049,9.14,9.93,9.95,9.54,9.31,9.51,9.12,8.57
2050,9.36,10.05,10.28,9.65,9.50,9.65,9.45,8.78
2051,9.19,10.01,9.93,9.56,9.37,9.52,9.15,8.66
2052,9.22,10.15,9.94,9.70,9.44,9.66,9.18,8.64
2053,9.71,10.36,10.41,9.93,9.92,10.11,9.73,9.25
2054,8.95,9.74,9.80,9.28,9.19,9.39,8.99,8.39
2055,8.92,9.81,9.73,9.26,9.07,9.25,8.94,8.35
2056,9.59,10.33,10.42,9.81,9.73,9.91,9.71,9.07
2057,9.22,10.18,10.04,9.65,9.42,9.56,9.12,8.69
2058,9.32,10.23,10.10,9.83,9.64,9.84,9.31,8.67
2059,9.34,10.12,10.16,9.65,9.44,9.56,9.42,8.79
2060,9.05,9.98,9.87,9.49,9.22,9.37,9.03,8.48
2061,9.54,10.31,10.42,9.85,9.75,9.92,9.61,8.98
2062,9.71,10.43,10.44,10.01,9.89,10.07,9.69,9.23
2063,9.56,10.49,10.29,10.01,9.73,9.85,9.57,9.01
2064,9.59,10.42,10.39,10.01,9.80,9.94,9.55,9.03
2065,9.70,10.68,10.52,10.05,9.91,10.10,9.64,9.14
2066,9.70,10.47,10.36,10.11,9.95,10.12,9.68,9.20
2067,9.40,10.29,10.31,9.77,9.56,9.78,9.42,8.78
2068,9.34,10.08,10.09,9.63,9.49,9.64,9.35,8.85
2069,9.92,10.69,10.81,10.25,10.10,10.28,9.89,9.39
2070,9.50,10.19,10.17,9.82,9.68,9.92,9.53,9.00
2071,9.74,10.64,10.65,10.15,9.98,10.14,9.73,9.13
2072,10.08,10.85,10.79,10.39,10.25,10.45,10.12,9.58
2073,9.55,10.44,10.30,10.00,9.78,9.97,9.49,9.00
2074,9.60,10.35,10.37,9.97,9.80,9.98,9.66,9.04
2075,9.48,10.40,10.23,9.91,9.72,9.96,9.46,8.92
2076,9.94,10.71,10.70,10.30,10.21,10.41,9.93,9.41
2077,9.77,10.52,10.50,10.08,9.95,10.12,9.80,9.27
2078,9.76,10.56,10.66,10.04,9.95,10.09,9.83,9.13
2079,9.80,10.64,10.62,10.08,9.96,10.11,9.85,9.28
2080,9.76,10.45,10.39,9.97,9.89,10.00,9.79,9.34
2081,10.09,10.84,11.00,10.32,10.32,10.60,10.23,9.43
2082,9.84,10.87,10.71,10.28,10.02,10.22,9.80,9.22
2083,9.60,10.47,10.45,9.99,9.79,9.99,9.65,8.99
2084,9.75,10.59,10.66,10.05,9.89,10.09,9.89,9.14
2085,9.70,10.68,10.67,10.08,10.01,10.22,9.73,9.04
2086,9.88,10.71,10.80,10.17,10.06,10.24,9.99,9.26
2087,10.07,10.78,10.88,10.39,10.22,10.37,10.13,9.54
2088,10.01,10.78,10.81,10.25,10.09,10.21,10.18,9.44
2089,10.06,10.81,10.83,10.38,10.24,10.40,10.13,9.50
2090,9.71,10.47,10.44,10.02,9.87,10.02,9.70,9.23
2091,10.06,10.79,10.99,10.23,10.17,10.34,10.24,9.49
2092,10.55,11.20,11.27,10.80,10.71,10.89,10.58,10.06
2093,10.11,10.91,10.79,10.55,10.30,10.49,10.02,9.62
2094,9.93,10.65,10.71,10.31,10.11,10.29,9.98,9.37
2095,10.34,11.08,11.27,10.57,10.46,10.62,10.51,9.72
2096,10.08,10.89,11.01,10.30,10.26,10.38,10.23,9.50
2097,10.27,11.04,11.22,10.50,10.43,10.63,10.43,9.66
2098,10.18,10.93,10.84,10.59,10.35,10.51,10.17,9.69
2099,9.99,10.79,10.95,10.28,10.13,10.26,10.08,9.42
2100,10.34,11.15,11.12,10.68,10.54,10.75,10.35,9.79
