Variable:,tasmax
,Guinea-Bissau,Bafata,Biombo,Bolama/bijagos,Cacheu,Gabu,Oio,Quinara,"Sector Autonomo De Bissau",Tombali
2015,33.66,33.14,30.84,28.95,30.77,33.15,33.45,31.18,30.79,31.91
2016,33.60,33.09,30.72,28.84,30.67,33.09,33.32,31.08,30.67,31.84
2017,33.61,33.08,30.79,28.92,30.75,33.09,33.38,31.14,30.74,31.87
2018,33.63,33.14,30.71,28.86,30.68,33.14,33.31,31.08,30.66,31.85
2019,33.75,33.25,30.89,29.00,30.84,33.21,33.50,31.24,30.84,31.98
2020,33.62,33.12,30.75,28.90,30.73,33.11,33.35,31.11,30.70,31.87
2021,33.75,33.28,30.86,29.02,30.82,33.24,33.43,31.21,30.81,31.96
2022,33.80,33.28,30.95,29.12,30.96,33.27,33.54,31.30,30.90,32.03
2023,33.89,33.37,31.02,29.16,31.01,33.36,33.65,31.37,30.97,32.12
2024,33.99,33.50,31.16,29.25,31.06,33.49,33.71,31.51,31.11,32.24
2025,33.90,33.43,31.06,29.14,30.96,33.42,33.61,31.43,31.01,32.21
2026,33.94,33.41,31.04,29.18,31.02,33.42,33.63,31.40,30.99,32.16
2027,33.98,33.44,30.98,29.15,31.03,33.44,33.67,31.33,30.93,32.07
2028,33.94,33.41,31.14,29.25,31.04,33.43,33.67,31.48,31.09,32.19
2029,34.08,33.62,31.23,29.34,31.15,33.59,33.79,31.59,31.18,32.35
2030,33.82,33.35,31.01,29.10,30.91,33.34,33.55,31.37,30.96,32.13
2031,34.14,33.61,31.26,29.39,31.22,33.60,33.83,31.59,31.21,32.30
2032,33.94,33.46,31.08,29.26,31.10,33.45,33.68,31.45,31.03,32.24
2033,34.02,33.47,31.16,29.28,31.07,33.54,33.67,31.51,31.11,32.26
2034,34.04,33.51,31.22,29.40,31.19,33.53,33.77,31.57,31.17,32.30
2035,34.11,33.57,31.19,29.31,31.17,33.59,33.81,31.54,31.14,32.29
2036,34.17,33.64,31.24,29.34,31.18,33.62,33.86,31.59,31.19,32.32
2037,34.38,33.87,31.36,29.45,31.33,33.87,34.01,31.73,31.31,32.52
2038,34.42,33.91,31.46,29.56,31.38,33.91,34.06,31.83,31.41,32.59
2039,34.39,33.87,31.33,29.49,31.36,33.87,34.03,31.71,31.28,32.50
2040,34.39,33.86,31.44,29.60,31.42,33.86,34.03,31.80,31.39,32.57
2041,34.35,33.84,31.42,29.54,31.37,33.83,34.00,31.78,31.37,32.54
