Variable:,tasmin
,"New Zealand",Auckland,"Bay Of Plenty",Canterbury,"East Cape","Hawke's Bay",Nelson-marlborough,Northland,Otago,Southland,Taranaki,Waikato,Wanganui-manawatu,Wellington,Westland
2015,6.53,13.06,7.23,3.99,8.35,7.27,4.66,13.04,4.30,6.01,11.06,8.98,8.85,9.33,4.59
2016,6.52,13.06,7.19,3.98,8.34,7.18,4.66,13.03,4.29,6.00,11.00,8.98,8.76,9.23,4.61
2017,6.41,12.86,7.22,3.80,8.36,7.21,4.55,12.89,4.14,5.87,10.84,8.88,8.69,9.18,4.41
2018,6.49,12.91,7.18,3.96,8.33,7.26,4.67,12.99,4.29,5.99,10.91,8.88,8.77,9.25,4.58
2019,6.63,13.14,7.31,4.10,8.49,7.37,4.81,13.19,4.38,6.06,11.06,9.04,8.91,9.39,4.70
2020,6.68,13.18,7.34,4.15,8.47,7.44,4.86,13.13,4.42,6.16,11.21,9.13,9.00,9.44,4.78
2021,6.44,12.99,7.16,3.86,8.32,7.19,4.59,12.96,4.24,5.97,10.96,8.86,8.73,9.23,4.48
2022,6.66,13.31,7.44,4.02,8.53,7.42,4.73,13.32,4.40,6.11,11.10,9.18,8.96,9.39,4.70
2023,6.57,13.13,7.26,3.99,8.38,7.32,4.74,13.10,4.31,6.07,11.14,9.06,8.91,9.36,4.65
2024,6.70,13.25,7.39,4.10,8.57,7.45,4.85,13.26,4.43,6.14,11.20,9.15,9.01,9.47,4.78
2025,6.89,13.44,7.58,4.34,8.72,7.62,5.05,13.40,4.62,6.30,11.37,9.36,9.19,9.59,5.01
2026,6.64,13.23,7.33,4.05,8.48,7.33,4.76,13.21,4.43,6.16,11.12,9.11,8.91,9.36,4.68
2027,6.66,13.17,7.37,4.09,8.53,7.40,4.82,13.16,4.45,6.17,11.16,9.09,8.93,9.41,4.73
2028,6.73,13.26,7.44,4.17,8.56,7.49,4.90,13.25,4.46,6.22,11.24,9.18,9.04,9.48,4.82
2029,6.78,13.34,7.54,4.19,8.64,7.57,4.94,13.33,4.46,6.23,11.30,9.31,9.10,9.50,4.85
2030,6.72,13.32,7.35,4.19,8.55,7.38,4.90,13.28,4.49,6.20,11.14,9.15,8.95,9.46,4.81
2031,6.79,13.42,7.52,4.22,8.66,7.52,4.92,13.40,4.53,6.21,11.27,9.28,9.06,9.54,4.82
2032,6.77,13.28,7.46,4.20,8.63,7.48,4.94,13.27,4.54,6.24,11.25,9.23,9.05,9.51,4.89
2033,6.86,13.42,7.57,4.33,8.69,7.60,5.01,13.45,4.59,6.26,11.32,9.34,9.16,9.59,4.92
2034,7.00,13.64,7.71,4.41,8.85,7.73,5.13,13.60,4.70,6.40,11.49,9.50,9.32,9.75,5.07
2035,6.86,13.46,7.50,4.33,8.69,7.56,4.99,13.41,4.67,6.37,11.28,9.29,9.08,9.55,4.97
2036,6.92,13.48,7.57,4.43,8.67,7.57,5.12,13.45,4.72,6.40,11.42,9.31,9.15,9.67,5.04
2037,6.81,13.35,7.49,4.26,8.70,7.50,4.94,13.41,4.55,6.27,11.33,9.27,9.11,9.59,4.88
2038,6.97,13.60,7.72,4.38,8.86,7.74,5.14,13.56,4.66,6.41,11.53,9.47,9.32,9.78,5.02
2039,7.07,13.66,7.64,4.52,8.84,7.68,5.25,13.69,4.88,6.59,11.53,9.46,9.33,9.82,5.16
2040,6.99,13.53,7.63,4.45,8.79,7.65,5.14,13.58,4.80,6.48,11.48,9.42,9.24,9.74,5.08
2041,7.08,13.70,7.83,4.45,8.97,7.86,5.22,13.67,4.76,6.54,11.62,9.60,9.42,9.87,5.09
2042,7.10,13.70,7.87,4.54,9.00,7.89,5.25,13.66,4.74,6.41,11.68,9.64,9.48,9.87,5.15
2043,7.01,13.56,7.72,4.45,8.89,7.69,5.11,13.59,4.79,6.53,11.42,9.43,9.23,9.75,5.11
2044,7.10,13.66,7.82,4.53,8.95,7.85,5.21,13.68,4.86,6.56,11.55,9.54,9.38,9.86,5.12
2045,7.11,13.71,7.84,4.52,8.95,7.84,5.29,13.75,4.82,6.52,11.60,9.58,9.35,9.79,5.19
2046,7.18,13.84,7.87,4.58,9.01,7.92,5.37,13.82,4.83,6.50,11.81,9.72,9.55,9.89,5.28
2047,7.26,13.77,7.91,4.73,9.01,7.93,5.42,13.83,5.04,6.71,11.77,9.70,9.55,9.94,5.38
2048,7.12,13.66,7.83,4.59,8.99,7.87,5.26,13.68,4.84,6.54,11.59,9.60,9.43,9.88,5.17
2049,7.32,13.88,8.08,4.73,9.20,8.05,5.45,13.90,5.07,6.81,11.82,9.82,9.61,9.99,5.38
2050,7.38,13.96,8.09,4.82,9.16,8.10,5.58,13.96,5.07,6.75,11.92,9.88,9.69,10.15,5.48
2051,7.29,13.84,7.95,4.76,9.07,8.01,5.47,13.80,5.05,6.77,11.78,9.72,9.58,10.08,5.41
2052,7.32,13.85,8.03,4.77,9.18,8.12,5.47,13.84,5.02,6.71,11.78,9.78,9.64,10.10,5.41
2053,7.23,13.82,7.98,4.65,9.06,7.99,5.44,13.81,4.90,6.61,11.76,9.74,9.55,10.00,5.32
2054,7.32,13.97,8.04,4.74,9.15,8.06,5.47,13.95,5.06,6.72,11.83,9.83,9.63,10.06,5.34
2055,7.42,13.99,8.13,4.84,9.28,8.19,5.55,13.98,5.16,6.90,11.93,9.88,9.70,10.14,5.49
