Variable:,tas
,Eswatini,Hhohho,Lubombo,Manzini,Shiselweni
2015,20.72,18.52,19.34,18.00,18.49
2016,20.71,18.47,19.28,17.92,18.41
2017,20.68,18.45,19.29,17.94,18.49
2018,20.79,18.56,19.39,18.03,18.63
2019,20.94,18.78,19.58,18.24,18.77
2020,20.71,18.52,19.35,17.99,18.55
2021,20.79,18.57,19.37,18.03,18.57
2022,20.92,18.73,19.55,18.22,18.73
2023,20.95,18.73,19.56,18.21,18.70
2024,21.17,18.95,19.78,18.43,18.95
2025,20.95,18.72,19.58,18.19,18.73
2026,21.13,18.93,19.77,18.42,18.98
2027,21.09,18.85,19.68,18.32,18.82
2028,21.06,18.88,19.71,18.37,18.86
2029,21.26,19.09,19.91,18.60,19.07
2030,21.21,19.01,19.81,18.47,18.94
2031,21.24,19.05,19.88,18.52,19.03
2032,21.24,19.11,19.91,18.60,19.04
2033,21.30,19.10,19.93,18.59,19.06
2034,21.25,19.07,19.88,18.54,19.00
2035,21.27,19.06,19.88,18.52,19.00
2036,21.17,19.00,19.81,18.47,18.96
2037,21.38,19.19,19.99,18.66,19.14
2038,21.50,19.30,20.12,18.79,19.25
2039,21.44,19.23,20.04,18.69,19.24
2040,21.36,19.15,19.96,18.60,19.11
2041,21.31,19.11,19.97,18.63,19.18
2042,21.77,19.55,20.37,19.03,19.48
2043,21.64,19.48,20.29,18.98,19.41
2044,21.69,19.50,20.29,18.95,19.40
2045,21.52,19.31,20.10,18.78,19.19
2046,21.75,19.56,20.39,19.06,19.54
2047,21.96,19.77,20.59,19.25,19.72
2048,21.94,19.81,20.60,19.30,19.74
2049,21.72,19.55,20.33,19.02,19.49
2050,21.77,19.58,20.36,19.07,19.48
2051,21.82,19.60,20.39,19.04,19.55
2052,21.97,19.78,20.56,19.23,19.71
2053,21.99,19.82,20.61,19.28,19.74
2054,21.98,19.79,20.57,19.25,19.66
2055,21.93,19.74,20.53,19.22,19.72
2056,21.97,19.68,20.52,19.18,19.67
2057,22.17,19.97,20.75,19.40,19.83
2058,21.96,19.83,20.59,19.29,19.70
2059,22.20,20.05,20.84,19.51,19.98
2060,22.00,19.82,20.64,19.35,19.86
2061,22.03,19.80,20.58,19.25,19.71
2062,22.11,19.90,20.72,19.39,19.88
2063,22.16,19.96,20.85,19.51,19.96
2064,22.12,19.92,20.76,19.42,19.92
2065,22.10,19.93,20.71,19.42,19.86
2066,22.21,20.02,20.81,19.50,20.00
2067,22.14,19.92,20.77,19.46,19.96
2068,22.30,20.18,21.01,19.69,20.22
2069,22.26,20.06,20.86,19.53,20.02
2070,22.19,20.03,20.82,19.52,20.01
2071,22.25,20.07,20.88,19.57,20.09
2072,22.24,20.07,20.86,19.54,20.01
2073,22.71,20.58,21.32,20.05,20.44
2074,22.42,20.25,21.03,19.76,20.17
2075,22.37,20.20,21.02,19.68,20.21
2076,22.42,20.28,21.07,19.79,20.26
2077,22.38,20.21,21.01,19.71,20.17
2078,22.37,20.22,21.04,19.72,20.28
2079,22.45,20.33,21.06,19.76,20.20
2080,22.87,20.72,21.52,20.21,20.68
2081,22.47,20.46,21.22,19.98,20.34
2082,22.45,20.30,21.05,19.77,20.20
2083,22.56,20.42,21.21,19.94,20.34
2084,22.68,20.54,21.34,20.03,20.47
2085,22.59,20.51,21.30,20.03,20.45
2086,22.64,20.45,21.25,19.92,20.30
2087,22.47,20.37,21.10,19.82,20.21
2088,22.58,20.46,21.20,19.92,20.32
2089,22.73,20.60,21.36,20.08,20.50
2090,22.44,20.35,21.13,19.89,20.33
2091,22.52,20.44,21.18,19.89,20.32
2092,22.78,20.64,21.41,20.14,20.59
2093,22.69,20.56,21.33,20.04,20.43
2094,22.74,20.62,21.44,20.14,20.57
2095,22.69,20.56,21.33,20.03,20.51
2096,22.66,20.56,21.35,20.09,20.47
2097,22.71,20.56,21.36,20.05,20.52
2098,22.79,20.63,21.39,20.11,20.54
2099,22.68,20.58,21.35,20.07,20.49
2100,22.69,20.60,21.38,20.10,20.55
