Variable:,tasmin
,Switzerland,Aargau,"Appenzell Ausser-rhoden","Appenzell Inner-rhoden",Basel-landschaft,Basel-stadt,Bern,Fribourg,Geneve,Glarus,Graubunden,Jura,Luzern,Neuchatel,Nidwalden,Obwalden,"Sankt Gallen",Schaffhausen,Schwyz,Solothurn,Thurgau,Ticino,Uri,Valais,Vaud,Zug,Zurich
2042,3.85,4.76,3.22,3.22,5.35,5.35,2.80,3.03,6.19,4.08,4.65,5.50,4.09,6.07,2.50,2.43,3.57,4.60,4.02,5.35,3.78,3.30,2.43,2.29,5.28,4.60,4.60
2043,4.15,5.08,3.50,3.50,5.73,5.73,3.14,3.38,6.58,4.35,4.91,5.88,4.41,6.45,2.80,2.73,3.85,4.90,4.32,5.73,4.06,3.60,2.73,2.62,5.66,4.90,4.90
2044,4.00,4.97,3.26,3.26,5.67,5.67,3.03,3.28,6.52,4.18,4.76,5.83,4.30,6.41,2.63,2.56,3.63,4.78,4.19,5.67,3.87,3.43,2.56,2.50,5.59,4.78,4.78
2045,3.94,4.83,3.30,3.30,5.48,5.48,2.97,3.25,6.38,4.15,4.72,5.63,4.18,6.23,2.52,2.45,3.65,4.65,4.06,5.48,3.84,3.34,2.45,2.48,5.48,4.65,4.65
2046,4.17,5.10,3.52,3.52,5.75,5.75,3.16,3.39,6.57,4.41,5.00,5.89,4.43,6.44,2.80,2.73,3.88,4.92,4.34,5.75,4.08,3.61,2.73,2.63,5.66,4.92,4.92
2047,4.01,4.94,3.39,3.39,5.53,5.53,2.97,3.24,6.44,4.23,4.81,5.68,4.26,6.29,2.59,2.52,3.74,4.78,4.18,5.53,3.95,3.40,2.52,2.47,5.52,4.78,4.78
2048,4.09,5.05,3.43,3.43,5.60,5.60,3.06,3.31,6.49,4.31,4.88,5.77,4.37,6.39,2.76,2.69,3.79,4.90,4.31,5.60,4.02,3.56,2.69,2.56,5.58,4.90,4.90
2049,4.05,4.93,3.39,3.39,5.67,5.67,3.08,3.40,6.70,4.23,4.83,5.84,4.28,6.53,2.64,2.57,3.74,4.73,4.16,5.67,3.93,3.45,2.57,2.59,5.76,4.73,4.73
2050,4.01,4.94,3.24,3.24,5.67,5.67,3.06,3.31,6.52,4.19,4.83,5.82,4.29,6.40,2.66,2.59,3.62,4.75,4.18,5.67,3.85,3.47,2.59,2.53,5.59,4.75,4.75
2051,4.14,5.07,3.43,3.43,5.70,5.70,3.14,3.40,6.63,4.39,5.02,5.86,4.42,6.48,2.86,2.79,3.81,4.90,4.34,5.70,4.02,3.67,2.79,2.64,5.70,4.90,4.90
2052,4.18,5.13,3.47,3.47,5.78,5.78,3.15,3.40,6.62,4.38,4.98,5.94,4.45,6.51,2.78,2.71,3.84,4.95,4.35,5.78,4.07,3.60,2.71,2.63,5.70,4.95,4.95
2053,4.14,5.06,3.44,3.44,5.71,5.71,3.13,3.38,6.57,4.34,4.93,5.86,4.39,6.43,2.75,2.68,3.81,4.88,4.29,5.71,4.02,3.56,2.68,2.60,5.65,4.88,4.88
2054,3.98,4.92,3.29,3.29,5.54,5.54,2.98,3.24,6.45,4.18,4.74,5.69,4.26,6.28,2.66,2.59,3.65,4.76,4.18,5.54,3.88,3.45,2.59,2.48,5.52,4.76,4.76
2055,3.89,4.81,3.12,3.12,5.50,5.50,2.94,3.26,6.53,4.07,4.69,5.65,4.16,6.32,2.50,2.43,3.50,4.63,4.04,5.50,3.73,3.31,2.43,2.45,5.59,4.63,4.63
2056,3.88,4.84,3.11,3.11,5.56,5.56,2.95,3.22,6.44,4.05,4.66,5.72,4.18,6.32,2.49,2.42,3.49,4.65,4.06,5.56,3.73,3.29,2.42,2.41,5.52,4.65,4.65
2057,4.08,4.99,3.39,3.39,5.59,5.59,3.07,3.34,6.52,4.31,4.94,5.74,4.33,6.35,2.70,2.63,3.76,4.83,4.24,5.59,3.97,3.52,2.63,2.59,5.60,4.83,4.83
2058,3.97,4.91,3.20,3.20,5.57,5.57,3.00,3.26,6.42,4.13,4.76,5.73,4.24,6.32,2.53,2.46,3.58,4.73,4.13,5.57,3.82,3.35,2.46,2.47,5.51,4.73,4.73
2059,4.09,5.02,3.36,3.36,5.68,5.68,3.09,3.35,6.55,4.29,4.91,5.83,4.35,6.42,2.72,2.65,3.73,4.84,4.26,5.68,3.96,3.53,2.65,2.57,5.63,4.84,4.84
2060,4.33,5.27,3.79,3.79,5.83,5.83,3.24,3.48,6.68,4.56,5.08,5.97,4.58,6.54,2.94,2.87,4.12,5.12,4.52,5.83,4.33,3.73,2.87,2.72,5.77,5.12,5.12
2061,4.30,5.25,3.65,3.65,5.87,5.87,3.28,3.49,6.62,4.50,5.07,6.01,4.58,6.52,2.95,2.88,4.00,5.09,4.50,5.87,4.23,3.75,2.88,2.77,5.72,5.09,5.09
2062,4.02,4.94,3.34,3.34,5.58,5.58,3.00,3.24,6.39,4.23,4.82,5.73,4.27,6.28,2.63,2.56,3.70,4.77,4.18,5.58,3.92,3.44,2.56,2.48,5.49,4.77,4.77
2063,4.24,5.17,3.53,3.53,5.83,5.83,3.26,3.53,6.75,4.45,5.06,5.99,4.51,6.61,2.88,2.81,3.90,4.99,4.41,5.83,4.12,3.69,2.81,2.75,5.83,4.99,4.99
2064,3.88,4.80,3.15,3.15,5.49,5.49,2.87,3.12,6.35,4.08,4.75,5.65,4.13,6.24,2.49,2.42,3.53,4.61,4.03,5.49,3.74,3.32,2.42,2.35,5.42,4.61,4.61
2065,4.11,5.06,3.38,3.38,5.71,5.71,3.16,3.40,6.53,4.33,4.89,5.86,4.41,6.42,2.82,2.75,3.76,4.88,4.31,5.71,3.98,3.61,2.75,2.65,5.63,4.88,4.88
2066,4.07,5.03,3.29,3.29,5.64,5.64,3.05,3.28,6.43,4.27,4.92,5.78,4.36,6.31,2.70,2.63,3.68,4.87,4.27,5.64,3.93,3.52,2.63,2.54,5.52,4.87,4.87
2067,4.53,5.50,3.81,3.81,6.19,6.19,3.49,3.67,6.83,4.72,5.31,6.33,4.81,6.77,3.07,3.00,4.18,5.32,4.70,6.19,4.42,3.89,3.00,2.92,5.92,5.32,5.32
2068,4.28,5.18,3.53,3.53,5.90,5.90,3.34,3.59,6.76,4.53,5.21,6.05,4.54,6.63,2.97,2.90,3.92,4.99,4.43,5.90,4.12,3.79,2.90,2.83,5.86,4.99,4.99
2069,4.52,5.34,3.91,3.91,6.06,6.06,3.50,3.75,6.91,4.76,5.39,6.21,4.70,6.77,3.12,3.05,4.26,5.15,4.59,6.06,4.41,3.94,3.05,2.98,6.00,5.15,5.15
2070,4.34,5.27,3.71,3.71,5.85,5.85,3.31,3.60,6.81,4.57,5.15,6.00,4.60,6.64,2.95,2.88,4.07,5.11,4.52,5.85,4.27,3.76,2.88,2.82,5.90,5.11,5.11
2071,4.02,4.90,3.33,3.33,5.59,5.59,3.04,3.33,6.57,4.24,4.88,5.78,4.25,6.46,2.66,2.59,3.69,4.71,4.15,5.59,3.89,3.46,2.59,2.54,5.64,4.71,4.71
2072,4.09,5.05,3.39,3.39,5.75,5.75,3.10,3.34,6.52,4.24,4.77,5.90,4.37,6.43,2.65,2.58,3.75,4.86,4.25,5.75,3.98,3.46,2.58,2.56,5.61,4.86,4.86
2073,4.05,5.03,3.33,3.33,5.73,5.73,3.08,3.34,6.56,4.19,4.75,5.88,4.34,6.45,2.58,2.51,3.69,4.84,4.22,5.73,3.94,3.39,2.51,2.52,5.64,4.84,4.84
2074,3.78,4.73,3.08,3.08,5.34,5.34,2.77,3.03,6.22,3.98,4.57,5.50,4.05,6.10,2.36,2.29,3.45,4.57,3.96,5.34,3.68,3.18,2.29,2.26,5.30,4.57,4.57
2075,4.48,5.42,3.84,3.84,6.00,6.00,3.46,3.72,6.90,4.72,5.27,6.13,4.76,6.71,3.13,3.06,4.20,5.27,4.68,6.00,4.42,3.93,3.06,2.96,5.99,5.27,5.27
