Variable:,tas
,Pakistan,Balochistan,"Federally Administered Tribal Areas",Islamabad,"North-West Frontier",Punjab,Sindh,"Administrative unit not available","Administrative unit not available"
2015,21.29,23.13,18.68,23.43,16.59,25.56,27.12,20.19,4.49
2016,21.17,23.07,18.63,23.15,16.51,25.36,27.01,19.96,4.29
2017,21.22,23.07,18.77,23.32,16.62,25.43,27.04,20.10,4.44
2018,21.15,23.09,18.43,23.06,16.33,25.34,27.17,19.81,4.14
2019,21.21,23.08,18.61,23.15,16.47,25.45,27.06,19.95,4.41
2020,21.41,23.27,18.81,23.39,16.70,25.65,27.31,20.21,4.59
2021,21.39,23.29,18.86,23.37,16.67,25.61,27.25,20.16,4.46
2022,21.43,23.31,18.81,23.33,16.65,25.65,27.32,20.12,4.62
2023,21.44,23.34,18.83,23.35,16.66,25.68,27.36,20.17,4.52
2024,21.56,23.43,19.04,23.62,16.94,25.76,27.37,20.41,4.75
2025,21.61,23.56,18.97,23.54,16.86,25.72,27.49,20.33,4.76
2026,21.51,23.40,18.87,23.44,16.75,25.76,27.38,20.23,4.69
2027,21.58,23.45,19.06,23.61,16.95,25.81,27.32,20.38,4.78
2028,21.63,23.47,19.15,23.68,17.00,25.83,27.43,20.43,4.81
2029,21.69,23.57,19.07,23.66,16.94,25.95,27.53,20.35,4.74
2030,21.65,23.62,19.07,23.50,16.95,25.79,27.50,20.28,4.73
2031,21.62,23.56,19.06,23.49,16.94,25.79,27.39,20.30,4.80
2032,21.83,23.68,19.36,23.81,17.22,26.06,27.54,20.55,5.06
2033,21.69,23.64,19.05,23.57,16.90,25.87,27.52,20.32,4.83
2034,21.75,23.71,19.09,23.62,16.93,25.91,27.68,20.38,4.75
2035,21.84,23.75,19.14,23.63,17.01,26.03,27.71,20.40,4.99
2036,21.79,23.67,19.22,23.84,17.14,25.96,27.53,20.61,5.02
2037,22.03,23.96,19.49,24.01,17.30,26.21,27.81,20.79,5.19
2038,22.07,24.01,19.55,24.08,17.36,26.31,27.82,20.82,5.07
2039,21.88,23.80,19.21,23.79,17.09,26.06,27.77,20.58,5.01
2040,22.02,23.89,19.50,23.96,17.35,26.24,27.81,20.71,5.17
2041,22.05,23.92,19.58,24.03,17.41,26.23,27.82,20.85,5.30
2042,22.14,24.04,19.54,24.17,17.36,26.39,27.89,20.91,5.25
2043,21.98,23.85,19.51,24.03,17.34,26.19,27.79,20.84,5.12
2044,22.17,24.04,19.67,24.20,17.52,26.34,27.87,20.96,5.50
2045,22.19,24.04,19.72,24.15,17.56,26.45,27.89,20.99,5.40
2046,22.39,24.20,19.83,24.40,17.74,26.69,28.13,21.19,5.53
2047,22.25,24.16,19.64,24.11,17.53,26.47,28.05,20.92,5.46
2048,22.27,24.21,19.58,24.02,17.40,26.48,28.14,20.87,5.31
2049,22.38,24.28,19.67,24.20,17.60,26.58,28.16,20.94,5.57
2050,22.59,24.45,20.12,24.60,18.01,26.78,28.31,21.44,5.87
2051,22.51,24.36,20.07,24.55,17.91,26.78,28.20,21.38,5.66
2052,22.57,24.41,19.97,24.51,17.80,26.87,28.35,21.32,5.65
2053,22.41,24.30,19.90,24.35,17.74,26.60,28.19,21.10,5.54
2054,22.59,24.46,20.05,24.57,17.90,26.82,28.37,21.32,5.76
2055,22.63,24.52,20.03,24.71,17.92,26.89,28.39,21.41,5.73
2056,22.64,24.51,20.15,24.58,17.97,26.91,28.30,21.33,5.80
2057,22.93,24.82,20.38,24.77,18.20,27.17,28.69,21.57,6.01
2058,22.51,24.44,19.99,24.40,17.81,26.69,28.33,21.17,5.60
2059,22.78,24.63,20.28,24.91,18.22,26.98,28.54,21.66,5.97
2060,22.84,24.75,20.13,24.74,18.02,27.07,28.62,21.55,5.89
2061,22.74,24.62,20.25,24.68,18.01,26.97,28.51,21.37,5.78
2062,22.82,24.65,20.27,24.78,18.19,26.98,28.61,21.53,6.15
2063,22.88,24.68,20.39,24.92,18.26,27.17,28.63,21.71,6.06
2064,22.94,24.78,20.58,24.94,18.32,27.23,28.57,21.70,6.05
2065,22.79,24.63,20.40,24.85,18.22,27.03,28.48,21.55,5.92
2066,23.00,24.90,20.50,24.95,18.37,27.21,28.60,21.74,6.17
2067,23.12,24.94,20.61,25.23,18.52,27.39,28.80,21.91,6.29
2068,23.08,24.96,20.43,25.01,18.32,27.31,28.74,21.74,6.33
2069,23.08,24.90,20.48,24.97,18.42,27.33,28.84,21.76,6.32
2070,23.04,24.94,20.47,24.96,18.28,27.22,28.78,21.71,6.24
2071,22.93,24.84,20.29,24.81,18.20,27.15,28.60,21.63,6.11
2072,23.02,24.85,20.62,25.08,18.49,27.26,28.56,21.90,6.32
2073,23.27,25.14,20.76,25.11,18.58,27.49,28.99,21.99,6.41
2074,23.30,25.12,20.76,25.40,18.72,27.50,29.03,22.16,6.59
2075,23.20,25.04,20.71,25.43,18.65,27.39,28.83,22.11,6.46
2076,23.07,24.87,20.58,25.07,18.54,27.30,28.76,21.88,6.43
2077,23.22,25.10,20.64,25.33,18.53,27.43,28.95,22.07,6.33
2078,23.15,24.98,20.55,25.07,18.43,27.40,28.99,21.82,6.37
2079,23.10,24.94,20.57,25.27,18.46,27.38,28.80,21.94,6.22
