Variable:,tasmin
,Lesotho,Berea,"Butha Buthe",Leribe,Mafeteng,Maseru,"Mohale's Hoek",Mokhotlong,"Qacha's Nek",Quthing,"Thaba Tseka"
2015,6.42,7.67,7.14,7.16,8.28,7.84,6.90,6.26,6.65,6.75,6.54
2016,6.36,7.73,7.05,7.12,8.40,7.92,7.00,6.20,6.62,6.84,6.50
2017,6.45,7.67,7.20,7.18,8.28,7.85,6.85,6.32,6.65,6.69,6.55
2018,6.54,7.85,7.25,7.29,8.50,8.04,7.13,6.39,6.81,7.00,6.67
2019,6.47,7.70,7.20,7.24,8.26,7.86,6.93,6.32,6.73,6.79,6.65
2020,6.79,8.14,7.54,7.57,8.80,8.33,7.37,6.63,7.04,7.20,6.92
2021,6.55,7.94,7.32,7.37,8.61,8.13,7.13,6.35,6.81,6.96,6.70
2022,6.35,7.65,7.04,7.09,8.27,7.83,6.90,6.20,6.61,6.75,6.51
2023,6.67,7.85,7.44,7.40,8.45,8.02,7.10,6.51,6.90,7.01,6.75
2024,6.63,7.92,7.37,7.42,8.50,8.08,7.14,6.49,6.93,7.03,6.82
2025,6.66,7.91,7.45,7.45,8.48,8.07,7.04,6.47,6.85,6.85,6.81
2026,7.11,8.44,7.91,7.90,9.10,8.63,7.64,6.90,7.28,7.43,7.22
2027,6.47,7.85,7.15,7.26,8.47,8.03,7.09,6.32,6.78,6.93,6.69
2028,6.53,7.80,7.22,7.27,8.42,7.98,7.03,6.38,6.79,6.90,6.67
2029,6.81,8.09,7.50,7.57,8.67,8.26,7.28,6.67,7.10,7.15,7.00
2030,6.83,8.09,7.58,7.57,8.73,8.27,7.29,6.65,7.00,7.10,6.91
2031,6.86,8.24,7.54,7.62,8.92,8.44,7.47,6.72,7.14,7.31,7.01
2032,6.89,8.24,7.69,7.71,8.89,8.43,7.40,6.68,7.06,7.17,7.02
2033,6.98,8.45,7.73,7.82,9.13,8.65,7.55,6.81,7.19,7.28,7.18
2034,6.92,8.42,7.69,7.79,9.08,8.61,7.49,6.71,7.12,7.19,7.16
2035,7.19,8.59,7.91,7.99,9.23,8.78,7.75,7.03,7.41,7.51,7.38
2036,6.92,8.32,7.64,7.74,8.95,8.50,7.53,6.76,7.15,7.28,7.14
2037,7.01,8.45,7.70,7.82,9.11,8.64,7.64,6.86,7.32,7.45,7.24
2038,7.04,8.44,7.75,7.82,9.12,8.64,7.65,6.85,7.25,7.43,7.19
2039,7.29,8.63,7.99,8.08,9.21,8.80,7.73,7.14,7.48,7.47,7.51
2040,7.02,8.27,7.81,7.79,8.89,8.45,7.47,6.85,7.23,7.32,7.12
2041,7.14,8.48,7.86,7.92,9.09,8.66,7.72,6.96,7.38,7.52,7.34
2042,6.89,8.21,7.62,7.66,8.85,8.40,7.36,6.71,7.07,7.15,7.02
2043,6.78,8.19,7.41,7.53,8.87,8.39,7.39,6.68,7.08,7.22,6.97
2044,7.10,8.61,7.87,7.96,9.30,8.81,7.79,6.85,7.26,7.45,7.32
2045,7.26,8.59,8.10,8.09,9.22,8.77,7.69,7.07,7.40,7.44,7.38
2046,6.97,8.35,7.75,7.77,9.02,8.54,7.50,6.77,7.19,7.32,7.09
2047,7.11,8.45,7.85,7.89,9.09,8.63,7.66,6.93,7.32,7.46,7.25
2048,7.06,8.40,7.86,7.85,9.06,8.59,7.57,6.85,7.25,7.38,7.16
2049,7.04,8.45,7.77,7.84,9.11,8.64,7.57,6.84,7.20,7.30,7.20
2050,7.21,8.66,7.97,8.04,9.34,8.85,7.84,7.00,7.44,7.62,7.39
2051,7.00,8.39,7.62,7.76,9.03,8.57,7.65,6.87,7.33,7.51,7.21
2052,7.00,8.34,7.79,7.78,8.99,8.53,7.43,6.79,7.13,7.18,7.11
2053,6.86,8.21,7.55,7.62,8.87,8.40,7.39,6.71,7.10,7.21,7.01
2054,7.15,8.57,7.84,7.94,9.25,8.77,7.77,7.01,7.40,7.55,7.34
2055,7.22,8.57,7.97,8.02,9.19,8.74,7.74,7.07,7.42,7.50,7.40
2056,6.94,8.27,7.71,7.73,8.92,8.46,7.49,6.74,7.16,7.32,7.06
2057,6.90,8.26,7.55,7.66,8.88,8.44,7.46,6.79,7.21,7.30,7.11
2058,7.13,8.45,7.87,7.92,9.07,8.63,7.60,6.95,7.34,7.41,7.28
2059,7.29,8.56,7.94,8.04,9.12,8.72,7.82,7.15,7.57,7.66,7.51
2060,6.82,8.20,7.50,7.59,8.86,8.39,7.45,6.69,7.11,7.28,7.00
2061,6.90,8.17,7.63,7.64,8.81,8.35,7.36,6.73,7.09,7.18,7.00
2062,6.85,8.23,7.56,7.62,8.91,8.42,7.46,6.67,7.07,7.26,6.98
2063,6.85,8.12,7.65,7.63,8.75,8.30,7.29,6.67,7.04,7.12,6.94
2064,6.91,8.23,7.53,7.61,8.87,8.42,7.47,6.78,7.20,7.33,7.07
2065,6.93,8.23,7.65,7.66,8.91,8.42,7.48,6.76,7.17,7.36,6.98
2066,6.82,8.12,7.53,7.58,8.73,8.30,7.34,6.68,7.09,7.20,6.99
