Variable:,tas
2015,26.68
2016,26.67
2017,26.78
2018,26.71
2019,26.56
2020,26.84
2021,26.87
2022,26.77
2023,26.91
2024,26.97
2025,26.93
2026,26.92
2027,26.80
2028,26.93
2029,27.06
2030,26.91
2031,26.94
2032,26.91
2033,26.98
2034,27.02
2035,27.08
2036,27.08
2037,26.98
2038,27.31
2039,26.98
2040,27.16
2041,27.14
2042,27.01
2043,26.88
2044,27.08
2045,27.15
2046,27.19
2047,27.09
2048,27.04
2049,27.09
2050,26.92
2051,27.07
2052,27.02
2053,27.00
2054,27.09
2055,27.03
2056,26.98
2057,27.04
2058,27.16
2059,27.06
2060,27.15
2061,27.14
2062,27.17
2063,27.15
2064,26.97
2065,26.77
2066,26.98
2067,27.03
2068,27.07
2069,26.82
2070,26.89
2071,27.17
2072,26.86
2073,26.91
2074,27.09
2075,26.82
2076,26.93
2077,27.12
2078,27.14
2079,26.93
2080,27.02
2081,26.86
2082,27.12
2083,27.06
2084,26.99
2085,26.89
2086,26.74
2087,27.03
2088,26.97
2089,26.82
2090,27.13
2091,27.06
2092,26.87
2093,26.87
2094,26.91
2095,27.05
2096,26.97
2097,26.96
2098,26.85
2099,26.90
2100,27.01
