Variable:,tasmax
,"Sao Tome and Principe",Principe,"Sao Tome"
2015,27.40,27.85,27.83
2016,27.40,27.86,27.84
2017,27.47,27.96,27.92
2018,27.55,27.96,28.00
2019,27.52,27.94,27.97
2020,27.54,27.96,27.97
2021,27.54,27.94,28.00
2022,27.56,28.03,28.03
2023,27.60,28.06,28.08
2024,27.74,28.19,28.20
2025,27.63,28.05,28.09
2026,27.67,28.10,28.14
2027,27.72,28.16,28.19
2028,27.70,28.18,28.17
2029,27.80,28.26,28.24
2030,27.71,28.18,28.17
2031,27.73,28.22,28.18
2032,27.81,28.26,28.26
2033,27.80,28.25,28.30
2034,27.89,28.32,28.37
2035,27.88,28.32,28.36
2036,27.91,28.38,28.34
2037,28.05,28.54,28.51
2038,28.10,28.55,28.54
2039,27.97,28.42,28.43
2040,28.10,28.49,28.58
2041,28.02,28.46,28.50
2042,28.05,28.46,28.51
2043,28.11,28.57,28.54
2044,28.15,28.62,28.60
2045,28.14,28.61,28.62
2046,28.23,28.68,28.70
2047,28.28,28.75,28.76
2048,28.30,28.74,28.75
2049,28.20,28.66,28.65
2050,28.18,28.65,28.62
2051,28.23,28.73,28.73
2052,28.39,28.86,28.82
2053,28.34,28.78,28.80
2054,28.36,28.82,28.81
2055,28.45,28.85,28.91
2056,28.37,28.84,28.83
2057,28.49,28.98,28.95
2058,28.53,28.99,28.99
2059,28.55,29.03,29.02
2060,28.55,29.02,28.99
2061,28.43,28.89,28.90
2062,28.44,28.92,28.89
2063,28.57,29.11,29.01
2064,28.59,29.05,29.04
2065,28.52,28.96,29.00
2066,28.63,29.15,29.04
2067,28.62,29.11,29.09
2068,28.78,29.22,29.25
2069,28.76,29.18,29.22
2070,28.63,29.08,29.07
2071,28.64,29.09,29.12
2072,28.79,29.26,29.25
2073,28.82,29.27,29.27
2074,28.81,29.29,29.30
2075,28.67,29.16,29.13
2076,28.72,29.17,29.18
2077,28.91,29.36,29.36
2078,28.75,29.23,29.22
2079,28.78,29.26,29.21
2080,28.91,29.38,29.37
2081,28.86,29.31,29.31
2082,28.88,29.37,29.35
2083,28.78,29.22,29.23
2084,28.89,29.35,29.35
2085,29.02,29.48,29.46
2086,28.93,29.35,29.39
2087,28.82,29.30,29.27
2088,29.03,29.42,29.49
2089,28.87,29.37,29.32
2090,28.84,29.35,29.27
2091,29.12,29.56,29.59
2092,29.05,29.44,29.46
2093,29.02,29.42,29.41
2094,28.95,29.38,29.42
2095,29.11,29.57,29.59
2096,29.04,29.52,29.47
2097,28.93,29.41,29.43
2098,28.99,29.46,29.44
2099,29.16,29.63,29.61
2100,29.08,29.54,29.54
