Variable:,tas
,"Cocos (Keeling) Islands","Administrative unit not available"
2015,26.64,26.33
2016,26.61,26.30
2017,26.59,26.30
2018,26.68,26.35
2019,26.77,26.45
2020,26.75,26.44
2021,26.82,26.47
2022,26.77,26.47
2023,26.94,26.58
2024,26.91,26.58
2025,26.92,26.58
2026,26.88,26.59
2027,26.94,26.64
2028,26.88,26.56
2029,26.93,26.60
2030,26.92,26.61
2031,26.97,26.64
2032,26.97,26.64
2033,26.99,26.63
2034,26.96,26.59
2035,26.98,26.68
2036,27.00,26.67
2037,27.01,26.67
2038,27.00,26.66
2039,26.99,26.67
2040,27.01,26.69
2041,27.04,26.72
2042,27.03,26.71
2043,27.14,26.86
2044,27.11,26.76
2045,27.04,26.76
2046,27.18,26.87
2047,27.14,26.78
2048,27.13,26.86
2049,27.16,26.86
2050,27.10,26.81
2051,27.23,26.93
2052,27.12,26.85
2053,27.13,26.83
2054,27.15,26.86
2055,27.13,26.76
2056,27.16,26.76
2057,27.07,26.79
2058,27.14,26.84
2059,27.21,26.84
2060,27.40,27.08
2061,27.22,26.89
2062,27.19,26.86
2063,27.13,26.86
2064,27.27,26.94
2065,27.18,26.87
2066,27.26,26.92
2067,27.15,26.81
2068,27.26,26.95
2069,27.18,26.84
2070,27.14,26.80
2071,27.10,26.81
2072,27.27,26.92
2073,27.11,26.83
2074,27.32,26.98
2075,27.18,26.82
2076,27.28,26.91
2077,27.13,26.79
2078,27.13,26.78
2079,27.08,26.77
2080,27.28,26.92
2081,27.29,26.95
2082,27.38,27.01
2083,27.24,26.92
2084,27.29,26.97
2085,27.16,26.86
2086,27.11,26.80
2087,27.12,26.83
2088,27.24,26.96
2089,27.29,26.95
2090,27.16,26.83
2091,27.03,26.74
2092,27.15,26.85
2093,27.15,26.84
2094,27.19,26.86
2095,27.10,26.83
2096,27.01,26.67
2097,27.16,26.80
2098,27.18,26.79
2099,27.15,26.85
2100,27.15,26.82
