Variable:,tasmax
2015,28.35
2016,28.33
2017,28.42
2018,28.41
2019,28.45
2020,28.39
2021,28.50
2022,28.58
2023,28.46
2024,28.61
2025,28.57
2026,28.60
2027,28.49
2028,28.73
2029,28.67
2030,28.70
2031,28.80
2032,28.79
2033,28.88
2034,28.70
2035,28.82
2036,28.74
2037,28.90
2038,29.00
2039,29.03
2040,28.77
2041,28.89
2042,29.00
2043,28.87
2044,28.86
2045,28.95
2046,29.09
2047,29.03
2048,29.13
2049,29.14
2050,29.06
2051,29.04
2052,29.34
2053,29.16
2054,29.13
2055,29.25
2056,29.08
2057,29.41
2058,29.19
2059,29.36
2060,29.39
2061,29.22
2062,29.17
2063,29.43
2064,29.41
2065,29.53
2066,29.59
2067,29.42
2068,29.51
2069,29.49
2070,29.59
2071,29.47
2072,29.47
2073,29.52
2074,29.59
2075,29.51
2076,29.56
2077,29.67
2078,29.65
2079,29.54
2080,29.66
2081,29.71
2082,29.64
2083,29.60
2084,29.73
2085,29.74
2086,29.79
2087,29.75
2088,29.59
2089,29.65
2090,29.80
2091,29.81
2092,29.83
2093,29.67
2094,29.80
2095,29.91
2096,29.80
2097,29.76
2098,29.83
2099,29.76
2100,29.87
