Variable:,tas
,"St. Helena",Ascension,"Saint Helena","Tristan Da Cunha"
2015,19.21,25.23,20.77,13.36
2016,19.17,25.15,20.65,13.40
2017,19.16,25.20,20.68,13.39
2018,19.22,25.23,20.72,13.39
2019,19.19,25.29,20.72,13.30
2020,19.21,25.24,20.83,13.32
2021,19.22,25.23,20.78,13.38
2022,19.28,25.27,20.80,13.52
2023,19.28,25.37,20.77,13.46
2024,19.37,25.46,20.96,13.52
2025,19.32,25.30,20.78,13.59
2026,19.38,25.36,20.86,13.63
2027,19.36,25.42,20.81,13.57
2028,19.43,25.44,20.97,13.66
2029,19.40,25.51,20.96,13.50
2030,19.40,25.41,20.90,13.63
2031,19.43,25.45,20.90,13.67
2032,19.48,25.54,20.98,13.68
2033,19.55,25.62,21.05,13.81
2034,19.55,25.61,21.03,13.78
2035,19.56,25.58,21.03,13.83
2036,19.58,25.57,21.03,13.89
2037,19.61,25.72,21.16,13.73
2038,19.63,25.70,21.15,13.77
2039,19.60,25.62,21.17,13.75
2040,19.67,25.74,21.22,13.83
2041,19.74,25.76,21.23,13.97
2042,19.80,25.84,21.31,14.04
2043,19.62,25.74,21.12,13.83
2044,19.68,25.71,21.24,13.91
2045,19.79,25.82,21.35,13.91
2046,19.78,25.86,21.36,13.91
2047,19.75,25.89,21.33,13.82
2048,19.87,25.93,21.43,14.05
2049,19.83,25.95,21.28,14.06
2050,19.83,25.86,21.30,14.06
2051,19.83,25.88,21.37,13.99
2052,19.87,25.93,21.32,14.13
2053,19.94,25.91,21.42,14.17
2054,19.98,26.06,21.45,14.20
2055,19.95,26.06,21.44,14.15
2056,19.98,26.08,21.60,14.11
2057,20.04,26.15,21.57,14.16
2058,20.01,26.12,21.48,14.23
2059,20.02,26.17,21.51,14.21
2060,20.02,26.21,21.61,14.11
2061,20.02,26.06,21.59,14.21
2062,20.03,26.00,21.57,14.29
2063,20.13,26.29,21.61,14.29
2064,20.05,26.10,21.60,14.32
2065,20.03,26.13,21.60,14.20
2066,20.14,26.24,21.58,14.40
2067,20.12,26.18,21.58,14.39
2068,20.14,26.36,21.55,14.33
2069,20.25,26.31,21.75,14.43
2070,20.14,26.22,21.61,14.40
2071,20.16,26.31,21.57,14.46
2072,20.22,26.27,21.67,14.50
2073,20.30,26.48,21.79,14.43
2074,20.23,26.45,21.64,14.43
2075,20.12,26.15,21.64,14.34
2076,20.26,26.40,21.79,14.45
2077,20.39,26.61,21.92,14.57
2078,20.27,26.42,21.76,14.48
2079,20.32,26.47,21.86,14.44
2080,20.36,26.46,21.85,14.58
2081,20.32,26.38,21.82,14.48
2082,20.28,26.47,21.59,14.60
2083,20.30,26.38,21.76,14.57
2084,20.37,26.43,21.84,14.63
2085,20.45,26.56,21.97,14.62
2086,20.40,26.52,21.89,14.65
2087,20.37,26.48,21.80,14.62
2088,20.40,26.57,21.99,14.53
2089,20.42,26.58,21.86,14.65
2090,20.39,26.45,21.80,14.63
2091,20.50,26.58,21.92,14.82
2092,20.41,26.57,21.87,14.59
2093,20.38,26.43,21.84,14.67
2094,20.42,26.52,21.80,14.70
2095,20.50,26.62,21.96,14.78
2096,20.59,26.70,22.00,14.91
2097,20.51,26.61,21.97,14.71
2098,20.52,26.69,22.06,14.62
2099,20.58,26.71,22.07,14.79
2100,20.57,26.65,22.02,14.83
