Variable:,tas
,Switzerland,Aargau,"Appenzell Ausser-rhoden","Appenzell Inner-rhoden",Basel-landschaft,Basel-stadt,Bern,Fribourg,Geneve,Glarus,Graubunden,Jura,Luzern,Neuchatel,Nidwalden,Obwalden,"Sankt Gallen",Schaffhausen,Schwyz,Solothurn,Thurgau,Ticino,Uri,Valais,Vaud,Zug,Zurich
2015,6.90,8.04,5.86,5.86,9.04,9.04,5.86,6.16,10.00,7.06,7.78,9.21,7.26,9.85,5.28,5.20,6.33,7.77,7.09,9.03,6.63,6.19,5.20,5.15,8.91,7.77,7.77
2016,6.87,8.01,5.78,5.78,9.04,9.04,5.91,6.26,10.13,7.02,7.75,9.23,7.26,9.97,5.26,5.18,6.26,7.74,7.06,9.03,6.57,6.18,5.18,5.22,9.03,7.74,7.74
2017,6.83,7.93,5.77,5.77,8.93,8.93,5.85,6.19,10.01,7.00,7.77,9.12,7.18,9.85,5.25,5.17,6.24,7.66,7.00,8.92,6.53,6.16,5.17,5.17,8.93,7.66,7.66
2018,7.11,8.23,6.07,6.07,9.19,9.19,6.10,6.44,10.27,7.28,8.02,9.37,7.47,10.10,5.51,5.43,6.54,7.97,7.29,9.18,6.83,6.42,5.43,5.42,9.18,7.97,7.97
2019,7.16,8.27,6.11,6.11,9.27,9.27,6.13,6.49,10.41,7.29,8.02,9.47,7.50,10.25,5.52,5.44,6.57,8.00,7.32,9.26,6.87,6.43,5.44,5.43,9.29,8.00,8.00
2020,7.26,8.39,6.21,6.21,9.36,9.36,6.18,6.45,10.25,7.48,8.29,9.53,7.62,10.15,5.68,5.60,6.70,8.13,7.46,9.35,6.98,6.61,5.60,5.46,9.17,8.13,8.13
2021,7.34,8.51,6.35,6.35,9.48,9.48,6.28,6.57,10.43,7.46,8.10,9.65,7.72,10.30,5.69,5.61,6.80,8.25,7.55,9.47,7.11,6.58,5.61,5.55,9.33,8.25,8.25
2022,7.33,8.44,6.30,6.30,9.43,9.43,6.27,6.62,10.53,7.48,8.23,9.61,7.67,10.35,5.64,5.56,6.77,8.18,7.48,9.42,7.06,6.57,5.56,5.57,9.42,8.18,8.18
2023,7.12,8.24,6.09,6.09,9.23,9.23,6.11,6.47,10.34,7.30,8.04,9.40,7.48,10.15,5.53,5.45,6.56,7.97,7.30,9.22,6.85,6.45,5.45,5.44,9.25,7.97,7.97
2024,7.15,8.26,6.13,6.13,9.24,9.24,6.15,6.50,10.32,7.34,8.06,9.43,7.51,10.17,5.54,5.46,6.60,8.00,7.32,9.23,6.88,6.46,5.46,5.48,9.24,8.00,8.00
2025,7.34,8.48,6.34,6.34,9.45,9.45,6.29,6.63,10.49,7.49,8.21,9.63,7.70,10.33,5.66,5.58,6.80,8.22,7.52,9.44,7.10,6.58,5.58,5.59,9.40,8.22,8.22
2026,7.54,8.63,6.42,6.42,9.62,9.62,6.55,6.92,10.77,7.74,8.55,9.80,7.89,10.58,6.00,5.92,6.92,8.37,7.72,9.61,7.20,6.93,5.92,5.89,9.68,8.37,8.37
2027,7.36,8.51,6.30,6.30,9.51,9.51,6.39,6.78,10.69,7.51,8.24,9.70,7.75,10.49,5.73,5.65,6.77,8.24,7.55,9.50,7.08,6.64,5.65,5.71,9.58,8.24,8.24
2028,7.41,8.59,6.39,6.39,9.55,9.55,6.34,6.66,10.56,7.55,8.25,9.72,7.79,10.40,5.74,5.66,6.85,8.33,7.62,9.54,7.17,6.65,5.66,5.62,9.45,8.33,8.33
2029,7.35,8.47,6.29,6.29,9.46,9.46,6.35,6.68,10.51,7.54,8.29,9.64,7.72,10.35,5.81,5.73,6.77,8.20,7.54,9.45,7.06,6.72,5.73,5.67,9.42,8.20,8.20
2030,7.22,8.34,6.12,6.12,9.39,9.39,6.20,6.50,10.36,7.37,8.14,9.57,7.58,10.24,5.63,5.55,6.60,8.06,7.39,9.38,6.90,6.55,5.55,5.49,9.26,8.06,8.06
2031,7.44,8.60,6.43,6.43,9.53,9.53,6.37,6.67,10.47,7.58,8.30,9.72,7.80,10.38,5.73,5.64,6.89,8.35,7.63,9.52,7.20,6.64,5.64,5.64,9.39,8.35,8.35
2032,7.74,8.89,6.71,6.71,9.89,9.89,6.73,7.08,10.92,7.85,8.51,10.06,8.11,10.76,6.07,5.99,7.16,8.62,7.92,9.88,7.48,6.98,5.99,6.04,9.84,8.62,8.62
2033,7.46,8.60,6.41,6.41,9.55,9.55,6.44,6.82,10.71,7.60,8.30,9.73,7.83,10.50,5.80,5.72,6.88,8.34,7.64,9.54,7.19,6.71,5.72,5.76,9.60,8.34,8.34
2034,7.66,8.72,6.64,6.64,9.67,9.67,6.66,7.00,10.75,7.87,8.63,9.85,7.99,10.57,6.16,6.08,7.11,8.46,7.83,9.66,7.37,7.06,6.08,6.00,9.68,8.46,8.46
2035,7.70,8.83,6.64,6.64,9.83,9.83,6.71,7.08,10.93,7.88,8.68,10.01,8.06,10.76,6.03,5.95,7.12,8.56,7.87,9.82,7.41,6.97,5.95,6.01,9.84,8.56,8.56
