Variable:,tasmin
,Argentina,"Buenos Aires","Buenos Aires D.f.",Catamarca,Chaco,Chubut,Cordoba,Corrientes,"Entre Rios",Formosa,Jujuy,"La Pampa","La Rioja",Mendoza,Misiones,Neuquen,"Rio Negro",Salta,"San Juan","San Luis","Santa Cruz","Santa Fe","Santiago Del Estero","Tierra Del Fuego",Tucuman
2015,8.58,9.19,10.83,3.73,15.67,4.00,10.89,15.40,12.60,16.56,0.82,7.72,8.87,4.11,15.81,3.03,4.96,8.38,3.44,9.46,2.44,12.79,14.18,1.41,9.00
2016,8.42,9.04,10.71,3.51,15.38,4.02,10.67,15.04,12.33,16.33,0.56,7.57,8.60,4.02,15.78,2.99,4.94,8.12,3.26,9.31,2.52,12.50,13.87,1.54,8.80
2017,8.61,9.21,10.81,3.71,15.58,4.13,10.85,15.26,12.58,16.62,0.79,7.79,8.80,4.19,15.87,3.09,5.13,8.34,3.45,9.60,2.66,12.67,14.07,1.52,8.96
2018,8.55,9.21,10.88,3.64,15.41,4.17,10.73,15.15,12.38,16.38,0.75,7.77,8.75,4.15,15.75,3.17,5.16,8.19,3.48,9.47,2.63,12.53,13.92,1.52,8.94
2019,8.63,9.19,10.74,3.87,15.56,4.09,10.96,15.26,12.41,16.59,1.05,7.83,8.94,4.26,15.84,3.22,5.12,8.52,3.58,9.57,2.53,12.69,14.15,1.47,9.17
2020,8.58,9.15,10.92,3.76,15.50,4.11,10.91,15.23,12.49,16.47,0.97,7.66,8.82,4.08,15.78,3.09,4.99,8.41,3.50,9.48,2.70,12.69,14.06,1.70,8.91
2021,8.66,9.18,10.87,3.91,15.74,4.07,11.04,15.27,12.52,16.67,1.13,7.72,8.99,4.21,15.99,2.99,4.97,8.55,3.59,9.65,2.62,12.80,14.32,1.63,9.19
2022,8.71,9.33,10.94,3.90,15.61,4.21,11.06,15.37,12.64,16.69,1.11,7.91,9.00,4.29,16.02,3.16,5.16,8.50,3.59,9.69,2.69,12.78,14.05,1.64,9.09
2023,8.69,9.39,11.03,3.74,15.51,4.34,10.95,15.29,12.59,16.52,0.93,7.90,8.87,4.29,15.78,3.30,5.22,8.35,3.59,9.57,2.83,12.76,14.06,1.74,8.97
2024,8.83,9.46,11.20,3.96,15.72,4.35,11.13,15.46,12.73,16.82,1.15,8.04,8.98,4.36,16.07,3.36,5.33,8.60,3.66,9.76,2.80,12.95,14.28,1.75,9.25
