Variable:,tas
,Brunei,Belait,"Brunei and Muara",Temburong,Tutong
2015,26.40,26.70,26.65,24.86,26.70
2016,26.33,26.72,26.65,24.83,26.72
2017,26.59,26.90,26.85,25.11,26.90
2018,26.59,26.89,26.84,25.08,26.89
2019,26.44,26.73,26.68,24.91,26.73
2020,26.57,26.91,26.85,25.12,26.91
2021,26.59,26.92,26.86,25.11,26.92
2022,26.61,26.93,26.88,25.13,26.93
2023,26.57,26.88,26.83,25.06,26.88
2024,26.55,26.93,26.86,25.08,26.93
2025,26.63,26.98,26.92,25.13,26.98
2026,26.70,27.03,26.97,25.24,27.03
2027,26.61,26.95,26.89,25.12,26.95
2028,26.79,27.11,27.06,25.23,27.11
2029,26.75,27.12,27.06,25.22,27.12
2030,26.75,27.10,27.04,25.26,27.10
2031,26.84,27.11,27.06,25.33,27.11
2032,26.83,27.21,27.14,25.28,27.21
2033,26.73,27.12,27.05,25.28,27.12
2034,26.81,27.04,27.00,25.30,27.04
2035,26.93,27.27,27.21,25.42,27.27
2036,26.89,27.25,27.19,25.42,27.25
2037,26.88,27.24,27.18,25.40,27.24
2038,26.99,27.33,27.27,25.53,27.33
2039,26.86,27.17,27.12,25.33,27.17
2040,26.91,27.23,27.18,25.42,27.23
2041,27.05,27.31,27.27,25.49,27.31
2042,26.83,27.12,27.07,25.35,27.12
2043,26.70,27.00,26.95,25.21,27.00
2044,26.93,27.25,27.20,25.42,27.25
2045,27.09,27.42,27.36,25.63,27.42
2046,26.98,27.33,27.27,25.50,27.33
2047,26.87,27.21,27.15,25.37,27.21
2048,26.95,27.32,27.26,25.46,27.32
2049,26.87,27.22,27.16,25.37,27.22
2050,26.88,27.15,27.11,25.38,27.15
2051,27.00,27.34,27.28,25.48,27.34
2052,26.98,27.32,27.26,25.41,27.32
2053,26.82,27.19,27.13,25.30,27.19
2054,26.92,27.25,27.19,25.41,27.25
2055,26.85,27.13,27.08,25.32,27.13
2056,26.80,27.12,27.07,25.26,27.12
2057,26.80,27.13,27.07,25.26,27.13
2058,26.95,27.29,27.23,25.43,27.29
2059,26.99,27.29,27.24,25.45,27.29
2060,26.91,27.19,27.14,25.40,27.19
2061,26.88,27.26,27.19,25.38,27.26
2062,26.95,27.31,27.25,25.46,27.31
2063,26.86,27.21,27.15,25.42,27.21
2064,26.88,27.23,27.17,25.35,27.23
2065,26.53,26.90,26.84,25.04,26.90
2066,26.78,27.10,27.05,25.26,27.10
2067,27.01,27.33,27.28,25.49,27.33
2068,26.91,27.23,27.18,25.39,27.23
2069,26.67,26.98,26.93,25.17,26.98
2070,26.79,27.16,27.10,25.31,27.16
2071,27.07,27.35,27.30,25.61,27.35
2072,26.73,27.00,26.96,25.16,27.00
2073,26.63,26.99,26.93,25.17,26.99
2074,26.90,27.25,27.19,25.40,27.25
2075,26.81,27.17,27.11,25.26,27.17
2076,26.81,27.17,27.11,25.28,27.17
2077,26.82,27.17,27.11,25.29,27.17
2078,26.82,27.14,27.09,25.32,27.14
2079,26.68,26.97,26.92,25.16,26.97
2080,26.94,27.22,27.17,25.41,27.22
2081,26.66,27.06,26.99,25.14,27.06
2082,26.78,27.14,27.08,25.29,27.14
2083,26.88,27.19,27.14,25.38,27.19
2084,26.81,27.17,27.11,25.28,27.17
2085,26.78,27.10,27.05,25.24,27.10
2086,26.72,27.07,27.01,25.19,27.07
2087,26.92,27.22,27.17,25.46,27.22
2088,26.82,27.12,27.07,25.32,27.12
2089,26.59,26.93,26.87,25.04,26.93
2090,26.82,27.18,27.12,25.34,27.18
2091,26.72,27.05,26.99,25.27,27.05
2092,26.67,27.03,26.97,25.15,27.03
2093,26.60,26.94,26.88,25.12,26.94
2094,26.73,27.03,26.98,25.26,27.03
2095,26.78,27.12,27.06,25.25,27.12
2096,26.76,27.08,27.03,25.18,27.08
2097,26.60,26.90,26.85,25.06,26.90
2098,26.65,26.95,26.90,25.20,26.95
2099,26.62,26.95,26.89,25.13,26.95
2100,26.86,27.18,27.13,25.41,27.18
