Variable:,tasmin
,Australia,"Australian Capital Territory","Coral Sea Islands Territory","New South Wales","Northern Territory","Other Territories",Queensland,"South Australia",Tasmania,Victoria,"Western Australia"
2015,15.31,4.43,23.32,10.76,17.87,8.87,16.71,12.75,7.41,8.91,15.60
2016,15.37,4.75,23.31,11.05,17.83,9.05,16.77,13.00,7.54,9.17,15.57
2017,15.54,4.57,23.36,11.03,18.12,9.05,17.01,12.97,7.35,8.96,15.80
2018,15.51,4.79,23.37,11.08,18.16,9.24,17.08,12.95,7.36,9.04,15.60
2019,15.28,4.65,23.28,10.93,17.73,9.06,16.57,12.90,7.41,9.02,15.60
2020,15.46,4.66,23.29,11.03,17.97,9.14,16.81,12.95,7.26,8.94,15.78
2021,15.53,4.84,23.43,11.25,18.04,9.21,17.05,12.85,7.33,9.09,15.74
2022,15.50,4.69,23.37,11.02,17.99,9.09,16.75,13.22,7.50,9.13,15.83
2023,15.64,4.76,23.42,11.06,18.35,9.15,17.03,13.00,7.30,9.03,15.95
2024,15.59,4.99,23.54,11.24,18.10,9.36,17.05,13.06,7.56,9.23,15.81
2025,15.55,4.86,23.34,11.20,18.14,9.21,17.05,12.91,7.48,9.07,15.75
2026,15.73,5.19,23.54,11.45,18.35,9.47,17.34,13.14,7.64,9.27,15.76
2027,15.66,4.93,23.52,11.21,18.30,9.27,17.03,13.00,7.59,9.24,15.95
2028,15.75,5.05,23.76,11.42,18.32,9.38,17.29,13.09,7.45,9.15,15.92
2029,15.64,4.69,23.40,11.03,18.24,9.15,16.96,13.08,7.47,9.13,16.02
2030,15.68,4.94,23.42,11.35,18.15,9.56,17.03,13.17,7.56,9.24,16.01
2031,15.81,4.91,23.68,11.34,18.48,9.48,17.27,13.22,7.67,9.41,16.01
2032,15.65,4.93,23.30,11.28,18.19,9.38,17.02,13.21,7.77,9.42,15.88
2033,15.88,5.10,23.54,11.54,18.53,9.59,17.21,13.41,7.68,9.41,16.10
2034,15.91,5.07,23.64,11.46,18.48,9.38,17.44,13.41,7.72,9.34,16.07
2035,15.98,4.99,23.62,11.34,18.78,9.41,17.30,13.36,7.58,9.25,16.28
2036,15.79,5.02,23.72,11.31,18.18,9.38,17.14,13.32,7.64,9.42,16.18
2037,15.59,4.97,23.57,11.20,18.03,9.49,16.95,13.09,7.53,9.25,15.89
2038,15.90,5.00,23.70,11.47,18.40,9.63,17.36,13.25,7.59,9.24,16.21
2039,15.82,5.04,23.46,11.42,18.34,9.34,17.36,13.43,7.63,9.35,15.96
2040,15.82,4.86,23.57,11.40,18.41,9.26,17.24,13.29,7.45,9.13,16.09
2041,15.96,5.12,23.86,11.49,18.57,9.54,17.46,13.39,7.41,9.16,16.15
2042,15.81,5.10,23.60,11.41,18.40,9.45,17.17,13.25,7.78,9.39,16.07
2043,15.72,4.94,23.44,11.18,18.25,9.25,16.87,13.27,7.75,9.44,16.18
2044,15.87,4.93,23.60,11.38,18.52,9.39,17.41,13.18,7.53,9.17,16.08
2045,16.11,5.27,23.68,11.64,18.77,9.59,17.54,13.50,7.78,9.48,16.37
2046,15.84,5.05,23.51,11.42,18.51,9.45,17.35,13.32,7.39,9.24,15.96
2047,15.91,5.22,23.78,11.68,18.32,9.60,17.42,13.34,7.71,9.35,16.14
2048,15.93,5.29,23.57,11.47,18.44,9.75,17.39,13.35,7.66,9.46,16.18
2049,16.06,5.13,23.74,11.62,18.62,9.57,17.54,13.62,7.79,9.63,16.23
2050,15.97,5.26,23.86,11.53,18.59,9.53,17.47,13.44,7.66,9.41,16.15
2051,15.97,5.19,23.66,11.59,18.61,9.52,17.33,13.49,7.93,9.44,16.20
2052,15.89,5.07,23.58,11.42,18.56,9.39,17.30,13.39,7.63,9.40,16.07
2053,15.70,4.94,23.68,11.36,18.20,9.34,17.18,13.27,7.79,9.40,15.87
2054,16.07,5.26,23.71,11.70,18.74,9.80,17.68,13.48,7.72,9.45,16.14
2055,15.50,4.79,23.61,11.04,17.99,9.34,16.81,13.05,7.71,9.24,15.85
2056,15.70,4.87,23.53,11.24,18.23,9.36,17.05,13.25,7.63,9.31,16.02
2057,15.73,5.02,23.53,11.32,18.32,9.48,17.14,13.25,7.48,9.32,15.93
2058,15.95,5.23,23.72,11.59,18.57,9.60,17.50,13.39,7.40,9.26,16.10
2059,15.87,5.06,23.75,11.53,18.32,9.46,17.41,13.31,7.64,9.39,16.06
2060,15.81,5.04,23.57,11.56,18.24,9.52,17.21,13.46,7.55,9.30,16.04
2061,15.84,4.99,23.48,11.41,18.37,9.37,17.16,13.31,7.45,9.40,16.20
2062,15.86,5.47,23.67,11.68,18.41,9.64,17.32,13.29,7.58,9.45,16.02
2063,16.04,5.24,23.52,11.63,18.74,9.55,17.41,13.49,7.60,9.57,16.24
2064,15.88,5.11,23.88,11.48,18.57,9.46,17.38,13.23,7.50,9.21,16.03
2065,15.70,5.05,23.54,11.35,18.17,9.36,17.00,13.23,7.66,9.38,16.03
2066,15.58,4.72,23.47,11.03,18.14,9.16,16.92,13.05,7.53,9.15,15.92
