Variable:,tasmax
,"Pitcairn Islands","Administrative unit not available"
2015,24.98,24.66
2016,24.83,24.46
2017,24.91,24.52
2018,24.90,24.44
2019,25.03,24.64
2020,25.06,24.64
2021,25.04,24.65
2022,25.09,24.71
2023,25.03,24.56
2024,25.06,24.72
2025,25.07,24.69
2026,25.07,24.68
2027,25.05,24.68
2028,25.08,24.72
2029,25.09,24.65
2030,25.19,24.89
2031,25.10,24.72
2032,25.06,24.64
2033,25.24,24.87
2034,25.26,24.80
2035,25.26,24.90
2036,25.26,24.89
2037,25.16,24.73
2038,25.18,24.81
2039,25.35,24.86
2040,25.26,24.83
2041,25.13,24.71
2042,25.33,24.83
2043,25.35,24.96
2044,25.28,24.88
2045,25.44,25.01
2046,25.44,24.98
2047,25.45,25.00
2048,25.30,24.95
2049,25.37,25.00
2050,25.51,25.17
2051,25.38,25.05
2052,25.47,25.05
2053,25.47,25.10
2054,25.49,25.13
2055,25.46,25.11
2056,25.53,25.04
2057,25.55,25.15
2058,25.49,25.07
2059,25.49,25.16
2060,25.51,25.15
2061,25.55,25.20
2062,25.61,25.26
2063,25.47,25.03
2064,25.59,25.20
2065,25.49,25.09
2066,25.75,25.35
2067,25.74,25.40
2068,25.67,25.21
2069,25.76,25.36
2070,25.75,25.36
2071,25.75,25.35
2072,25.51,25.22
2073,25.57,25.16
2074,25.70,25.38
2075,25.71,25.38
2076,25.57,25.26
2077,25.69,25.33
2078,25.85,25.44
2079,25.81,25.36
2080,25.65,25.35
2081,25.65,25.19
2082,25.91,25.55
2083,25.92,25.50
2084,25.96,25.59
2085,25.83,25.40
2086,25.69,25.35
2087,25.75,25.36
2088,25.84,25.41
2089,25.87,25.53
2090,25.82,25.44
2091,25.90,25.57
2092,25.84,25.50
2093,25.91,25.47
2094,25.78,25.46
2095,25.75,25.38
2096,25.82,25.46
2097,25.91,25.54
2098,25.86,25.48
2099,25.91,25.62
2100,25.77,25.48
