Variable:,tas
,"Bosnia and Herzegovina","Federacija Bosne I Hercegovine","Republika Srpska"
2015,10.90,12.42,11.23
2016,10.64,12.23,11.01
2017,11.10,12.58,11.40
2018,11.02,12.60,11.37
2019,11.06,12.58,11.36
2020,10.57,12.18,10.94
2021,10.87,12.41,11.22
2022,11.44,12.80,11.65
2023,10.96,12.51,11.30
2024,11.07,12.53,11.36
2025,11.43,12.99,11.77
2026,11.17,12.63,11.43
2027,11.44,12.90,11.73
2028,11.37,12.96,11.71
2029,11.41,13.01,11.78
2030,11.07,12.61,11.43
2031,11.49,13.02,11.83
2032,11.40,13.00,11.75
2033,11.42,12.97,11.78
2034,11.53,13.07,11.85
2035,11.61,13.02,11.87
2036,11.67,13.16,11.97
2037,11.93,13.44,12.24
2038,11.48,13.01,11.80
2039,11.64,13.14,11.97
2040,11.47,13.00,11.80
2041,11.30,12.83,11.63
2042,10.97,12.54,11.31
2043,11.47,13.00,11.78
2044,11.11,12.66,11.47
2045,11.67,13.11,11.94
2046,11.74,13.27,12.05
2047,11.22,12.77,11.56
2048,11.22,12.82,11.60
2049,11.13,12.64,11.44
2050,11.50,13.04,11.85
2051,11.45,13.02,11.79
2052,11.55,12.97,11.80
2053,11.23,12.82,11.63
2054,11.72,13.15,12.00
2055,11.56,12.92,11.79
2056,11.65,13.23,12.01
2057,11.33,12.74,11.61
2058,11.41,13.02,11.75
2059,11.51,13.26,11.96
2060,11.34,12.87,11.68
2061,11.70,13.23,12.06
2062,11.62,13.09,11.89
2063,11.70,13.18,12.00
2064,11.63,13.15,11.95
2065,11.74,13.14,11.97
2066,11.05,12.61,11.38
2067,11.36,12.86,11.64
2068,11.72,13.24,12.04
2069,11.40,12.97,11.77
2070,11.76,13.31,12.09
2071,11.28,12.82,11.60
2072,11.68,13.13,11.93
2073,11.37,12.79,11.61
2074,10.94,12.49,11.29
2075,11.44,12.99,11.75
2076,11.80,13.31,12.14
2077,11.49,12.96,11.77
2078,11.17,12.70,11.50
2079,10.87,12.36,11.18
2080,11.92,13.41,12.20
2081,11.93,13.34,12.19
2082,11.00,12.62,11.38
2083,11.17,12.76,11.56
2084,11.40,12.86,11.70
2085,11.44,13.01,11.75
2086,11.47,13.00,11.80
2087,10.51,12.22,10.95
2088,11.53,13.12,11.93
2089,11.75,13.34,12.08
2090,11.56,13.07,11.87
2091,11.44,12.86,11.70
2092,11.14,12.72,11.50
2093,11.62,13.14,11.94
2094,10.67,12.33,11.06
2095,11.10,12.62,11.44
2096,10.95,12.47,11.24
2097,11.39,12.99,11.73
2098,11.05,12.65,11.43
2099,11.11,12.62,11.41
2100,11.10,12.63,11.44
