Variable:,tas
2015,26.20
2016,26.14
2017,26.57
2018,26.40
2019,26.52
2020,26.72
2021,26.47
2022,26.38
2023,26.54
2024,26.45
2025,26.60
2026,26.73
2027,26.57
2028,26.69
2029,26.55
2030,26.61
2031,26.79
2032,26.48
2033,26.74
2034,26.78
2035,26.84
2036,26.67
2037,26.82
2038,27.02
2039,26.77
2040,27.09
2041,26.83
2042,26.66
2043,26.47
2044,26.79
2045,26.88
2046,27.01
2047,26.90
2048,26.70
2049,26.77
2050,26.74
2051,27.09
2052,26.87
2053,26.70
2054,26.56
2055,26.76
2056,26.82
2057,26.72
2058,26.83
2059,26.82
2060,26.47
2061,26.49
2062,26.82
2063,26.78
2064,26.54
2065,26.22
2066,26.66
2067,27.05
2068,26.76
2069,26.49
2070,26.67
2071,26.95
2072,26.32
2073,26.47
2074,26.71
2075,26.40
2076,27.01
2077,26.72
2078,26.37
2079,26.62
2080,27.00
2081,26.58
2082,26.65
2083,26.86
2084,26.63
2085,26.40
2086,26.57
2087,27.03
2088,26.69
2089,26.29
2090,26.65
2091,26.86
2092,26.33
2093,26.42
2094,26.58
2095,26.62
2096,26.57
2097,26.35
2098,26.56
2099,26.64
2100,26.86
