Variable:,tas
,Kenya,Central,Coast,Eastern,Nairobi,"North Eastern",Nyanza,"Rift Valley",Western
2015,25.44,18.92,25.95,24.89,22.79,28.08,22.69,22.47,23.08
2016,25.41,18.89,25.92,24.79,22.76,28.03,22.64,22.51,23.18
2017,25.60,19.18,26.14,25.01,22.94,28.14,22.89,22.76,23.63
2018,25.43,19.02,25.96,24.79,22.92,28.10,22.76,22.53,23.19
2019,25.35,18.81,25.75,24.72,22.65,27.94,22.98,22.54,23.51
2020,25.60,19.33,26.07,24.97,23.18,28.11,23.30,22.88,23.73
2021,25.47,19.16,25.91,24.82,23.03,27.95,23.13,22.75,23.65
2022,25.36,18.79,25.96,24.70,22.69,28.06,22.75,22.40,23.22
2023,25.46,19.04,26.11,24.86,22.95,28.03,22.89,22.56,23.38
2024,25.57,19.22,26.17,25.01,23.06,28.03,23.17,22.76,23.60
2025,25.64,19.25,26.16,25.02,23.10,28.22,23.08,22.78,23.59
2026,25.53,19.17,26.22,24.93,23.04,28.13,23.02,22.62,23.46
2027,25.49,19.16,26.06,24.91,23.01,28.09,23.00,22.56,23.45
2028,25.62,19.25,26.24,24.99,23.18,28.24,23.11,22.72,23.61
2029,25.78,19.33,26.30,25.22,23.14,28.39,23.11,22.86,23.56
2030,25.83,19.30,26.34,25.22,23.25,28.50,23.15,22.84,23.60
2031,25.57,19.00,26.07,24.96,22.85,28.19,23.15,22.68,23.70
2032,25.53,19.21,26.05,24.94,23.01,28.08,23.08,22.67,23.50
2033,25.60,19.03,26.06,24.95,22.94,28.22,23.13,22.72,23.64
2034,25.68,19.00,26.23,24.98,23.12,28.35,23.26,22.84,23.71
2035,25.80,19.35,26.25,25.18,23.20,28.31,23.57,23.02,24.04
2036,25.90,19.40,26.41,25.30,23.28,28.45,23.44,23.04,23.81
2037,25.89,19.42,26.23,25.29,23.27,28.47,23.29,23.08,23.85
2038,25.85,19.56,26.32,25.29,23.48,28.37,23.44,23.02,23.96
2039,25.56,19.03,26.07,24.92,22.80,28.14,23.02,22.69,23.42
2040,25.71,19.39,26.32,25.11,23.23,28.29,23.16,22.83,23.59
2041,25.81,19.35,26.40,25.25,23.25,28.43,23.27,22.85,23.65
2042,25.76,19.18,26.32,25.26,23.22,28.36,23.06,22.72,23.48
2043,25.70,19.18,26.32,25.05,23.00,28.36,23.06,22.72,23.60
2044,25.69,19.39,26.24,25.03,23.15,28.20,23.41,22.95,23.81
2045,25.90,19.30,26.38,25.23,23.18,28.55,23.40,23.03,24.02
2046,25.98,19.29,26.51,25.34,23.13,28.67,23.46,23.01,23.88
2047,25.84,19.43,26.38,25.25,23.30,28.55,23.16,22.81,23.61
2048,25.68,19.26,26.17,25.06,23.05,28.29,23.25,22.82,23.74
2049,25.74,19.31,26.31,25.09,23.21,28.40,23.35,22.80,23.77
2050,25.71,19.32,26.24,25.10,23.15,28.34,23.16,22.75,23.64
2051,25.82,19.28,26.21,25.15,23.14,28.39,23.36,23.07,23.99
2052,25.78,19.19,26.38,25.16,23.12,28.35,23.36,22.92,23.84
2053,25.69,19.26,26.25,25.02,23.31,28.29,23.38,22.85,23.82
2054,25.80,19.30,26.40,25.21,23.40,28.44,23.29,22.83,23.75
2055,25.72,19.21,26.29,25.13,23.15,28.30,23.29,22.85,23.75
2056,25.91,19.45,26.40,25.35,23.33,28.44,23.24,23.06,23.68
2057,25.89,19.62,26.34,25.32,23.51,28.38,23.46,23.14,23.98
2058,25.89,19.44,26.41,25.27,23.46,28.48,23.47,23.05,24.07
2059,25.85,19.31,26.33,25.21,23.23,28.50,23.35,22.94,23.83
2060,25.90,19.60,26.29,25.31,23.46,28.35,23.51,23.16,23.95
2061,25.85,19.42,26.35,25.26,23.37,28.48,23.40,22.94,23.73
2062,25.70,19.24,26.26,25.05,23.16,28.31,23.31,22.84,23.80
2063,25.70,19.31,26.26,25.04,23.29,28.25,23.28,22.92,23.70
2064,25.60,19.08,26.11,25.01,22.95,28.17,23.37,22.71,23.65
