Variable:,tas
,"Sao Tome and Principe",Principe,"Sao Tome"
2015,25.53,26.41,26.05
2016,25.54,26.43,26.03
2017,25.50,26.35,26.02
2018,25.64,26.53,26.17
2019,25.66,26.55,26.16
2020,25.74,26.61,26.29
2021,25.70,26.60,26.22
2022,25.75,26.61,26.27
2023,25.72,26.61,26.24
2024,25.89,26.77,26.39
2025,25.86,26.73,26.39
2026,25.94,26.79,26.46
2027,25.77,26.66,26.30
2028,25.92,26.80,26.43
2029,25.99,26.90,26.50
2030,25.91,26.79,26.44
2031,25.96,26.88,26.45
2032,25.92,26.79,26.46
2033,26.01,26.90,26.55
2034,26.03,26.88,26.57
2035,25.94,26.83,26.44
2036,26.10,26.97,26.61
2037,26.12,26.99,26.63
2038,26.01,26.92,26.53
2039,26.14,27.02,26.66
2040,25.92,26.80,26.44
2041,26.02,26.91,26.52
2042,26.09,26.97,26.62
2043,26.27,27.18,26.77
2044,26.12,26.95,26.64
2045,26.14,26.99,26.66
2046,26.25,27.16,26.78
2047,26.18,27.06,26.68
2048,26.21,27.08,26.75
2049,26.19,27.08,26.72
2050,26.23,27.15,26.73
2051,26.25,27.17,26.75
2052,26.19,27.04,26.71
2053,26.20,27.09,26.74
2054,26.18,27.08,26.71
2055,26.13,27.00,26.66
2056,26.24,27.14,26.75
2057,26.15,27.00,26.69
2058,26.26,27.13,26.78
2059,26.23,27.14,26.73
2060,26.38,27.29,26.90
2061,26.15,27.02,26.68
2062,26.20,27.09,26.73
2063,26.23,27.18,26.75
2064,26.23,27.12,26.72
2065,26.18,27.04,26.74
2066,26.20,27.08,26.72
2067,26.26,27.16,26.80
2068,26.25,27.17,26.76
2069,26.23,27.10,26.76
2070,26.31,27.17,26.83
2071,26.30,27.17,26.81
2072,26.27,27.13,26.77
2073,26.22,27.09,26.73
2074,26.29,27.21,26.84
2075,26.25,27.08,26.81
2076,26.26,27.14,26.78
2077,26.30,27.14,26.80
2078,26.39,27.28,26.90
2079,26.32,27.23,26.81
2080,26.13,27.02,26.68
2081,26.27,27.16,26.80
2082,26.40,27.30,26.91
2083,26.22,27.09,26.75
2084,26.29,27.19,26.80
2085,26.25,27.10,26.81
2086,26.19,27.04,26.76
2087,26.30,27.18,26.83
2088,26.15,27.06,26.71
2089,26.08,26.99,26.58
2090,26.13,26.98,26.65
2091,26.23,27.17,26.71
2092,26.18,27.08,26.66
2093,26.22,27.10,26.72
2094,26.23,27.14,26.80
2095,26.23,27.09,26.77
2096,26.13,26.99,26.66
2097,26.21,27.10,26.75
2098,26.17,27.01,26.74
2099,26.28,27.21,26.82
2100,26.17,27.05,26.75
