Variable:,tas
,Nepal,Central,Eastern,"Far Western","Mid Western",Western
2015,13.17,23.65,22.23,22.01,17.91,20.63
2016,13.17,23.73,22.21,22.03,17.95,20.65
2017,13.28,23.83,22.38,22.23,18.09,20.83
2018,13.42,23.72,22.28,22.25,18.11,20.77
2019,12.90,23.30,21.95,21.79,17.65,20.32
2020,13.39,23.88,22.35,22.20,18.11,20.91
2021,13.21,23.62,22.26,22.00,17.90,20.58
2022,13.21,23.72,22.23,22.09,17.93,20.63
2023,13.31,23.74,22.27,22.20,18.07,20.75
2024,13.48,24.03,22.59,22.17,18.14,20.97
2025,13.56,24.06,22.63,22.50,18.30,20.97
2026,13.47,23.94,22.47,22.54,18.33,20.90
2027,13.53,23.89,22.27,22.46,18.31,20.99
2028,13.53,24.10,22.58,22.33,18.22,21.12
2029,13.58,23.83,22.42,22.50,18.36,20.87
2030,13.94,24.32,22.89,22.89,18.71,21.29
2031,13.74,24.22,22.85,22.74,18.54,21.30
2032,13.49,23.99,22.48,22.31,18.29,20.88
2033,13.48,24.01,22.54,22.35,18.24,20.95
2034,13.76,24.29,22.81,22.75,18.60,21.35
2035,13.62,24.28,22.76,22.64,18.53,21.15
2036,13.46,23.79,22.27,22.29,18.23,20.79
2037,13.86,24.43,23.02,22.74,18.62,21.25
2038,13.94,24.52,23.06,22.83,18.78,21.44
2039,13.89,24.10,22.49,22.90,18.74,21.21
2040,13.77,24.07,22.65,22.74,18.55,21.16
2041,13.82,24.10,22.66,22.72,18.57,21.10
2042,13.88,24.36,22.92,22.54,18.57,21.21
2043,13.81,24.25,22.83,22.51,18.57,21.16
2044,13.57,24.21,22.66,22.54,18.39,21.07
2045,13.95,24.60,23.06,22.85,18.75,21.48
2046,14.10,24.58,23.11,23.10,18.95,21.61
2047,13.92,24.36,22.81,22.76,18.66,21.30
2048,13.88,24.45,22.86,22.77,18.68,21.47
2049,13.89,24.39,22.77,22.63,18.61,21.38
2050,13.61,24.15,22.72,22.38,18.28,21.04
2051,13.87,24.63,23.09,22.66,18.65,21.47
2052,14.10,24.61,23.01,22.93,18.89,21.58
2053,13.98,24.53,23.11,22.88,18.74,21.44
2054,13.85,24.49,22.91,22.62,18.65,21.38
2055,14.31,24.69,23.16,23.19,19.04,21.73
2056,13.89,24.19,22.75,22.81,18.64,21.29
2057,13.88,24.45,22.83,22.97,18.76,21.40
2058,14.08,24.70,23.22,22.82,18.82,21.56
2059,14.01,24.45,23.00,22.78,18.77,21.47
2060,13.73,24.35,22.72,22.70,18.55,21.26
2061,13.57,24.02,22.62,22.48,18.33,20.97
2062,13.97,24.57,23.12,22.83,18.70,21.40
2063,14.32,24.91,23.44,23.12,18.97,21.77
2064,14.00,24.50,22.96,22.72,18.65,21.41
2065,13.68,24.15,22.73,22.48,18.45,21.12
2066,13.54,23.95,22.46,22.17,18.20,20.97
2067,13.97,24.62,23.01,22.72,18.70,21.52
2068,13.61,24.30,22.82,22.37,18.28,21.14
2069,13.94,24.59,23.04,22.82,18.79,21.54
2070,13.72,24.27,22.75,22.69,18.51,21.27
2071,13.88,24.34,22.95,22.61,18.56,21.27
2072,13.92,24.35,22.93,22.46,18.51,21.22
2073,13.95,24.34,22.80,22.97,18.84,21.40
2074,13.77,24.32,22.85,22.70,18.52,21.36
2075,13.66,24.14,22.59,22.69,18.45,21.08
2076,13.63,24.24,22.88,22.72,18.45,21.25
2077,14.13,24.65,23.15,22.96,18.89,21.55
2078,13.79,24.37,22.79,22.55,18.56,21.46
2079,13.88,24.59,22.98,22.92,18.72,21.46
2080,13.81,24.45,23.00,22.90,18.71,21.30
2081,13.72,24.40,22.78,22.66,18.56,21.19
2082,13.74,24.23,22.68,22.52,18.44,21.17
2083,13.69,24.07,22.62,22.79,18.47,21.04
2084,13.79,24.32,22.80,22.72,18.60,21.31
2085,13.51,24.13,22.55,22.58,18.40,21.05
2086,13.51,24.11,22.51,22.77,18.47,21.05
2087,13.68,24.30,22.77,22.62,18.46,21.18
2088,13.87,24.20,22.68,22.63,18.65,21.29
2089,13.39,23.96,22.43,22.35,18.22,20.91
2090,13.24,23.83,22.46,22.08,18.00,20.76
2091,13.70,24.33,22.68,22.85,18.67,21.38
2092,13.97,24.24,22.74,22.70,18.66,21.38
2093,13.85,24.44,22.91,22.85,18.70,21.38
2094,13.53,23.98,22.52,22.52,18.35,21.01
2095,13.78,24.31,22.71,22.39,18.37,21.16
2096,13.97,24.18,22.81,22.81,18.70,21.33
2097,13.49,24.06,22.54,22.35,18.27,21.06
2098,13.32,23.91,22.57,22.07,18.00,20.76
2099,13.51,24.03,22.55,22.32,18.24,20.90
2100,13.69,24.30,22.76,22.36,18.50,21.35
