Variable:,tasmin
2015,22.16
2016,22.15
2017,22.40
2018,22.33
2019,22.36
2020,22.60
2021,22.38
2022,22.37
2023,22.47
2024,22.51
2025,22.55
2026,22.65
2027,22.41
2028,22.73
2029,22.57
2030,22.64
2031,22.84
2032,22.56
2033,22.62
2034,22.73
2035,22.89
2036,22.65
2037,22.71
2038,23.00
2039,22.71
2040,22.92
2041,22.88
2042,22.68
2043,22.47
2044,22.70
2045,22.83
2046,22.90
2047,22.91
2048,22.99
2049,22.72
2050,22.69
2051,23.04
2052,22.74
2053,22.70
2054,22.58
2055,22.66
2056,22.84
2057,22.76
2058,22.74
2059,22.75
2060,22.51
2061,22.62
2062,22.64
2063,22.78
2064,22.73
2065,22.46
2066,22.65
2067,23.04
2068,22.73
2069,22.59
2070,22.59
2071,22.96
2072,22.61
2073,22.62
2074,22.71
2075,22.44
2076,22.93
2077,22.69
2078,22.33
2079,22.61
2080,22.88
2081,22.55
2082,22.57
2083,22.70
2084,22.62
2085,22.35
2086,22.67
2087,23.00
2088,22.56
2089,22.36
2090,22.65
2091,22.71
2092,22.34
2093,22.39
2094,22.73
2095,22.64
2096,22.52
2097,22.41
2098,22.58
2099,22.67
2100,22.79
