Variable:,tas
,Botswana,Central,Chobe,Ghanzi,Kgalagadi,Kgatleng,Kweneng,Ngamiland,"North East",South-East,Southern
2015,22.53,22.62,23.94,22.16,21.34,21.42,21.64,23.55,22.01,20.70,20.95
2016,22.53,22.69,23.85,22.13,21.31,21.47,21.60,23.55,22.05,20.71,20.93
2017,22.57,22.61,23.78,22.26,21.50,21.46,21.75,23.61,22.02,20.76,21.06
2018,22.70,22.82,23.98,22.31,21.50,21.47,21.84,23.74,22.19,20.85,21.14
2019,22.76,22.87,24.10,22.40,21.48,21.57,21.87,23.86,22.24,20.83,21.11
2020,22.72,22.80,24.08,22.36,21.61,21.52,21.81,23.73,22.16,20.86,21.13
2021,22.82,22.94,24.06,22.48,21.74,21.66,21.97,23.76,22.33,21.01,21.29
2022,22.90,23.03,24.14,22.54,21.81,21.80,22.10,23.79,22.41,21.13,21.42
2023,22.89,22.98,24.19,22.50,21.80,21.77,22.02,23.89,22.38,21.17,21.42
2024,23.07,23.15,24.28,22.74,21.95,21.90,22.22,24.12,22.55,21.26,21.50
2025,23.07,23.24,24.35,22.71,21.77,21.86,22.18,24.11,22.64,21.14,21.42
2026,23.23,23.29,24.50,22.89,21.98,22.10,22.40,24.33,22.69,21.47,21.73
2027,23.09,23.24,24.30,22.73,21.86,22.11,22.37,24.06,22.61,21.41,21.60
2028,23.13,23.19,24.31,22.82,22.11,22.11,22.37,24.08,22.56,21.45,21.69
2029,23.06,23.13,24.10,22.76,22.06,22.17,22.39,23.98,22.48,21.40,21.65
2030,23.12,23.20,24.52,22.77,21.88,21.94,22.16,24.27,22.48,21.21,21.44
2031,22.95,23.02,24.22,22.60,21.94,21.75,22.07,23.92,22.39,21.10,21.44
2032,23.25,23.37,24.51,22.90,22.19,22.30,22.55,24.13,22.74,21.67,21.93
2033,23.08,23.19,24.35,22.75,21.91,21.87,22.27,24.06,22.54,21.19,21.53
2034,23.13,23.20,24.37,22.81,22.13,21.95,22.28,23.99,22.69,21.31,21.68
2035,23.08,23.18,24.26,22.82,22.05,21.91,22.23,23.97,22.56,21.26,21.62
2036,23.38,23.50,24.50,23.04,22.15,22.13,22.53,24.46,22.92,21.47,21.81
2037,23.55,23.64,24.73,23.24,22.47,22.44,22.79,24.50,22.99,21.83,22.13
2038,23.29,23.50,24.55,22.88,22.15,22.09,22.36,24.25,22.79,21.32,21.64
2039,23.33,23.46,24.75,22.91,22.05,22.11,22.44,24.39,22.86,21.48,21.75
2040,23.29,23.34,24.57,22.99,22.18,22.16,22.48,24.26,22.70,21.44,21.79
2041,23.30,23.39,24.56,23.00,22.13,22.19,22.49,24.31,22.72,21.53,21.78
2042,23.41,23.49,24.87,22.99,22.21,22.15,22.45,24.54,22.97,21.56,21.77
2043,23.59,23.67,24.77,23.23,22.56,22.54,22.78,24.57,23.07,21.78,22.11
2044,23.25,23.37,24.47,22.93,22.12,22.07,22.43,24.26,22.75,21.44,21.70
2045,23.34,23.49,24.68,22.99,22.12,22.30,22.46,24.33,22.85,21.33,21.59
2046,23.26,23.27,24.48,22.95,22.32,22.30,22.47,24.23,22.61,21.56,21.76
2047,23.47,23.48,24.75,23.15,22.44,22.17,22.58,24.54,22.82,21.58,21.98
2048,23.53,23.61,24.56,23.24,22.56,22.49,22.76,24.48,22.78,21.87,22.16
2049,23.48,23.53,24.69,23.23,22.39,22.27,22.67,24.44,22.92,21.64,21.95
2050,23.55,23.62,24.79,23.19,22.48,22.52,22.78,24.54,22.96,21.86,22.11
2051,23.70,23.85,24.85,23.37,22.49,22.81,23.02,24.61,23.18,21.99,22.20
2052,23.46,23.58,24.69,23.11,22.25,22.37,22.60,24.49,22.93,21.63,21.88
2053,23.60,23.66,24.76,23.32,22.56,22.59,22.87,24.53,23.01,21.86,22.19
2054,23.40,23.57,24.71,23.04,22.11,22.17,22.46,24.41,23.05,21.43,21.77
2055,23.19,23.28,24.33,22.95,22.16,22.12,22.45,24.05,22.57,21.37,21.69
2056,23.54,23.71,24.67,23.20,22.44,22.51,22.69,24.42,23.13,21.74,22.01
2057,23.43,23.48,24.72,23.12,22.35,22.19,22.58,24.42,22.95,21.55,21.86
2058,23.52,23.67,24.67,23.21,22.57,22.45,22.69,24.38,23.08,21.74,22.08
2059,23.76,23.89,25.04,23.41,22.48,22.72,23.01,24.78,23.22,22.09,22.29
2060,23.68,23.78,24.88,23.39,22.47,22.61,22.97,24.62,23.22,21.97,22.18
2061,23.59,23.75,24.90,23.16,22.32,22.53,22.70,24.63,23.19,21.75,22.01
2062,23.45,23.58,24.78,23.05,22.28,22.34,22.58,24.44,23.02,21.67,21.96
2063,23.55,23.66,24.82,23.22,22.36,22.41,22.69,24.53,23.09,21.79,22.05
2064,23.46,23.62,24.67,23.09,22.33,22.31,22.61,24.37,23.15,21.70,21.99
2065,23.37,23.51,24.64,23.01,22.19,22.38,22.56,24.33,22.90,21.59,21.79
2066,23.78,23.82,25.01,23.45,22.78,22.75,22.95,24.77,23.11,22.07,22.38
2067,23.49,23.58,24.62,23.22,22.50,22.45,22.71,24.35,23.00,21.73,22.04
2068,23.71,23.81,24.93,23.44,22.52,22.56,22.89,24.68,23.20,21.86,22.14
2069,23.50,23.59,24.85,23.15,22.35,22.32,22.64,24.53,22.93,21.62,21.87
2070,23.62,23.72,24.86,23.28,22.49,22.58,22.89,24.60,23.10,21.92,22.06
2071,23.49,23.56,24.72,23.14,22.44,22.43,22.64,24.52,22.95,21.75,22.02
2072,23.53,23.62,24.72,23.26,22.37,22.50,22.73,24.53,23.03,21.79,22.06
2073,23.63,23.67,24.89,23.34,22.67,22.39,22.82,24.62,22.92,21.79,22.15
2074,23.69,23.67,24.90,23.39,22.78,22.53,22.85,24.74,23.00,21.94,22.24
2075,23.41,23.50,24.62,23.09,22.35,22.36,22.56,24.41,22.78,21.59,21.84
2076,23.33,23.36,24.59,22.99,22.18,22.10,22.40,24.52,22.74,21.25,21.62
2077,23.73,23.83,25.03,23.34,22.58,22.59,22.81,24.78,23.27,21.92,22.15
2078,23.87,24.05,25.37,23.42,22.48,22.59,22.88,24.98,23.45,21.78,22.10
2079,23.78,23.91,25.08,23.43,22.58,22.66,22.87,24.80,23.22,21.90,22.19
2080,23.61,23.62,24.88,23.35,22.53,22.56,22.79,24.65,22.90,21.77,22.16
2081,23.71,23.85,25.00,23.35,22.51,22.52,22.82,24.75,23.20,21.83,22.10
2082,23.92,24.01,25.21,23.63,22.73,22.75,23.04,24.97,23.29,21.97,22.20
2083,23.77,23.81,24.95,23.46,22.66,22.53,23.05,24.79,23.30,22.01,22.41
2084,23.63,23.77,24.75,23.29,22.43,22.62,22.78,24.65,23.14,21.78,22.05
2085,23.51,23.58,24.96,23.15,22.21,22.12,22.52,24.69,23.00,21.50,21.85
2086,23.68,23.75,24.72,23.42,22.76,22.74,22.91,24.57,23.11,21.94,22.18
2087,23.86,24.00,24.97,23.59,22.56,22.79,23.10,24.78,23.36,22.19,22.43
2088,23.38,23.44,24.49,23.07,22.26,22.34,22.63,24.38,22.78,21.64,21.94
2089,23.49,23.65,24.70,23.10,22.40,22.35,22.65,24.43,23.04,21.72,22.06
2090,23.34,23.44,24.52,23.07,22.22,22.22,22.59,24.24,22.89,21.64,21.87
2091,23.84,23.99,24.87,23.51,22.68,22.85,23.10,24.85,23.32,22.23,22.40
2092,23.42,23.51,24.77,23.00,22.38,22.19,22.47,24.46,22.91,21.59,21.86
2093,23.46,23.50,24.65,23.17,22.46,22.26,22.51,24.50,22.95,21.54,21.85
2094,23.62,23.72,24.78,23.33,22.56,22.47,22.79,24.56,23.12,21.77,22.10
2095,23.71,23.79,25.07,23.39,22.40,22.51,22.89,24.77,23.17,21.90,22.16
2096,23.40,23.53,24.65,23.00,22.20,22.25,22.48,24.48,22.91,21.54,21.80
2097,23.61,23.73,24.77,23.30,22.47,22.62,22.78,24.66,23.02,21.88,22.11
2098,23.35,23.47,24.60,22.97,22.20,22.33,22.59,24.34,22.81,21.71,21.85
2099,23.46,23.59,24.70,23.10,22.29,22.33,22.57,24.42,22.92,21.60,21.89
2100,23.15,23.31,24.28,22.81,22.04,22.22,22.43,24.06,22.67,21.52,21.81
