Variable:,tasmin
,Djibouti,"Ali Sabieh",Dikhil,Djibouti,Obock,Tadjourah
2015,23.12,22.60,22.13,22.83,23.29,22.52
2016,23.26,22.76,22.28,23.00,23.41,22.68
2017,23.25,22.76,22.31,22.97,23.41,22.67
2018,23.35,22.82,22.33,23.06,23.52,22.77
2019,23.29,22.73,22.22,23.01,23.47,22.62
2020,23.32,22.86,22.38,23.08,23.46,22.74
2021,23.46,22.98,22.47,23.21,23.61,22.90
2022,23.49,22.95,22.45,23.23,23.65,22.87
2023,23.51,23.07,22.59,23.30,23.64,22.95
2024,23.66,23.21,22.68,23.46,23.78,23.07
2025,23.53,23.02,22.55,23.26,23.68,22.94
2026,23.60,23.09,22.59,23.33,23.76,23.01
2027,23.53,23.11,22.63,23.34,23.64,22.95
2028,23.62,23.12,22.65,23.37,23.78,23.01
2029,23.83,23.35,22.87,23.57,23.98,23.26
2030,23.63,23.16,22.67,23.40,23.76,23.05
2031,23.70,23.21,22.74,23.44,23.85,23.13
2032,23.88,23.44,22.97,23.66,24.00,23.34
2033,23.76,23.31,22.82,23.55,23.89,23.20
2034,23.76,23.27,22.78,23.50,23.90,23.20
2035,23.71,23.24,22.76,23.49,23.85,23.13
2036,23.84,23.37,22.89,23.63,23.97,23.28
2037,23.84,23.34,22.87,23.56,23.99,23.25
2038,24.10,23.65,23.21,23.86,24.23,23.55
2039,24.06,23.65,23.17,23.85,24.18,23.55
2040,24.03,23.57,23.07,23.80,24.16,23.46
2041,24.06,23.61,23.13,23.82,24.19,23.50
2042,24.01,23.52,23.06,23.76,24.16,23.42
2043,24.18,23.68,23.20,23.92,24.33,23.58
2044,24.10,23.58,23.08,23.84,24.26,23.49
2045,24.18,23.71,23.25,23.91,24.32,23.65
2046,24.15,23.73,23.23,23.98,24.27,23.57
2047,24.26,23.79,23.35,23.99,24.41,23.70
2048,24.45,24.00,23.55,24.23,24.57,23.92
2049,24.29,23.76,23.28,23.99,24.46,23.71
2050,24.23,23.75,23.30,23.96,24.37,23.68
2051,24.25,23.78,23.30,24.02,24.39,23.66
2052,24.53,24.12,23.63,24.34,24.65,24.02
2053,24.48,24.00,23.54,24.21,24.62,23.95
2054,24.33,23.89,23.44,24.12,24.45,23.77
2055,24.54,24.08,23.58,24.31,24.67,23.99
2056,24.36,23.88,23.42,24.11,24.50,23.78
2057,24.65,24.16,23.70,24.36,24.79,24.07
2058,24.52,24.10,23.63,24.30,24.64,24.00
2059,24.67,24.17,23.73,24.39,24.83,24.12
2060,24.78,24.35,23.89,24.58,24.90,24.25
2061,24.65,24.25,23.76,24.46,24.76,24.14
2062,24.54,24.15,23.71,24.35,24.65,24.05
2063,24.89,24.50,24.01,24.73,24.99,24.38
2064,24.70,24.24,23.75,24.49,24.82,24.14
2065,24.59,24.18,23.71,24.39,24.70,24.03
2066,24.82,24.42,23.99,24.62,24.92,24.35
2067,24.83,24.35,23.87,24.59,24.96,24.29
2068,24.80,24.29,23.85,24.48,24.96,24.27
2069,24.89,24.41,23.96,24.63,25.03,24.37
2070,24.75,24.31,23.88,24.52,24.87,24.22
2071,24.79,24.40,23.96,24.60,24.89,24.29
2072,24.88,24.42,23.98,24.61,25.03,24.36
2073,25.17,24.69,24.24,24.90,25.32,24.65
2074,24.79,24.37,23.92,24.58,24.91,24.29
2075,24.92,24.49,23.99,24.73,25.03,24.43
2076,24.96,24.61,24.15,24.82,25.05,24.46
2077,25.01,24.57,24.10,24.79,25.14,24.48
2078,24.96,24.52,24.08,24.72,25.09,24.42
2079,25.06,24.67,24.19,24.90,25.17,24.51
2080,25.06,24.55,24.09,24.78,25.21,24.50
2081,25.08,24.70,24.26,24.93,25.18,24.57
2082,25.00,24.54,24.09,24.78,25.13,24.46
2083,24.98,24.50,24.04,24.70,25.12,24.46
2084,24.99,24.48,24.05,24.71,25.15,24.42
2085,25.08,24.51,24.08,24.74,25.27,24.52
2086,25.11,24.71,24.30,24.87,25.23,24.63
2087,25.14,24.68,24.18,24.93,25.27,24.59
2088,25.14,24.66,24.20,24.89,25.28,24.58
2089,25.16,24.72,24.31,24.91,25.29,24.63
2090,25.33,24.84,24.39,25.04,25.50,24.78
2091,25.27,24.80,24.34,25.01,25.40,24.77
2092,25.11,24.63,24.15,24.88,25.24,24.53
2093,25.15,24.81,24.38,25.01,25.23,24.68
2094,25.22,24.84,24.41,25.06,25.32,24.70
2095,25.21,24.70,24.26,24.94,25.36,24.62
2096,25.29,24.86,24.42,25.07,25.42,24.76
2097,25.06,24.54,24.06,24.77,25.22,24.51
2098,25.01,24.49,24.02,24.69,25.18,24.44
2099,25.21,24.69,24.24,24.92,25.36,24.65
2100,25.20,24.79,24.35,24.98,25.32,24.66
