Variable:,tas
,Belgium,"Region de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewes","Vlaams Gewest","Region wallonne"
2015,11.29,11.50,11.60,11.23
2016,11.23,11.47,11.55,11.21
2017,10.87,11.12,11.18,10.86
2018,11.08,11.39,11.39,11.08
2019,11.12,11.39,11.44,11.10
2020,10.96,11.09,11.23,10.83
2021,10.76,11.07,11.05,10.82
2022,11.32,11.64,11.58,11.39
2023,10.74,10.95,11.06,10.68
2024,11.30,11.56,11.61,11.29
2025,11.25,11.54,11.55,11.28
2026,11.01,11.25,11.34,10.97
2027,11.50,11.83,11.78,11.58
2028,11.29,11.55,11.58,11.30
2029,11.12,11.28,11.35,11.04
2030,10.93,11.14,11.18,10.88
2031,11.04,11.20,11.33,10.94
2032,11.04,11.28,11.35,11.01
2033,11.34,11.48,11.54,11.28
2034,11.64,11.91,11.91,11.67
2035,11.44,11.69,11.70,11.41
2036,11.74,11.92,12.02,11.64
2037,11.35,11.57,11.60,11.33
2038,11.52,11.81,11.79,11.54
2039,11.51,11.76,11.80,11.50
2040,11.50,11.78,11.80,11.52
2041,11.14,11.34,11.41,11.10
2042,11.40,11.64,11.72,11.36
2043,11.13,11.37,11.42,11.14
2044,11.33,11.62,11.64,11.41
2045,11.18,11.31,11.39,11.08
2046,10.92,11.17,11.22,10.96
2047,11.17,11.46,11.51,11.20
2048,11.15,11.35,11.43,11.09
2049,11.30,11.53,11.57,11.26
2050,11.52,11.76,11.83,11.48
2051,11.27,11.48,11.50,11.25
2052,11.50,11.77,11.76,11.51
2053,11.21,11.44,11.48,11.20
2054,11.39,11.69,11.66,11.44
2055,11.36,11.71,11.68,11.44
2056,11.29,11.69,11.61,11.40
2057,11.21,11.51,11.48,11.23
2058,11.24,11.49,11.55,11.22
2059,11.41,11.71,11.73,11.45
2060,11.13,11.44,11.46,11.18
2061,11.23,11.56,11.51,11.35
2062,11.00,11.34,11.38,11.03
2063,11.25,11.53,11.53,11.25
2064,11.56,11.78,11.85,11.52
2065,11.77,12.00,12.03,11.74
2066,10.87,11.15,11.15,10.89
2067,11.18,11.49,11.49,11.26
2068,11.39,11.70,11.71,11.39
2069,10.95,11.12,11.19,10.91
2070,11.20,11.57,11.47,11.36
2071,11.45,11.71,11.73,11.45
2072,11.55,11.74,11.79,11.50
2073,11.55,11.80,11.80,11.51
2074,10.79,11.05,11.10,10.79
2075,11.36,11.58,11.68,11.33
2076,11.31,11.60,11.59,11.35
2077,11.37,11.72,11.64,11.45
2078,11.32,11.63,11.63,11.37
2079,11.32,11.60,11.62,11.37
2080,11.51,11.79,11.73,11.58
2081,11.23,11.38,11.49,11.14
2082,11.30,11.53,11.60,11.27
2083,11.44,11.72,11.69,11.48
2084,10.59,10.89,10.85,10.69
2085,11.18,11.40,11.48,11.13
2086,11.47,11.76,11.74,11.55
2087,10.85,11.17,11.19,10.88
2088,11.14,11.38,11.41,11.15
2089,11.25,11.54,11.53,11.31
2090,11.30,11.61,11.59,11.37
2091,11.39,11.65,11.61,11.43
2092,11.53,11.66,11.80,11.42
2093,11.22,11.53,11.53,11.23
2094,10.95,11.16,11.24,10.91
2095,11.08,11.35,11.41,11.06
2096,11.22,11.45,11.55,11.20
2097,11.27,11.60,11.47,11.39
2098,11.24,11.52,11.54,11.27
2099,11.29,11.55,11.58,11.26
2100,11.27,11.52,11.58,11.28
