Variable:,tas
,Ethiopia,"Addis Ababa",Afar,Amhara,"Beneshangul Gumu","Dire Dawa",Gambela,Hareri,SNNPR,Tigray,Oromia,Somali
2015,23.45,17.55,25.08,20.59,24.76,22.32,28.35,21.96,23.43,23.35,21.21,26.57
2016,23.37,17.42,24.99,20.44,24.66,22.19,28.19,21.87,23.29,23.17,21.12,26.54
2017,23.43,17.44,25.05,20.55,24.78,22.22,28.27,21.87,23.34,23.32,21.18,26.57
2018,23.49,17.60,25.20,20.63,24.79,22.27,28.33,21.93,23.47,23.49,21.23,26.57
2019,23.60,17.67,25.32,20.76,24.93,22.56,28.37,22.18,23.54,23.50,21.32,26.70
2020,23.57,17.66,25.18,20.73,24.97,22.44,28.48,22.08,23.49,23.46,21.31,26.68
2021,23.62,17.63,25.28,20.77,24.90,22.43,28.39,22.11,23.57,23.56,21.32,26.75
2022,23.59,17.69,25.26,20.81,24.93,22.37,28.42,22.02,23.45,23.62,21.32,26.68
2023,23.64,17.73,25.36,20.75,24.95,22.56,28.45,22.21,23.56,23.50,21.40,26.77
2024,23.79,17.89,25.44,20.92,25.18,22.55,28.72,22.19,23.72,23.70,21.52,26.90
2025,23.76,17.92,25.40,20.85,25.06,22.56,28.60,22.20,23.75,23.56,21.54,26.86
2026,23.75,17.81,25.38,20.88,25.06,22.50,28.71,22.14,23.78,23.60,21.48,26.86
2027,23.82,17.87,25.44,20.95,25.10,22.67,28.69,22.30,23.75,23.74,21.55,26.96
2028,23.83,17.94,25.49,20.94,25.09,22.74,28.64,22.40,23.86,23.72,21.59,26.90
2029,23.81,17.91,25.47,20.96,25.15,22.63,28.73,22.30,23.80,23.72,21.58,26.90
2030,23.75,17.80,25.42,20.88,25.19,22.50,28.69,22.12,23.70,23.62,21.49,26.86
2031,23.92,18.02,25.66,21.12,25.21,22.79,28.88,22.45,23.90,23.91,21.63,26.97
2032,23.95,17.99,25.64,21.10,25.26,22.78,28.79,22.45,23.84,23.90,21.63,27.08
2033,23.96,18.02,25.64,21.17,25.32,22.71,28.90,22.33,24.00,23.95,21.71,27.00
2034,23.86,17.90,25.54,21.00,25.17,22.61,28.82,22.25,23.79,23.79,21.56,26.99
2035,23.99,18.04,25.72,21.15,25.31,22.79,28.80,22.39,23.91,24.01,21.68,27.08
2036,24.08,18.26,25.72,21.28,25.42,23.02,28.97,22.67,23.97,24.03,21.81,27.15
2037,24.03,18.23,25.71,21.25,25.40,22.72,28.87,22.36,23.95,24.05,21.75,27.07
2038,24.09,18.11,25.87,21.17,25.22,23.01,28.82,22.67,23.93,24.00,21.82,27.25
2039,24.13,18.20,25.89,21.30,25.40,23.01,28.95,22.68,24.01,24.13,21.86,27.20
