Variable:,tasmin
,Lesotho,Berea,"Butha Buthe",Leribe,Mafeteng,Maseru,"Mohale's Hoek",Mokhotlong,"Qacha's Nek",Quthing,"Thaba Tseka"
2015,6.29,7.62,6.95,7.02,8.27,7.81,6.80,6.12,6.52,6.62,6.42
2016,6.37,7.67,7.09,7.12,8.32,7.86,6.89,6.23,6.60,6.72,6.49
2017,6.42,7.63,7.13,7.13,8.24,7.81,6.90,6.28,6.65,6.78,6.52
2018,6.39,7.73,7.11,7.17,8.38,7.92,6.95,6.22,6.66,6.80,6.54
2019,6.44,7.72,7.12,7.17,8.35,7.90,6.96,6.31,6.71,6.84,6.56
2020,6.44,7.79,7.09,7.16,8.47,7.99,7.00,6.30,6.69,6.82,6.57
2021,6.51,7.85,7.25,7.27,8.54,8.05,7.05,6.32,6.71,6.87,6.59
2022,6.74,8.06,7.47,7.53,8.66,8.23,7.24,6.58,6.98,7.06,6.92
2023,6.60,7.88,7.34,7.35,8.53,8.07,7.09,6.42,6.78,6.91,6.69
2024,6.78,8.16,7.47,7.56,8.82,8.35,7.40,6.62,7.04,7.21,6.95
2025,6.82,8.08,7.56,7.56,8.72,8.27,7.30,6.66,7.02,7.13,6.92
2026,6.85,8.13,7.49,7.58,8.72,8.30,7.32,6.75,7.12,7.17,7.03
2027,6.83,8.16,7.56,7.59,8.82,8.35,7.33,6.65,7.03,7.14,6.93
2028,6.78,8.06,7.53,7.53,8.70,8.24,7.31,6.62,7.02,7.18,6.88
2029,6.92,8.24,7.65,7.69,8.87,8.43,7.41,6.73,7.15,7.24,7.06
2030,6.81,8.12,7.53,7.57,8.75,8.30,7.35,6.66,7.06,7.18,6.97
2031,6.73,8.02,7.46,7.50,8.63,8.20,7.26,6.58,6.97,7.08,6.90
2032,6.96,8.28,7.68,7.74,8.90,8.46,7.48,6.81,7.21,7.30,7.14
2033,6.80,8.07,7.48,7.54,8.66,8.24,7.30,6.65,7.04,7.13,6.97
2034,6.99,8.26,7.74,7.76,8.87,8.44,7.41,6.82,7.19,7.24,7.11
2035,7.02,8.38,7.74,7.80,9.04,8.57,7.57,6.84,7.24,7.36,7.17
2036,7.07,8.40,7.78,7.82,9.04,8.58,7.59,6.90,7.31,7.43,7.21
2037,7.19,8.46,7.91,7.95,9.07,8.64,7.64,7.03,7.41,7.48,7.33
2038,6.99,8.28,7.67,7.72,8.92,8.46,7.54,6.82,7.21,7.38,7.10
2039,7.02,8.30,7.72,7.77,8.92,8.48,7.47,6.87,7.25,7.32,7.16
2040,7.04,8.35,7.83,7.82,9.00,8.54,7.56,6.86,7.24,7.38,7.15
2041,7.05,8.39,7.80,7.85,9.01,8.57,7.60,6.91,7.29,7.40,7.24
2042,7.28,8.55,8.06,8.05,9.14,8.72,7.67,7.12,7.47,7.47,7.42
2043,7.26,8.50,7.97,7.98,9.12,8.68,7.72,7.09,7.46,7.56,7.36
2044,7.01,8.30,7.74,7.75,8.94,8.48,7.51,6.85,7.24,7.36,7.12
2045,7.13,8.37,7.86,7.88,8.96,8.54,7.59,6.98,7.35,7.41,7.28
2046,7.19,8.45,7.95,7.94,9.08,8.63,7.65,7.03,7.43,7.54,7.28
2047,7.16,8.51,7.88,7.94,9.16,8.70,7.72,6.99,7.41,7.55,7.31
2048,7.35,8.60,8.15,8.13,9.18,8.76,7.82,7.21,7.55,7.63,7.50
2049,7.02,8.29,7.77,7.79,8.89,8.46,7.55,6.88,7.25,7.37,7.17
2050,7.49,8.81,8.26,8.29,9.40,8.98,8.02,7.33,7.74,7.84,7.69
2051,7.35,8.66,8.12,8.13,9.30,8.84,7.84,7.17,7.53,7.62,7.48
2052,7.11,8.45,7.83,7.89,9.06,8.62,7.61,6.94,7.37,7.45,7.28
2053,7.40,8.65,8.21,8.22,9.21,8.81,7.87,7.22,7.60,7.67,7.58
2054,7.21,8.56,7.93,7.99,9.20,8.75,7.72,7.06,7.45,7.53,7.37
2055,6.97,8.28,7.67,7.72,8.92,8.47,7.52,6.82,7.22,7.36,7.11
2056,7.25,8.57,7.99,8.03,9.19,8.74,7.74,7.08,7.47,7.54,7.41
2057,7.18,8.50,7.93,7.95,9.15,8.68,7.70,7.01,7.36,7.48,7.29
2058,7.13,8.38,7.82,7.87,8.97,8.55,7.53,6.99,7.39,7.41,7.27
2059,7.41,8.80,8.12,8.20,9.45,8.99,7.90,7.25,7.63,7.67,7.58
2060,7.33,8.72,8.05,8.11,9.37,8.91,7.87,7.15,7.54,7.64,7.50
2061,7.08,8.37,7.75,7.81,8.99,8.55,7.53,6.93,7.29,7.34,7.21
2062,7.22,8.47,7.93,7.97,9.07,8.64,7.67,7.09,7.43,7.49,7.36
2063,7.25,8.53,8.09,8.05,9.15,8.71,7.66,7.02,7.42,7.48,7.36
2064,7.49,8.77,8.22,8.26,9.35,8.94,7.91,7.33,7.72,7.73,7.67
2065,7.12,8.46,7.80,7.87,9.11,8.64,7.71,6.95,7.36,7.54,7.25
2066,7.52,8.82,8.27,8.28,9.46,9.00,8.01,7.36,7.72,7.82,7.63
2067,7.43,8.72,8.20,8.23,9.31,8.89,7.92,7.25,7.65,7.73,7.60
2068,7.44,8.79,8.18,8.23,9.43,8.98,7.92,7.26,7.65,7.71,7.59
2069,7.23,8.59,7.90,7.99,9.24,8.78,7.79,7.08,7.50,7.62,7.40
2070,7.39,8.61,8.09,8.13,9.19,8.78,7.82,7.29,7.66,7.70,7.54
2071,7.42,8.65,8.12,8.15,9.24,8.82,7.85,7.28,7.66,7.72,7.55
