Variable:,tas
,Tonga,"Administrative unit not available"
2015,24.90,24.79
2016,24.86,24.71
2017,24.75,24.53
2018,25.09,24.97
2019,25.03,24.92
2020,24.87,24.71
2021,24.96,24.83
2022,25.23,25.13
2023,25.20,25.00
2024,25.06,24.96
2025,25.03,24.88
2026,25.25,25.09
2027,25.10,24.96
2028,25.16,25.00
2029,25.11,24.95
2030,24.95,24.83
2031,25.19,25.01
2032,25.24,25.09
2033,25.19,25.02
2034,25.07,24.97
2035,25.06,24.91
2036,25.30,25.14
2037,25.32,25.13
2038,25.10,24.95
2039,24.93,24.80
2040,25.27,25.10
2041,25.39,25.22
2042,25.31,25.16
2043,25.28,25.13
2044,25.15,24.97
2045,25.25,25.10
2046,25.32,25.18
2047,25.25,25.15
2048,25.40,25.27
2049,25.20,25.05
2050,25.25,25.10
2051,25.25,25.10
2052,25.29,25.14
2053,25.21,25.02
2054,25.23,25.06
2055,25.32,25.14
2056,25.15,25.02
2057,25.30,25.12
2058,25.33,25.17
2059,25.09,24.99
2060,25.38,25.19
2061,25.18,25.06
2062,25.39,25.28
2063,25.40,25.23
2064,25.34,25.17
2065,25.28,25.12
2066,25.24,25.09
2067,25.16,25.02
2068,25.45,25.27
2069,25.42,25.25
2070,25.26,25.13
2071,25.26,25.08
2072,25.33,25.14
2073,25.29,25.09
2074,25.05,24.89
2075,25.26,25.08
2076,25.18,25.00
2077,25.28,25.13
2078,25.20,25.00
2079,25.27,25.11
2080,25.24,25.10
2081,25.43,25.24
2082,25.14,25.01
2083,24.84,24.77
2084,25.19,25.07
2085,25.25,25.05
2086,25.15,25.01
2087,25.09,24.90
2088,25.15,25.01
2089,25.12,24.99
2090,24.98,24.82
2091,25.15,25.00
2092,25.26,25.09
2093,25.26,25.11
2094,25.16,25.01
2095,25.05,24.91
2096,25.27,25.14
2097,25.14,24.98
2098,24.88,24.75
2099,25.00,24.86
2100,24.97,24.79
