Variable:,tas
2015,24.48
2016,24.31
2017,24.54
2018,24.60
2019,24.64
2020,24.61
2021,24.69
2022,24.82
2023,24.67
2024,24.75
2025,24.76
2026,24.83
2027,25.06
2028,24.93
2029,25.05
2030,25.06
2031,24.88
2032,25.00
2033,24.82
2034,25.03
2035,24.86
2036,24.89
2037,25.16
2038,25.04
2039,25.05
2040,25.05
2041,25.09
2042,25.14
2043,25.19
2044,25.17
2045,25.23
2046,25.33
2047,25.25
2048,25.25
2049,25.35
2050,25.51
2051,25.43
2052,25.34
2053,25.41
2054,25.01
2055,25.10
2056,25.19
2057,25.37
2058,25.38
2059,25.40
2060,25.25
2061,25.45
2062,25.49
2063,25.42
2064,25.29
2065,25.20
2066,25.38
2067,25.39
2068,25.46
2069,25.32
2070,25.63
2071,25.43
2072,25.59
2073,25.45
2074,25.37
2075,25.25
2076,25.38
2077,25.25
2078,25.37
2079,25.15
2080,25.28
2081,25.38
2082,25.37
2083,25.27
2084,25.41
2085,25.36
2086,25.41
2087,25.43
2088,25.48
2089,25.48
2090,25.44
2091,25.46
2092,25.22
2093,25.51
2094,25.38
2095,25.27
2096,25.34
2097,25.29
2098,25.25
2099,25.39
2100,25.12
