Variable:,tasmax
2015,28.34
2016,28.31
2017,28.41
2018,28.33
2019,28.46
2020,28.44
2021,28.51
2022,28.59
2023,28.53
2024,28.69
2025,28.64
2026,28.66
2027,28.56
2028,28.66
2029,28.66
2030,28.74
2031,28.81
2032,28.74
2033,28.79
2034,28.70
2035,28.75
2036,28.74
2037,28.88
2038,28.91
2039,28.92
2040,28.89
2041,28.86
2042,28.96
2043,28.85
2044,28.82
2045,28.91
2046,28.98
2047,28.99
2048,29.16
2049,29.06
2050,28.98
2051,28.98
2052,29.32
2053,29.19
2054,29.16
2055,29.15
2056,29.12
2057,29.35
2058,29.15
2059,29.25
2060,29.33
2061,29.30
2062,29.15
2063,29.43
2064,29.39
2065,29.48
2066,29.47
2067,29.37
2068,29.37
2069,29.47
2070,29.52
2071,29.44
2072,29.32
2073,29.58
2074,29.47
2075,29.52
2076,29.55
2077,29.61
2078,29.61
2079,29.44
2080,29.49
2081,29.57
2082,29.59
2083,29.53
2084,29.65
2085,29.76
2086,29.74
2087,29.68
2088,29.53
2089,29.68
2090,29.75
2091,29.69
2092,29.72
2093,29.65
2094,29.75
2095,29.86
2096,29.73
2097,29.69
2098,29.63
2099,29.76
2100,29.74
