Variable:,tasmax
,Tokelau,"Administrative unit not available"
2015,30.42,29.77
2016,30.54,29.87
2017,30.51,29.84
2018,30.54,29.86
2019,30.55,29.88
2020,30.63,29.94
2021,30.67,30.00
2022,30.70,30.04
2023,30.75,30.07
2024,30.82,30.16
2025,30.70,30.03
2026,30.80,30.11
2027,30.85,30.17
2028,30.77,30.10
2029,30.90,30.22
2030,30.76,30.10
2031,30.86,30.20
2032,30.85,30.18
2033,30.96,30.30
2034,30.87,30.20
2035,30.88,30.22
2036,30.93,30.27
2037,31.02,30.35
2038,31.07,30.40
2039,31.03,30.32
2040,31.01,30.34
2041,31.11,30.42
2042,31.13,30.46
2043,31.06,30.39
2044,31.09,30.41
2045,31.09,30.40
2046,31.23,30.56
2047,31.30,30.63
2048,31.30,30.62
2049,31.30,30.62
2050,31.26,30.58
2051,31.35,30.68
2052,31.41,30.73
2053,31.31,30.63
2054,31.29,30.61
2055,31.34,30.69
2056,31.42,30.73
2057,31.54,30.86
2058,31.42,30.75
2059,31.57,30.85
2060,31.50,30.83
2061,31.44,30.76
2062,31.46,30.81
2063,31.50,30.82
2064,31.55,30.88
2065,31.48,30.82
2066,31.51,30.84
2067,31.53,30.88
2068,31.75,31.09
2069,31.68,31.01
2070,31.58,30.91
2071,31.64,30.96
2072,31.61,30.91
2073,31.71,31.02
2074,31.60,30.92
2075,31.67,30.98
2076,31.75,31.09
2077,31.75,31.10
2078,31.76,31.08
2079,31.85,31.19
2080,31.82,31.15
2081,31.72,31.08
2082,31.73,31.08
2083,31.81,31.15
2084,31.81,31.11
2085,31.75,31.06
2086,31.84,31.19
2087,31.80,31.12
2088,31.81,31.14
2089,31.88,31.21
2090,31.88,31.21
2091,31.90,31.24
2092,31.86,31.20
2093,31.80,31.13
2094,31.90,31.21
2095,32.02,31.33
2096,31.83,31.17
2097,31.95,31.29
2098,31.85,31.19
2099,31.97,31.29
2100,31.86,31.23
