Variable:,tas
,"Macao SAR, China","Administrative unit not available"
2015,23.68,23.11
2016,23.69,23.19
2017,23.81,23.28
2018,23.81,23.27
2019,23.82,23.25
2020,23.78,23.17
2021,23.88,23.32
2022,24.05,23.54
2023,24.10,23.56
2024,24.01,23.45
2025,23.90,23.36
2026,24.07,23.47
2027,23.99,23.43
2028,24.12,23.56
2029,23.97,23.42
2030,24.12,23.57
2031,24.17,23.66
2032,24.31,23.72
2033,24.30,23.71
2034,24.22,23.70
2035,24.27,23.76
2036,24.19,23.70
2037,24.37,23.80
2038,24.48,23.96
2039,24.47,23.95
2040,24.53,24.00
2041,24.36,23.90
2042,24.50,23.93
2043,24.46,23.95
2044,24.54,23.96
2045,24.53,23.97
2046,24.55,23.97
2047,24.55,24.09
2048,24.74,24.16
2049,24.66,24.11
2050,24.67,24.07
2051,24.73,24.22
2052,24.68,24.21
2053,24.78,24.30
2054,24.83,24.33
2055,24.71,24.19
2056,24.94,24.40
2057,24.96,24.48
2058,24.95,24.44
2059,24.98,24.52
2060,25.03,24.53
2061,24.86,24.29
2062,24.80,24.30
2063,24.94,24.43
2064,25.04,24.63
2065,24.95,24.44
2066,24.85,24.25
2067,24.84,24.39
2068,25.07,24.61
2069,25.17,24.64
2070,25.10,24.65
2071,25.02,24.46
2072,25.14,24.59
2073,25.26,24.73
2074,25.21,24.68
2075,25.15,24.60
2076,25.18,24.73
2077,25.37,24.88
2078,25.19,24.74
2079,25.27,24.66
2080,25.46,24.96
2081,25.36,24.83
2082,25.42,24.95
2083,25.31,24.86
2084,25.27,24.80
2085,25.45,25.00
2086,25.49,24.99
2087,25.45,24.95
2088,25.33,24.80
2089,25.51,25.01
2090,25.58,25.09
2091,25.61,25.13
2092,25.50,25.08
2093,25.42,24.99
2094,25.46,25.01
2095,25.61,25.14
2096,25.36,24.85
2097,25.58,25.06
2098,25.46,24.97
2099,25.73,25.22
2100,25.69,25.24
