Variable:,tasmin
,Brunei,Belait,"Brunei and Muara",Temburong,Tutong
2015,22.69,22.89,22.86,20.71,22.89
2016,22.75,22.91,22.89,20.79,22.91
2017,22.76,22.95,22.93,20.79,22.95
2018,22.80,22.98,22.96,20.87,22.98
2019,22.93,23.14,23.11,20.98,23.14
2020,22.90,23.09,23.07,20.93,23.09
2021,22.91,23.11,23.08,20.96,23.11
2022,22.95,23.15,23.12,20.97,23.15
2023,22.98,23.20,23.17,21.03,23.20
2024,23.04,23.23,23.21,21.06,23.23
2025,23.04,23.20,23.18,21.11,23.20
2026,23.10,23.31,23.28,21.13,23.31
2027,23.00,23.18,23.16,21.03,23.18
2028,23.02,23.20,23.18,21.09,23.20
2029,23.09,23.27,23.25,21.19,23.27
2030,23.07,23.26,23.24,21.16,23.26
2031,23.06,23.25,23.23,21.10,23.25
2032,23.06,23.25,23.23,21.12,23.25
2033,23.10,23.35,23.31,21.14,23.35
2034,23.20,23.40,23.37,21.28,23.40
2035,23.25,23.42,23.40,21.25,23.42
2036,23.12,23.30,23.28,21.18,23.30
2037,23.25,23.44,23.41,21.31,23.44
2038,23.21,23.42,23.39,21.24,23.42
2039,23.25,23.45,23.42,21.26,23.45
2040,23.15,23.37,23.34,21.16,23.37
2041,23.16,23.35,23.32,21.27,23.35
2042,23.27,23.46,23.43,21.30,23.46
2043,23.33,23.54,23.51,21.36,23.54
2044,23.29,23.48,23.46,21.31,23.48
2045,23.28,23.47,23.44,21.31,23.47
2046,23.41,23.62,23.59,21.52,23.62
2047,23.37,23.57,23.54,21.45,23.57
2048,23.35,23.56,23.53,21.41,23.56
2049,23.42,23.61,23.59,21.49,23.61
2050,23.44,23.64,23.61,21.48,23.64
2051,23.43,23.65,23.62,21.44,23.65
2052,23.43,23.62,23.60,21.43,23.62
2053,23.40,23.60,23.57,21.44,23.60
2054,23.37,23.56,23.54,21.38,23.56
2055,23.33,23.51,23.49,21.39,23.51
2056,23.32,23.50,23.48,21.33,23.50
2057,23.39,23.57,23.55,21.46,23.57
2058,23.39,23.60,23.57,21.40,23.60
2059,23.38,23.55,23.53,21.43,23.55
2060,23.51,23.71,23.68,21.58,23.71
2061,23.41,23.60,23.58,21.44,23.60
2062,23.40,23.61,23.58,21.42,23.61
2063,23.39,23.54,23.52,21.47,23.54
2064,23.52,23.72,23.69,21.55,23.72
2065,23.31,23.51,23.48,21.34,23.51
2066,23.53,23.72,23.70,21.57,23.72
2067,23.42,23.63,23.60,21.45,23.63
2068,23.50,23.66,23.64,21.58,23.66
2069,23.42,23.63,23.60,21.50,23.63
2070,23.51,23.72,23.69,21.59,23.72
2071,23.46,23.67,23.64,21.56,23.67
2072,23.42,23.62,23.59,21.50,23.62
2073,23.45,23.65,23.62,21.48,23.65
2074,23.53,23.74,23.71,21.57,23.74
2075,23.44,23.66,23.63,21.48,23.66
2076,23.42,23.63,23.60,21.49,23.63
2077,23.42,23.58,23.56,21.49,23.58
2078,23.46,23.61,23.59,21.49,23.61
2079,23.50,23.70,23.67,21.53,23.70
2080,23.41,23.63,23.60,21.44,23.63
2081,23.45,23.64,23.62,21.52,23.64
2082,23.53,23.75,23.72,21.59,23.75
2083,23.46,23.64,23.62,21.52,23.64
2084,23.43,23.65,23.62,21.47,23.65
2085,23.43,23.66,23.63,21.45,23.66
2086,23.40,23.60,23.57,21.48,23.60
2087,23.39,23.59,23.56,21.46,23.59
2088,23.39,23.60,23.57,21.47,23.60
2089,23.34,23.54,23.51,21.36,23.54
2090,23.34,23.51,23.49,21.33,23.51
2091,23.47,23.60,23.59,21.49,23.60
2092,23.37,23.56,23.54,21.38,23.56
2093,23.39,23.59,23.56,21.40,23.59
2094,23.48,23.67,23.65,21.56,23.67
2095,23.40,23.60,23.57,21.42,23.60
2096,23.26,23.47,23.44,21.28,23.47
2097,23.43,23.63,23.60,21.54,23.63
2098,23.38,23.63,23.59,21.42,23.63
2099,23.41,23.61,23.58,21.47,23.61
2100,23.35,23.55,23.52,21.38,23.55
