Variable:,tasmin
,Guatemala,Guatemala,"El Progreso",Sacatepéquez,Chimaltenango,Escuintla,"Santa Rosa",Sololá,Totonicapán,Quetzaltenango,Suchitepéquez,Retalhuleu,"San Marcos",Huehuetenango,Quiché,"Baja Verapaz","Alta Verapaz",Petén,Izabal,Zacapa,Chiquimula,Jalapa,Jutiapa
2015,18.69,22.06,20.09,22.06,22.65,23.50,22.86,24.21,19.53,23.08,24.21,24.42,20.85,15.58,14.85,14.39,14.49,19.84,17.64,18.12,19.61,20.52,21.07
2016,18.74,22.00,20.05,22.00,22.59,23.44,22.79,24.17,19.52,23.04,24.17,24.38,20.84,15.60,14.83,14.35,14.47,19.92,17.67,18.11,19.57,20.47,21.01
2017,18.78,22.10,20.13,22.10,22.69,23.54,22.89,24.26,19.56,23.11,24.26,24.46,20.85,15.59,14.86,14.40,14.53,19.96,17.72,18.18,19.63,20.55,21.08
2018,18.85,22.16,20.18,22.16,22.73,23.56,22.95,24.25,19.58,23.12,24.25,24.46,20.89,15.64,14.91,14.47,14.58,20.05,17.76,18.21,19.68,20.60,21.13
2019,18.96,22.32,20.35,22.32,22.89,23.72,23.10,24.42,19.79,23.29,24.42,24.62,21.09,15.87,15.12,14.65,14.77,20.10,17.90,18.39,19.84,20.76,21.29
2020,18.95,22.35,20.33,22.35,22.92,23.75,23.13,24.44,19.78,23.31,24.44,24.64,21.08,15.85,15.08,14.60,14.68,20.14,17.85,18.29,19.75,20.71,21.24
2021,18.98,22.33,20.36,22.33,22.89,23.71,23.10,24.39,19.72,23.26,24.39,24.60,21.03,15.78,15.10,14.69,14.80,20.14,17.95,18.39,19.80,20.74,21.26
2022,18.94,22.21,20.26,22.21,22.79,23.62,23.00,24.32,19.68,23.19,24.32,24.52,20.98,15.77,15.04,14.58,14.72,20.13,17.91,18.35,19.76,20.67,21.21
2023,18.98,22.26,20.29,22.26,22.84,23.70,23.06,24.40,19.77,23.28,24.40,24.61,21.08,15.86,15.08,14.59,14.71,20.20,17.90,18.32,19.77,20.69,21.24
2024,19.12,22.45,20.48,22.45,23.01,23.83,23.24,24.50,19.86,23.38,24.50,24.71,21.18,15.95,15.20,14.74,14.86,20.33,18.05,18.52,20.00,20.91,21.44
2025,19.02,22.33,20.35,22.33,22.91,23.74,23.12,24.45,19.80,23.32,24.45,24.66,21.10,15.87,15.12,14.65,14.75,20.22,17.96,18.36,19.85,20.77,21.31
2026,19.08,22.40,20.43,22.40,22.98,23.82,23.18,24.52,19.88,23.39,24.52,24.72,21.18,15.97,15.21,14.74,14.84,20.26,18.00,18.45,19.93,20.85,21.37
2027,19.08,22.37,20.43,22.37,22.95,23.79,23.16,24.50,19.88,23.38,24.50,24.70,21.16,15.97,15.21,14.74,14.88,20.22,18.09,18.53,19.95,20.85,21.39
2028,19.16,22.49,20.51,22.49,23.08,23.92,23.29,24.64,19.92,23.49,24.64,24.85,21.24,15.94,15.23,14.78,14.90,20.36,18.11,18.53,19.97,20.90,21.45
2029,19.19,22.47,20.50,22.47,23.05,23.89,23.26,24.60,19.95,23.46,24.60,24.80,21.24,16.02,15.28,14.83,14.94,20.39,18.11,18.54,19.99,20.91,21.45
2030,19.14,22.44,20.46,22.44,23.02,23.87,23.23,24.58,19.93,23.45,24.58,24.79,21.24,16.00,15.25,14.78,14.87,20.35,18.00,18.46,19.92,20.85,21.39
2031,19.18,22.49,20.53,22.49,23.06,23.89,23.26,24.58,19.91,23.45,24.58,24.79,21.22,15.97,15.24,14.78,14.90,20.40,18.11,18.57,20.09,20.98,21.51
2032,19.28,22.57,20.59,22.57,23.15,23.98,23.33,24.70,20.03,23.56,24.70,24.90,21.32,16.09,15.35,14.88,14.97,20.50,18.16,18.60,20.11,21.02,21.54
2033,19.25,22.48,20.54,22.48,23.05,23.89,23.28,24.57,19.97,23.46,24.57,24.78,21.27,16.09,15.37,14.90,15.01,20.50,18.10,18.59,20.08,20.97,21.52
2034,19.23,22.46,20.53,22.46,23.03,23.87,23.24,24.56,19.97,23.45,24.56,24.77,21.27,16.09,15.33,14.85,14.97,20.41,18.19,18.60,20.13,20.99,21.53
2035,19.36,22.66,20.71,22.66,23.22,24.04,23.43,24.71,20.11,23.59,24.71,24.92,21.41,16.23,15.51,15.07,15.17,20.52,18.30,18.75,20.20,21.11,21.64
2036,19.31,22.61,20.65,22.61,23.19,24.04,23.41,24.75,20.11,23.62,24.75,24.96,21.41,16.18,15.45,14.98,15.09,20.49,18.25,18.70,20.17,21.07,21.62
2037,19.40,22.68,20.71,22.68,23.23,24.04,23.44,24.71,20.10,23.60,24.71,24.92,21.42,16.22,15.49,15.04,15.15,20.61,18.33,18.75,20.20,21.12,21.63
2038,19.40,22.64,20.69,22.64,23.22,24.08,23.44,24.78,20.11,23.64,24.78,24.99,21.41,16.16,15.44,14.99,15.12,20.62,18.35,18.76,20.20,21.10,21.65
2039,19.45,22.73,20.76,22.73,23.30,24.13,23.52,24.81,20.22,23.70,24.81,25.02,21.52,16.34,15.56,15.06,15.17,20.66,18.32,18.80,20.27,21.18,21.72
2040,19.30,22.53,20.59,22.53,23.10,23.93,23.31,24.61,20.02,23.50,24.61,24.82,21.32,16.14,15.36,14.87,15.02,20.53,18.21,18.69,20.14,21.03,21.56
2041,19.36,22.63,20.69,22.63,23.22,24.06,23.42,24.78,20.12,23.65,24.78,24.98,21.42,16.19,15.44,14.98,15.13,20.53,18.32,18.79,20.23,21.12,21.66
2042,19.46,22.70,20.75,22.70,23.30,24.13,23.47,24.88,20.21,23.74,24.88,25.08,21.51,16.27,15.53,15.06,15.20,20.67,18.41,18.84,20.27,21.17,21.70
2043,19.47,22.80,20.81,22.80,23.37,24.19,23.57,24.87,20.24,23.74,24.87,25.07,21.54,16.34,15.56,15.08,15.19,20.69,18.39,18.81,20.27,21.21,21.73
2044,19.45,22.68,20.76,22.68,23.26,24.10,23.46,24.81,20.21,23.69,24.81,25.02,21.51,16.33,15.57,15.09,15.25,20.65,18.38,18.89,20.28,21.17,21.70
2045,19.33,22.61,20.64,22.61,23.19,24.03,23.40,24.74,20.10,23.61,24.74,24.95,21.41,16.17,15.43,14.96,15.06,20.54,18.22,18.67,20.16,21.07,21.61
2046,19.60,22.86,20.93,22.86,23.43,24.26,23.65,24.94,20.37,23.83,24.94,25.15,21.68,16.51,15.75,15.28,15.42,20.77,18.56,19.02,20.44,21.34,21.88
2047,19.49,22.71,20.77,22.71,23.29,24.13,23.50,24.83,20.22,23.71,24.83,25.04,21.52,16.33,15.59,15.13,15.24,20.71,18.39,18.83,20.29,21.19,21.73
2048,19.52,22.79,20.82,22.79,23.39,24.23,23.58,24.97,20.32,23.84,24.97,25.17,21.61,16.39,15.60,15.11,15.22,20.74,18.41,18.85,20.34,21.25,21.78
2049,19.53,22.84,20.87,22.84,23.42,24.26,23.62,24.97,20.31,23.84,24.97,25.17,21.61,16.38,15.62,15.15,15.27,20.69,18.50,18.92,20.38,21.29,21.83
2050,19.67,23.00,21.02,23.00,23.58,24.41,23.78,25.11,20.47,23.98,25.11,25.31,21.76,16.55,15.78,15.30,15.42,20.83,18.59,19.05,20.51,21.43,21.97
2051,19.50,22.82,20.84,22.82,23.40,24.25,23.61,24.96,20.34,23.84,24.96,25.16,21.63,16.44,15.65,15.15,15.24,20.68,18.39,18.85,20.36,21.27,21.81
2052,19.40,22.75,20.78,22.75,23.31,24.13,23.52,24.81,20.17,23.68,24.81,25.01,21.47,16.26,15.52,15.07,15.17,20.55,18.34,18.81,20.31,21.21,21.74
2053,19.47,22.81,20.86,22.81,23.38,24.22,23.60,24.91,20.27,23.79,24.91,25.12,21.58,16.36,15.62,15.16,15.27,20.65,18.43,18.91,20.43,21.31,21.86
2054,19.39,22.72,20.74,22.72,23.31,24.15,23.52,24.87,20.18,23.72,24.87,25.07,21.46,16.22,15.48,15.02,15.12,20.59,18.31,18.76,20.26,21.17,21.72
2055,19.39,22.67,20.70,22.67,23.26,24.11,23.47,24.82,20.21,23.71,24.82,25.04,21.54,16.32,15.49,14.97,15.08,20.60,18.31,18.74,20.23,21.13,21.68
2056,19.48,22.76,20.81,22.76,23.36,24.21,23.55,24.94,20.23,23.79,24.94,25.14,21.53,16.26,15.51,15.05,15.21,20.69,18.44,18.90,20.34,21.24,21.78
2057,19.57,22.88,20.94,22.88,23.46,24.30,23.67,25.00,20.39,23.88,25.00,25.21,21.69,16.49,15.72,15.24,15.38,20.72,18.55,19.04,20.50,21.38,21.93
2058,19.59,22.84,20.88,22.84,23.41,24.23,23.62,24.92,20.32,23.81,24.92,25.13,21.62,16.44,15.68,15.21,15.33,20.82,18.51,18.92,20.36,21.28,21.81
2059,19.57,22.90,20.94,22.90,23.46,24.28,23.66,24.96,20.34,23.84,24.96,25.16,21.63,16.44,15.72,15.27,15.38,20.72,18.53,18.97,20.43,21.35,21.87
2060,19.60,22.83,20.88,22.83,23.41,24.24,23.61,24.94,20.35,23.82,24.94,25.14,21.64,16.47,15.70,15.22,15.35,20.79,18.56,18.96,20.38,21.29,21.82
2061,19.43,22.74,20.77,22.74,23.33,24.17,23.53,24.89,20.23,23.76,24.89,25.10,21.55,16.30,15.54,15.07,15.17,20.59,18.36,18.79,20.26,21.18,21.72
2062,19.49,22.90,20.88,22.90,23.47,24.30,23.70,24.98,20.32,23.84,24.98,25.18,21.61,16.38,15.60,15.12,15.17,20.67,18.36,18.81,20.37,21.31,21.85
2063,19.46,22.72,20.78,22.72,23.29,24.12,23.51,24.81,20.21,23.69,24.81,25.01,21.51,16.33,15.56,15.09,15.23,20.61,18.44,18.87,20.31,21.20,21.74
2064,19.53,22.76,20.82,22.76,23.36,24.23,23.56,24.97,20.34,23.85,24.97,25.18,21.66,16.44,15.66,15.17,15.29,20.70,18.42,18.88,20.33,21.23,21.78
2065,19.56,22.68,20.76,22.68,23.28,24.14,23.47,24.89,20.25,23.76,24.89,25.08,21.53,16.35,15.62,15.15,15.31,20.83,18.48,18.89,20.24,21.14,21.69
2066,19.55,22.90,20.91,22.90,23.49,24.35,23.70,25.07,20.37,23.93,25.07,25.28,21.69,16.41,15.63,15.15,15.24,20.74,18.43,18.92,20.47,21.37,21.92
