Variable:,tas
,Monaco,"Administrative unit not available"
2015,11.00,17.01
2016,10.76,16.78
2017,10.76,16.87
2018,10.88,16.95
2019,10.73,16.77
2020,10.81,16.80
2021,10.86,16.89
2022,10.80,16.85
2023,11.06,17.05
2024,11.04,17.01
2025,11.35,17.27
2026,11.06,17.00
2027,11.03,17.09
2028,11.09,17.18
2029,11.17,17.18
2030,11.30,17.26
2031,11.11,17.20
2032,10.96,17.09
2033,11.20,17.22
2034,11.41,17.12
2035,11.25,17.18
2036,11.26,17.26
2037,11.42,17.41
2038,11.42,17.43
2039,11.58,17.36
2040,11.32,17.34
2041,11.29,17.41
2042,11.37,17.24
2043,11.64,17.67
2044,11.55,17.62
2045,11.51,17.39
2046,11.75,17.69
2047,11.58,17.61
2048,11.62,17.55
2049,11.64,17.58
2050,11.68,17.70
2051,11.84,17.68
2052,11.78,17.73
2053,11.68,17.68
2054,11.43,17.50
2055,11.53,17.53
2056,11.76,17.53
2057,11.70,17.63
2058,11.61,17.50
2059,11.82,17.81
2060,11.78,17.74
2061,11.86,17.79
2062,11.45,17.58
2063,11.78,17.68
2064,11.75,17.58
2065,11.65,17.62
2066,11.71,17.63
2067,11.98,17.81
2068,11.86,17.72
2069,12.02,17.82
2070,11.84,17.88
2071,11.42,17.42
2072,11.68,17.64
2073,11.56,17.66
2074,11.56,17.50
2075,11.89,17.83
2076,11.74,17.68
2077,11.65,17.74
2078,11.58,17.56
2079,11.84,17.82
2080,11.79,17.75
2081,11.74,17.73
2082,11.71,17.74
2083,11.43,17.49
2084,11.55,17.55
2085,11.75,17.77
2086,12.08,18.05
2087,11.35,17.37
2088,11.50,17.51
2089,11.83,17.77
2090,12.05,18.00
2091,11.74,17.59
2092,11.72,17.68
2093,11.79,17.89
2094,11.77,17.78
2095,11.50,17.47
2096,11.56,17.51
2097,11.62,17.50
2098,11.80,17.69
2099,11.72,17.68
2100,11.36,17.47
