Variable:,tas
,Brunei,Belait,"Brunei and Muara",Temburong,Tutong
2015,26.40,26.76,26.70,24.89,26.76
2016,26.48,26.81,26.75,24.98,26.81
2017,26.49,26.83,26.77,25.00,26.83
2018,26.63,27.00,26.94,25.14,27.00
2019,26.64,26.99,26.93,25.14,26.99
2020,26.52,26.90,26.83,25.02,26.90
2021,26.62,26.97,26.91,25.12,26.97
2022,26.60,26.97,26.91,25.13,26.97
2023,26.65,27.02,26.96,25.17,27.02
2024,26.76,27.08,27.03,25.25,27.08
2025,26.67,27.03,26.97,25.18,27.03
2026,26.72,27.07,27.01,25.26,27.07
2027,26.67,27.02,26.96,25.16,27.02
2028,26.73,27.06,27.00,25.24,27.06
2029,26.82,27.13,27.08,25.35,27.13
2030,26.68,27.00,26.95,25.20,27.00
2031,26.82,27.14,27.09,25.32,27.14
2032,26.86,27.20,27.14,25.38,27.20
2033,26.87,27.18,27.13,25.39,27.18
2034,26.83,27.17,27.11,25.36,27.17
2035,26.85,27.23,27.17,25.36,27.23
2036,26.84,27.18,27.12,25.35,27.18
2037,27.02,27.32,27.27,25.55,27.32
2038,27.06,27.39,27.33,25.55,27.39
2039,27.06,27.44,27.37,25.57,27.44
2040,27.01,27.33,27.27,25.49,27.33
2041,27.01,27.35,27.29,25.50,27.35
2042,27.13,27.42,27.37,25.66,27.42
2043,27.01,27.35,27.29,25.55,27.35
2044,27.22,27.53,27.48,25.74,27.53
2045,27.13,27.48,27.42,25.64,27.48
2046,27.20,27.50,27.45,25.70,27.50
2047,27.24,27.62,27.55,25.76,27.62
2048,27.25,27.58,27.52,25.79,27.58
2049,27.35,27.68,27.62,25.86,27.68
2050,27.22,27.55,27.49,25.71,27.55
2051,27.23,27.56,27.50,25.75,27.56
2052,27.32,27.66,27.60,25.87,27.66
2053,27.34,27.70,27.64,25.87,27.70
2054,27.38,27.75,27.69,25.94,27.75
2055,27.40,27.77,27.71,25.92,27.77
2056,27.42,27.76,27.70,25.97,27.76
2057,27.51,27.85,27.79,26.04,27.85
2058,27.53,27.85,27.80,26.11,27.85
2059,27.55,27.90,27.84,26.07,27.90
2060,27.63,27.99,27.93,26.20,27.99
2061,27.53,27.87,27.81,26.03,27.87
2062,27.47,27.81,27.75,25.99,27.81
2063,27.62,27.95,27.89,26.16,27.95
2064,27.65,27.99,27.93,26.25,27.99
2065,27.68,28.00,27.95,26.18,28.00
2066,27.64,27.98,27.92,26.20,27.98
2067,27.64,27.99,27.93,26.14,27.99
2068,27.61,27.94,27.88,26.15,27.94
2069,27.72,28.05,27.99,26.28,28.05
2070,27.59,27.91,27.85,26.15,27.91
2071,27.68,28.02,27.96,26.19,28.02
2072,27.74,28.06,28.00,26.30,28.06
2073,27.83,28.19,28.13,26.38,28.19
2074,27.72,28.04,27.99,26.27,28.04
2075,27.75,28.11,28.05,26.28,28.11
2076,27.77,28.13,28.07,26.30,28.13
2077,27.99,28.36,28.30,26.51,28.36
2078,27.81,28.16,28.10,26.33,28.16
2079,27.76,28.11,28.05,26.30,28.11
2080,27.92,28.25,28.19,26.46,28.25
2081,27.91,28.23,28.18,26.44,28.23
2082,27.85,28.21,28.15,26.32,28.21
2083,27.90,28.23,28.17,26.43,28.23
2084,27.93,28.26,28.20,26.47,28.26
2085,27.89,28.20,28.15,26.48,28.20
2086,27.95,28.33,28.26,26.44,28.33
2087,27.98,28.31,28.25,26.51,28.31
2088,28.01,28.29,28.24,26.55,28.29
2089,27.94,28.26,28.21,26.50,28.26
2090,27.91,28.23,28.17,26.42,28.23
2091,28.11,28.48,28.42,26.65,28.48
2092,28.04,28.38,28.32,26.59,28.38
2093,27.95,28.33,28.26,26.48,28.33
2094,28.17,28.42,28.38,26.71,28.42
2095,28.01,28.35,28.29,26.58,28.35
2096,28.05,28.34,28.29,26.59,28.34
2097,28.03,28.31,28.26,26.49,28.31
2098,28.04,28.35,28.30,26.56,28.35
2099,28.07,28.44,28.38,26.60,28.44
2100,28.22,28.54,28.49,26.75,28.54
